WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
00000,"$100,000 under $200,000",376019,318552,181891,1035998,338452,50325679,342584,39369530,283325,561060,175871,758897,160224,529217,66971,1486054,4372,135540,752722,51613,1457016,94944,3177228,32140,333955,58613,1193024,6525,100800,298522,7918609,19872,123576,259287,725614,289677,1257902,297777,2106041,272090,3986526,262784,995013,375504,37840863,192852,273702,37586,36953,84738,115300,31455,17017,526,701,0,0,0,0,7951,18358,374127,6505712,374551,6794673,123230,578687,251686,1180637
00000,"$200,000 or more",97138,84882,65694,285558,103263,45575159,85812,23725374,87745,1089350,70454,2426554,66763,2007383,22500,1735251,1309,66464,6181300,13440,923203,19176,925297,3805,46119,13417,303364,7131,213190,89017,5012953,8679,239629,77127,361956,86625,714521,88900,1341814,74576,1649884,82824,1277134,96977,39460632,49500,268454,9713,13471,45,42,8737,4648,0,0,0,0,0,0,45973,248228,96862,10108382,96931,10154052,44576,1109774,51944,1572085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,,"14,081","6,302","6,505","30,131","9,858","818,298","12,166","641,079","6,236","7,048","2,688","6,271","2,388","4,178","1,910","25,050",28,"1,769","9,760","1,089","15,583","2,388","50,668","1,998","21,799","1,423","17,312",46,638,"5,992","129,868",113,430,"5,298","10,972","5,701","20,990","5,939","33,322","5,416","65,344","4,725","14,190","11,648","532,745","5,017","6,365",638,545,"2,818","3,708",489,262,"1,584","2,184","1,957","3,960","1,627","3,185",140,482,"10,536","83,421","11,253","88,209","2,381","7,563","11,429","34,784"
98001,"$1 under $25,000","** 4,439",631,1956,"** 6,308",1750,55842,3454,40309,1057,941,336,430,290,228,607,5122,**,244,-142,212,1164,499,4609,519,4554,166,264,**,**,421,7766,** 34,** 86,344,777,359,1154,407,2009,310,3122,244,394,2214,13616,566,201,**,**,158,56,31,9,778,943,1274,2811,1112,2351,**,**,1850,1268,2325,2076,462,251,"** 3,728","** 6,796"
98001,"$25,000 under $50,000",3411,1079,1575,7162,2450,125040,"** 2,943","** 98,014",1176,850,390,591,352,348,430,5463,28,270,-10,239,2382,494,8134,600,7319,409,2669,**,**,1062,18312,**,**,897,1373,972,3092,1047,4629,911,8982,732,1448,3221,63531,1377,1283,101,61,828,797,109,62,636,969,683,1149,515,834,**,**,2644,6711,2838,7728,418,641,"** 2,977","** 7,707"
98001,"$50,000 under $75,000",2337,1301,1148,5705,1954,144580,2101,116837,1212,877,484,831,426,482,312,4124,**,303,100,213,2643,463,9878,383,4114,353,5027,**,**,1400,27043,36,96,1243,1912,1334,4415,1393,6566,1273,14297,1059,2371,2322,87879,1104,1649,163,121,749,1160,87,44,170,272,0,0,0,0,**,**,2163,10840,2208,11630,420,883,1916,6226
98001,"$75,000 under $100,000",1673,1297,771,4560,1552,145019,1574,122488,1080,744,488,646,426,419,235,1712,**,269,237,168,2693,379,8979,242,2758,227,4057,**,**,1229,25779,**,**,1086,2096,1187,4163,1218,6452,1163,14218,998,2552,1671,97909,889,1544,144,129,604,1034,104,60,**,**,0,0,0,0,**,**,1659,12941,1662,13474,331,741,1341,5097
98001,"$100,000 under $200,000",1962,1767,880,5651,1893,255770,1864,213188,1484,1631,841,1996,752,1364,277,5404,**,540,1385,218,5144,497,15730,254,3054,238,4669,46,638,1643,40878,43,248,1512,3906,1617,6667,1638,11082,1562,21119,1472,5302,1961,190784,981,1434,209,203,479,661,158,87,**,**,0,0,0,0,36,75,1961,32002,1961,33106,625,2488,1334,5577
98001,"$200,000 or more",259,227,175,745,259,92047,230,50243,227,2005,149,1777,142,1337,49,3225,**,143,8190,39,1557,56,3338,**,**,30,626,**,**,237,10090,**,**,216,908,232,1499,236,2584,197,3606,220,2123,259,79026,100,254,** 21,** 31,0,0,**,**,0,0,0,0,0,0,104,407,259,19659,259,20195,125,2559,133,3381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,,"14,131","4,474","6,831","29,480","9,432","556,108","12,023","434,751","4,185","4,493","1,601","3,338","1,366","2,062","1,287","11,666",0,"1,014","3,346",1053,"11,758","2,386","40,768","2,216","22,716","1,391","13,959",0,0,"3,327","62,149",66,179,"2,829","5,107","2,947","8,645","3,274","14,341","2,795","29,393","2,356","5,747","10,755","324,417","4,216","4,922",330,244,"2,716","3,019",386,197,"2,688","3,849","2,937","6,164","2,582","5,509",27,80,"9,225","44,165","9,805","46,639","1,781","3,272","12,068","31,231"
98002,"$1 under $25,000",5818,830,2751,10382,3228,77754,4562,56093,1042,843,336,537,276,217,542,3720,**,250,-198,326,1648,789,7311,868,7707,227,356,**,**,360,5927,**,**,287,769,262,654,345,1468,213,1849,214,366,2670,16387,761,263,**,**,334,104,54,17,1629,2029,2025,4653,1864,4255,**,**,2106,1498,2549,2149,421,244,5132,10945
98002,"$25,000 under $50,000",4603,1281,2281,10074,3450,164393,4087,132923,1188,926,371,644,309,337,343,3634,**,227,1,292,2388,650,10166,774,9224,546,3346,**,**,876,13704,43,92,734,941,740,1900,865,2975,698,6304,547,1010,4382,85210,1848,1721,96,62,1322,1257,139,80,956,1667,912,1511,718,1254,**,**,3518,9015,3639,9693,505,710,4087,10523
98002,"$50,000 under $75,000",1968,996,963,4506,1401,120002,1771,96387,884,905,358,751,305,430,201,1373,**,200,123,192,2048,465,9373,341,3542,328,4651,**,**,887,15606,**,**,753,1143,802,2229,867,3522,777,7766,636,1341,1962,77922,815,1224,102,82,566,919,72,35,103,153,0,0,0,0,**,**,1865,10030,1880,10419,370,671,1597,4629
98002,"$75,000 under $100,000",991,729,452,2565,801,85315,912,70898,554,568,245,354,217,250,104,841,**,139,275,117,1953,242,5584,148,1359,155,2873,**,**,620,11983,23,87,520,935,575,1730,615,2771,566,6540,453,1174,990,60083,474,758,69,55,335,534,73,40,**,**,0,0,0,0,**,**,987,8294,988,8535,211,450,778,2703
98002,"$100,000 under $200,000",692,591,349,1820,527,87413,643,69979,466,613,251,735,222,571,97,2098,**,161,1249,126,3721,210,6612,85,884,113,2167,**,**,533,12191,**,**,487,1132,523,1814,531,3062,502,6195,458,1565,692,66901,296,424,63,45,159,205,48,25,**,**,0,0,0,0,27,80,690,11352,690,11720,247,906,443,1692
98002,"$200,000 or more",59,47,35,133,25,21231,48,8471,51,638,40,317,37,257,**,**,**,37,1896,**,**,30,1722,**,**,22,566,**,**,51,2738,**,**,48,187,45,318,51,543,39,739,48,291,59,17914,22,532,**,**,0,0,**,**,0,0,0,0,0,0,**,**,59,3976,59,4123,27,291,31,739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,,"19,463","6,466","9,275","40,969","13,097","911,503","16,611","704,830","6,525","10,094","2,801","9,382","2,450","5,830","2,106","24,684",0,"2,067","12,091","1,377","18,537","3,121","60,136","2,528","25,923","1,918","21,743",47,883,"5,523","115,822",113,541,"4,794","9,045","4,953","16,705","5,446","27,217","4,697","52,262","4,274","16,474","14,870","570,217","6,318","6,925",640,529,"3,663","4,142",530,276,"3,569","5,098","3,665","7,793","3,224","6,859",161,654,"12,699","91,422","13,620","96,020","2,836","7,246","16,147","45,803"
98003,"$1 under $25,000",7760,1069,3638,13549,4132,102213,6130,76201,1455,1204,542,1165,454,535,843,6121,**,415,-332,347,1883,896,8547,948,8359,275,444,**,**,555,9169,**,**,441,395,398,1087,525,1619,358,3212,332,594,3483,21849,1100,424,** 27,** 14,444,163,70,20,2125,2666,2560,5963,2349,5361,** 21,** 15,2639,1931,3313,2954,622,394,6692,14494
98003,"$25,000 under $50,000",5763,1589,2753,12739,4339,206793,5124,170956,1616,1103,500,882,433,520,503,5421,**,399,116,326,3075,779,12513,859,9703,622,3994,**,**,1309,20917,33,32,1097,1688,1105,2970,1287,4820,1052,9441,909,1824,5468,106146,2442,2234,133,85,1599,1488,186,104,1265,2188,1105,1830,875,1498,**,**,4326,11138,4536,12207,762,1053,4984,13173
98003,"$50,000 under $75,000",2750,1328,1337,6326,2020,167722,2435,132925,1303,1448,567,1345,504,771,299,2749,**,400,88,303,3671,601,13692,398,4310,474,6741,**,**,1328,24184,22,27,1146,1744,1216,3542,1308,5487,1167,12113,1019,2350,2732,107896,1242,1820,151,113,830,1306,95,53,179,244,0,0,0,0,**,**,2560,13810,2589,14467,568,1163,2172,6569
98003,"$75,000 under $100,000",1490,1033,700,3726,1139,128805,1358,105098,895,1026,412,804,353,504,183,1743,**,284,659,176,2739,387,9229,187,1932,259,4833,**,**,957,20031,20,50,863,1656,916,2934,956,4778,875,10045,769,2047,1487,90290,703,1139,135,127,456,749,67,35,**,**,0,0,0,0,**,**,1477,12619,1486,13128,312,806,1176,3945
98003,"$100,000 under $200,000",1464,1243,693,3987,1266,190067,1358,153111,1050,1461,614,1817,552,1293,226,3414,**,420,2554,191,4692,393,12714,136,1619,249,4804,47,883,1161,28290,38,432,1053,2784,1109,4499,1158,7692,1060,14205,1042,3859,1464,143936,720,1100,165,160,334,436,112,64,**,**,0,0,0,0,24,34,1461,24359,1460,25054,475,1885,985,4091
98003,"$200,000 or more",236,204,154,642,201,115903,206,66539,206,3852,166,3369,154,2207,52,5236,**,149,9006,34,2477,65,3441,**,**,39,927,**,**,213,13231,**,**,194,778,209,1673,212,2821,185,3246,203,5800,236,100100,111,208,** 29,** 30,0,0,**,**,0,0,0,0,0,0,116,605,236,27565,236,28210,97,1945,138,3531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,,"15,950","6,241","7,825","29,522","7,493","3,018,475","12,601","1,671,676","9,597","85,250","7,400","387,211","6,870","343,962","2,449","57,907",27,"6,421","408,473","2,014","61,906","2,576","66,397",1061,"12,043","2,325","39,691",320,"8,195","7,052","365,446",622,"14,546","5,862","19,463","6,092","51,596","6,933","87,706","4,853","104,732","5,920","97,115","13,772","2,506,398","5,385","20,171",496,542,"1,217","1,408",511,278,705,996,621,853,488,680,"1,497","10,654","12,966","722,254","13,369","736,298","4,213","39,686","11,027","125,366"
98004,"$1 under $25,000",3703,405,1668,4412,793,43134,2545,36866,1398,1983,1044,3117,950,1925,435,-1962,**,833,-59,287,2090,369,2894,239,2148,162,358,** 20,** 183,593,12116,**,**,441,389,394,2062,537,2727,251,3593,375,679,1806,11849,539,209,**,**,83,30,**,**,364,460,497,676,405,559,**,**,1434,1084,1697,1626,514,425,2609,6479
98004,"$25,000 under $50,000",2923,531,1196,4620,906,107871,2362,92534,1233,2512,748,3416,666,1961,383,-5685,**,613,1035,273,3169,430,6132,316,4280,436,3392,**,**,685,14329,52,164,577,705,513,2633,666,3557,370,4725,494,1252,2766,64035,931,766,** 40,** 24,340,310,45,23,268,419,124,177,83,121,**,**,2459,7483,2538,8427,593,969,2273,9998
98004,"$50,000 under $75,000",2016,562,913,3224,592,124061,1578,98305,1142,2805,729,4484,669,2725,298,-2628,**,633,536,301,4735,421,9067,145,1588,431,6600,33,431,827,19846,55,377,693,1129,681,3350,818,5030,528,7689,659,1935,1956,85289,624,637,55,45,215,308,32,17,45,70,0,0,0,0,28,62,1901,12654,1933,13690,537,1594,1458,7771
98004,"$75,000 under $100,000",1736,737,744,3054,579,152431,1406,112117,1139,3414,879,5766,811,3783,262,6942,27,697,2350,279,6326,338,7842,109,1070,339,6784,**,**,807,22302,56,338,670,1287,668,3976,788,5751,535,8741,649,2488,1705,112736,572,708,57,58,232,344,46,24,28,47,0,0,0,0,**,**,1663,18580,1679,19821,513,1875,1203,4444
98004,"$100,000 under $200,000",3165,1981,1561,7098,1944,435762,2660,320184,2489,8910,2053,16919,1915,12375,543,16558,**,1753,9283,519,19965,632,20855,189,2134,594,13506,70,1102,1987,67989,184,1380,1670,5014,1791,12206,1974,19038,1495,28933,1741,8674,3143,332611,1365,1699,154,145,347,416,169,87,**,**,0,0,0,0,181,448,3112,61682,3124,64551,1058,5454,2088,12383
98004,"$200,000 or more",2407,2025,1743,7114,2679,2155216,2050,1011670,2196,65626,1947,353509,1859,321193,528,44682,**,1892,395328,355,25621,386,19607,63,823,363,9051,197,6479,2153,228864,275,12287,1811,10939,2045,27369,2150,51603,1674,51051,2002,82087,2396,1899878,1354,16152,190,270,0,0,219,127,0,0,0,0,0,0,1288,10144,2397,620771,2398,628183,998,29369,1396,84291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,,"9,291","3,945","4,073","18,367","4,895","998,886","7,624","659,119","5,185","23,663","3,623","39,684","3,331","29,983","1,377","34,640",0,"2,985","59,667","1,055","25,562","1,474","31,053",737,"8,054","1,245","19,623",149,"3,526","3,880","126,026",205,"2,314","3,328","8,943","3,489","19,089","3,833","31,083","2,956","49,705","3,302","18,889","7,935","776,956","3,379","5,956",385,367,"1,167","1,360",338,168,579,881,577,848,453,679,517,"2,522","7,382","168,537","7,663","174,876","2,130","20,339","6,837","28,434"
98005,"$1 under $25,000",2406,288,926,3172,587,29551,1727,22501,779,1363,513,1272,450,712,317,2029,**,373,-251,158,1166,244,2011,187,1926,115,185,**,**,323,6381,**,**,251,269,233,962,296,1334,172,1853,219,335,1177,7773,335,155,**,**,71,29,**,**,300,401,436,632,348,514,**,**,942,702,1145,1048,292,177,1833,3029
98005,"$25,000 under $50,000",1964,430,809,3470,798,72103,1656,57477,809,1270,406,1398,354,796,211,3121,**,324,36,176,1917,275,3742,221,2584,275,1960,**,**,481,9118,36,68,389,589,408,1488,471,2196,331,3502,358,717,1864,40780,689,577,** 48,** 29,302,267,42,22,238,425,141,216,105,165,**,**,1614,4642,1670,5174,335,468,1610,3738
98005,"$50,000 under $75,000",1361,595,573,2574,577,83956,1141,64573,751,1145,431,1956,393,1281,192,2571,**,350,419,186,2988,253,5336,122,1285,256,3967,34,417,549,11302,27,74,477,761,465,1738,545,2666,388,4598,437,1144,1346,56556,544,626,46,37,288,402,41,19,41,55,0,0,0,0,**,**,1301,7775,1309,8259,327,653,1023,2764
98005,"$75,000 under $100,000",999,583,423,2093,506,87245,848,67708,682,1122,485,2012,442,1131,145,2990,**,377,220,158,3280,212,5229,73,748,190,3915,**,**,534,12057,23,88,465,946,477,1995,533,3115,410,5531,463,1290,996,63250,448,591,57,48,246,351,39,20,**,**,0,0,0,0,**,**,985,9621,990,10192,257,777,739,2540
98005,"$100,000 under $200,000",1641,1232,730,4178,1288,227355,1425,173959,1313,3302,1051,7141,979,5338,293,9112,**,870,2998,270,8437,328,10121,89,1075,292,6690,49,756,1168,35665,53,553,1022,2864,1108,5629,1163,9253,992,16903,1042,4815,1635,172142,826,1049,149,158,260,311,112,56,**,**,0,0,0,0,66,175,1625,30797,1631,32262,507,2276,1128,6104
98005,"$200,000 or more",920,817,612,2880,1139,498676,827,272901,851,15461,737,25905,713,20725,219,14817,**,691,56245,107,7774,162,4614,45,436,117,2906,66,2353,825,51503,66,1531,724,3514,798,7277,825,12519,663,17318,783,10588,917,436455,537,2958,85,95,0,0,104,51,0,0,0,0,0,0,451,2347,915,115000,918,117941,412,15988,504,10259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,,"17,157","9,003","7,450","36,945","12,050","2,207,195","13,813","1,482,014","11,378","43,186","8,453","73,680","7,783","48,633","2,893","79,871",27,"6,992","121,222","2,287","57,948","3,185","83,464","1,387","16,561","2,448","40,399",410,"9,305","9,120","311,184",423,"5,907","7,998","22,807","8,609","49,217","9,031","80,061","7,427","126,493","7,924","46,427","14,487","1,723,150","7,140","23,908",1147,1211,"2,149","2,791",870,415,723,909,925,"1,553",753,"1,241","1,486","7,435","13,543","383,073","14,126","397,020","4,280","39,252","12,079","65,649"
98006,"$1 under $25,000",4463,578,1695,4505,884,45989,3150,33873,1822,2079,1221,2383,1089,1421,519,3881,**,901,-181,313,1846,486,4332,262,2244,158,294,**,**,583,11783,** 25,** 37,453,425,457,1871,532,2372,334,4217,335,562,2029,11917,552,219,**,**,56,17,**,**,325,396,692,1181,581,967,22,20,1626,1065,2015,1745,581,340,3199,4346
98006,"$25,000 under $50,000",2582,730,1043,4480,1095,95182,1957,66378,1283,2616,786,3090,696,1966,368,3974,**,598,325,352,3705,517,8089,333,4653,501,3705,** 37,** 280,873,18319,**,**,758,938,753,3195,857,4221,599,7196,631,1539,2396,50386,929,798,70,56,357,322,66,34,270,360,233,372,172,274,**,**,2043,5493,2172,6336,444,668,2069,5167
98006,"$50,000 under $75,000",1944,901,899,4070,1184,121124,1514,83363,1268,2166,826,3807,732,2145,327,5956,**,653,466,332,5615,476,11138,194,2127,463,7216,**,**,1060,23223,40,110,927,1445,992,4047,1051,5741,848,10359,876,2400,1916,75977,890,1127,109,104,441,659,76,30,98,118,0,0,0,0,**,**,1791,9938,1834,11066,464,1048,1464,5355
98006,"$75,000 under $100,000",1719,1134,694,4187,1322,150032,1403,108572,1311,2391,909,3840,818,2648,305,5341,** 27,743,843,324,7626,416,11767,154,1959,409,8026,22,272,1109,27180,47,174,967,1884,1054,4725,1104,6959,918,12816,975,3207,1710,102318,917,1446,151,149,503,828,72,36,30,35,0,0,0,0,**,**,1669,14184,1682,15271,432,1257,1281,5255
98006,"$100,000 under $200,000",3963,3348,1681,11528,4194,559052,3503,424132,3395,7922,2632,13535,2443,9163,819,22222,**,2172,6239,674,20108,901,32518,335,4342,676,15436,129,2153,3188,93264,134,807,2865,8340,3094,16214,3182,25985,2786,46266,2904,11685,3953,415691,2370,3052,512,532,792,965,344,164,**,**,0,0,0,0,138,348,3933,72629,3940,76571,1282,5956,2668,14422
98006,"$200,000 or more",2486,2312,1438,8175,3371,1235816,2286,765696,2299,26012,2079,47025,2005,31290,555,38497,**,1925,113530,292,19048,389,15620,109,1236,241,5722,222,6600,2307,137415,177,4779,2028,9775,2259,19165,2305,34783,1942,45639,2203,27034,2483,1066861,1482,17266,305,370,0,0,312,151,0,0,0,0,0,0,1326,7067,2481,279764,2483,286031,1077,29983,1398,31104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,,"12,351","4,900","5,060","24,467","6,612","819,912","10,741","652,934","5,520","8,821","3,402","14,338","3,115","9,498","1,364","23,266",0,"2,653","15,629",961,"17,694","1,440","25,742",1040,"11,532","1,035","13,670",65,"1,134","3,414","78,822",173,"1,248","2,826","6,561","2,715","9,495","3,326","18,200","2,384","32,601","2,545","9,710","10,148","597,123","4,228","6,216",391,389,"2,041","2,343",383,197,"1,200","1,728","1,187","2,004",992,"1,709",251,954,"9,256","109,063","9,650","112,634","2,320","9,476","9,708","26,475"
98007,"$1 under $25,000",3837,600,1503,5947,1465,48951,3049,38347,939,952,462,963,396,532,440,3602,**,360,-224,227,1182,333,2585,341,3113,117,197,**,**,359,5944,** 23,** 38,266,272,226,630,331,1092,157,1677,195,345,1791,11851,528,208,**,**,138,43,** 22,** 8,692,916,920,1568,788,1367,0,0,1410,1070,1711,1604,398,275,3155,5294
98007,"$25,000 under $50,000",2941,826,1243,5814,1591,106874,2601,88995,1002,905,440,1369,389,817,296,3208,**,346,-28,212,2406,299,4316,376,4748,305,2059,**,**,639,10501,**,**,504,707,466,1240,612,2181,397,4209,410,777,2800,58368,1150,1034,78,56,618,569,57,33,460,745,267,436,204,342,0,0,2352,6355,2428,6897,405,553,2513,6047
98007,"$50,000 under $75,000",1914,902,828,3826,929,118968,1712,100907,913,900,411,1445,371,826,169,2955,**,349,119,173,2499,281,5649,142,1477,241,3635,**,**,640,11866,52,162,531,1301,467,1321,620,2813,421,4707,460,1139,1906,82313,770,980,62,62,473,664,44,20,48,67,0,0,0,0,**,**,1856,11412,1871,11892,376,668,1534,3899
98007,"$75,000 under $100,000",1423,855,562,3076,787,124114,1299,107709,871,1119,580,1501,531,994,146,2136,**,424,280,133,2550,201,4596,85,982,166,3236,** 42,** 473,509,11160,**,**,438,959,409,1277,502,2413,368,4740,395,1278,1420,93682,652,944,81,70,413,600,57,31,**,**,0,0,0,0,**,**,1411,14315,1412,14703,312,698,1102,3572
98007,"$100,000 under $200,000",1775,1324,665,4448,1338,233471,1664,203495,1383,1813,1135,3619,1064,2496,225,3800,**,831,2254,163,5190,256,6482,96,1212,156,3394,**,**,883,23003,60,320,755,1915,787,2877,877,5254,726,11212,745,2911,1772,185405,881,1090,131,133,399,467,151,77,**,**,0,0,0,0,44,111,1768,33487,1769,34272,604,2337,1168,4911
98007,"$200,000 or more",461,393,259,1356,502,187534,416,113481,412,3132,374,5441,364,3833,88,7565,**,343,13228,53,3867,70,2114,**,**,50,1149,23,661,384,16348,38,728,332,1407,360,2150,384,4447,315,6056,340,3260,459,165504,247,1960,39,68,0,0,52,28,0,0,0,0,0,0,207,843,459,42424,459,43266,225,4945,236,2752
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,,"11,630","5,471","5,024","24,080","7,046","1,056,111","9,358","767,331","6,891","15,297","4,877","30,958","4,467","22,050","1,811","34,178",0,"3,921","46,225","1,575","30,854","2,259","51,633",1098,"13,283","1,770","28,147",139,"2,473","5,261","143,880",169,"1,898","4,645","12,099","4,865","20,801","5,219","35,702","4,273","65,910","4,454","18,254","9,777","790,004","4,463","8,311",728,730,"1,631","2,069",507,249,712,996,845,"1,324",669,"1,079",498,"1,993","9,096","152,937","9,499","158,601","2,698","13,942","8,459","29,733"
98008,"$1 under $25,000",3168,436,1242,4086,852,37527,2224,26919,1081,1414,633,1658,548,967,439,3112,**,507,-403,252,1571,408,3368,263,2640,127,222,** 21,** 97,368,7914,**,**,314,663,294,1089,355,1779,227,2574,237,370,1473,9258,393,175,**,**,79,33,**,**,358,453,628,994,506,820,0,0,1203,817,1492,1315,376,264,2389,3508
98008,"$25,000 under $50,000",2218,621,992,4145,1075,81676,1765,58821,1038,1420,557,2009,509,1264,302,3152,**,414,-61,272,3215,407,6701,298,4295,421,3178,**,**,645,12655,** 42,** 212,544,665,542,1766,634,2557,440,4903,493,1025,2092,43394,812,662,75,61,363,334,46,19,288,474,217,330,163,259,0,0,1775,4750,1855,5380,408,594,1772,4058
