"Table 1-- Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code, and Size of Adjusted Gross Income, Tax Year 2001",,,,,,,,,,,,,,
(Money amounts in thousands of dollars),,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,
,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Total Tax,,Schedule C,Schedule F  , Schedule A ,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98005                ,"8,853","17,210","3,659","925,697","7,217","655,692","6,000","30,546","7,570","216,423","1,294",24,"3,651",
"Under $10,000        ","1,340","1,169",172,"-15,371",927,"20,448",623,"3,436",451,117,127,**        ,144,
"$10,000 under $25,000","1,302","2,037",281,"22,657",994,"16,703",631,"1,251","1,027","1,279",155,**        ,220,
"$25,000 under $50,000","2,141","3,645",604,"79,007","1,819","62,950","1,227","2,656","2,044","8,012",273,**        ,619,
"$50,000 or more      ","4,070","10,359","2,602","839,404","3,477","555,591","3,519","23,203","4,048","207,015",739,*       24,"2,668",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98006                ,"17,122","37,708","10,690","1,799,749","13,814","1,308,682","12,743","52,776","14,507","404,672","2,762",25,"8,570",
"Under $10,000        ","3,000","1,987",303,"-17,377","1,950","11,927","1,618","6,793","1,147",281,241,**        ,234,
"$10,000 under $25,000","2,099","3,372",574,"36,349","1,523","24,984","1,140","2,480","1,607","1,985",265,**        ,398,
"$25,000 under $50,000","3,020","5,824","1,243","111,571","2,473","83,301","1,924","4,462","2,804","10,333",397,**        ,"1,073",
"$50,000 or more      ","9,003","26,525","8,570","1,669,206","7,868","1,188,470","8,061","39,041","8,949","392,073","1,859",*       25,"6,865",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98007                ,"11,500","21,979","5,093","652,161","9,955","517,198","6,616","15,693","9,624","114,323","1,205",16,"3,121",
"Under $10,000        ","1,636","1,743",339,"1,671","1,250","7,791",571,812,450,94,173,**        ,105,
"$10,000 under $25,000","2,327","4,042",872,"40,993","1,922","32,020",909,"1,733","1,786","2,206",232,**        ,286,
"$25,000 under $50,000","3,118","5,762","1,326","113,234","2,796","96,319","1,625","2,466","2,987","11,109",289,*       16,761,
"$50,000 or more      ","4,419","10,432","2,556","496,263","3,987","381,068","3,511","10,682","4,401","100,914",511,**        ,"1,969",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98008                ,"11,668","24,996","5,968","939,371","9,435","708,818","8,042","25,497","9,939","189,996","1,727",25,"5,141",
"Under $10,000        ","1,712","1,533",184,425,"1,210","6,560",767,905,551,135,192,**        ,152,
"$10,000 under $25,000","1,848","3,209",499,"31,914","1,344","21,977",923,"1,725","1,452","1,676",217,**        ,297,
"$25,000 under $50,000","2,610","5,243","1,125","95,432","2,134","71,455","1,600","3,418","2,465","8,721",340,**        ,834,
"$50,000 or more      ","5,498","15,011","4,160","811,600","4,747","608,826","4,752","19,449","5,471","179,464",978,*       25,"3,858",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98009                ,747,"1,349",193,"123,994",524,"34,051",533,"11,525",631,"22,874",166,--        ,338,
"Under $10,000        ",114,150,22,"-1,704",56,"1,111",61,378,30,15,26,--        ,25,
"$10,000 under $25,000",105,161,18,"1,854",68,"1,118",61,135,85,106,22,--        ,28,
"$25,000 under $50,000",199,297,34,"7,189",159,"5,382",122,414,194,771,32,--        ,57,
"$50,000 or more      ",329,741,119,"116,655",241,"26,440",289,"10,598",322,"21,982",86,--        ,228,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98010                ,"2,241","5,046","1,572","132,611","1,945","104,969","1,378","3,073","1,932","18,410",289,13,"1,090",
"Under $10,000        ",306,273,60,"1,335",250,"1,338",94,70,101,29,25,--        ,15,
"$10,000 under $25,000",346,568,111,"6,008",268,"4,325",145,330,275,343,28,**        ,40,
"$25,000 under $50,000",549,"1,157",334,"20,464",474,"16,416",295,472,520,"1,793",62,**        ,199,
"$50,000 or more      ","1,040","3,048","1,067","104,804",953,"82,890",844,"2,201","1,036","16,245",174,*       13,836,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98011                ,"13,152","26,705","7,387","743,472","11,637","615,343","8,067","13,191","11,278","108,861","1,736",16,"5,843",
"Under $10,000        ","1,945","1,514",203,"7,097","1,507","9,199",805,609,703,151,157,**        ,105,
"$10,000 under $25,000","2,184","3,464",593,"38,437","1,764","29,288",953,"1,595","1,730","2,185",240,**        ,330,
"$25,000 under $50,000","3,367","6,038","1,411","124,144","3,035","105,508","1,734","2,504","3,215","11,988",389,*       16,"1,139",
"$50,000 or more      ","5,656","15,689","5,180","573,794","5,331","471,348","4,575","8,483","5,630","94,537",950,**        ,"4,269",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98012                ,"19,017","40,862","12,168","1,157,058","16,729","934,500","11,748","23,800","16,407","171,935","2,549",26,"9,082",
"Under $10,000        ","2,694","1,844",279,"6,527","2,108","11,303","1,065",903,977,213,207,--        ,148,
"$10,000 under $25,000","2,914","4,682",894,"50,447","2,334","38,635","1,177","2,264","2,285","2,721",293,*       12,411,
"$25,000 under $50,000","4,469","8,326","2,008","163,459","3,999","137,144","2,258","3,824","4,239","15,104",505,**        ,"1,466",
"$50,000 or more      ","8,940","26,010","8,987","936,625","8,288","747,418","7,248","16,809","8,906","153,897","1,544",14,"7,057",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98013                ,215,409,77,"12,212",150,"5,854",137,429,180,"1,953",62,**        ,73,
"Under $10,000        ",32,28,2,114,14,47,14,5,**        ,**          ,15,--        ,**        ,
"$10,000 under $25,000",43,61,5,709,29,386,20,14,*       44,*         38,12,--        ,*       13,
"$25,000 under $50,000",67,126,33,"2,371",63,"2,077",36,36,63,222,12,--        ,17,
"$50,000 or more      ",73,194,37,"9,018",44,"3,344",67,374,73,"1,693",23,**        ,43,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98014                ,"3,100","6,946","2,317","232,014","2,733","190,831","1,877","3,374","2,584","41,919",498,53,"1,610",
"Under $10,000        ",532,432,84,"1,573",416,"2,358",204,168,188,39,60,10,46,
"$10,000 under $25,000",488,838,191,"8,364",371,"6,151",192,408,378,444,74,*       13,78,
"$25,000 under $50,000",580,"1,184",387,"21,303",531,"18,216",283,422,527,"1,828",91,**        ,232,
"$50,000 or more      ","1,500","4,492","1,655","200,774","1,415","164,106","1,198","2,376","1,491","39,608",273,30,"1,254",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98015                ,388,681,141,"86,776",320,"24,016",265,"1,202",336,"38,346",91,**        ,172,
"Under $10,000        ",45,54,6,-462,22,163,28,77,12,4,15,--        ,10,
"$10,000 under $25,000",53,78,9,924,39,728,30,49,40,54,14,**        ,11,
"$25,000 under $50,000",112,172,32,"4,184",100,"3,717",67,140,107,441,25,--        ,28,
"$50,000 or more      ",178,377,94,"82,130",159,"19,408",140,936,177,"37,847",37,--        ,123,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98019                ,"4,178","9,373","2,958","291,052","3,791","248,571","2,603","3,841","3,579","44,995",697,45,"2,323",
"Under $10,000        ",612,448,64,"1,443",480,"2,556",206,175,203,51,70,**        ,46,
"$10,000 under $25,000",566,916,193,"9,785",458,"7,406",221,422,439,534,80,*       21,89,
"$25,000 under $50,000",789,"1,583",447,"29,302",716,"24,184",414,667,737,"2,518",130,**        ,318,
"$50,000 or more      ","2,211","6,426","2,254","250,522","2,137","214,425","1,762","2,577","2,200","41,892",417,24,"1,870",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98020                ,"9,735","20,778","3,892","696,102","6,810","379,648","7,066","36,148","8,140","129,882","1,540",26,"4,414",
"Under $10,000        ","1,639","1,503",108,"-2,918","1,008","5,963",867,"1,768",546,126,170,**        ,174,
"$10,000 under $25,000","1,641","3,025",267,"28,077",945,"14,691","1,010","3,000","1,279","1,535",201,--        ,372,
"$25,000 under $50,000","2,254","4,354",618,"82,564","1,637","53,140","1,455","4,424","2,141","7,884",313,**        ,786,
"$50,000 or more      ","4,201","11,896","2,899","588,379","3,220","305,854","3,734","26,956","4,174","120,337",856,*       26,"3,082",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98021                ,"10,122","21,769","6,462","588,335","8,887","484,042","6,401","11,886","8,657","86,813","1,412",27,"4,656",
"Under $10,000        ","1,600","1,111",151,"5,288","1,255","6,361",694,499,613,136,152,*       10,98,
"$10,000 under $25,000","1,686","2,741",389,"28,846","1,291","20,629",770,"1,472","1,342","1,627",171,**        ,246,
"$25,000 under $50,000","2,229","4,265",998,"81,809","1,965","66,489","1,211","2,033","2,118","7,536",264,**        ,779,
"$50,000 or more      ","4,607","13,652","4,924","472,392","4,376","390,563","3,726","7,882","4,584","77,514",825,17,"3,533",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98022                ,"9,472","21,323","6,386","474,876","8,010","357,713","5,607","14,310","7,876","62,328","1,349",285,"3,994",
"Under $10,000        ","1,493","1,280",213,"1,104","1,173","5,894",565,708,488,123,139,25,74,
"$10,000 under $25,000","1,921","3,457",658,"32,928","1,459","22,943",818,"1,810","1,501","1,682",188,28,270,
"$25,000 under $50,000","2,320","5,188","1,496","85,471","1,979","67,072","1,227","2,650","2,175","7,313",321,47,850,
"$50,000 or more      ","3,738","11,398","4,019","355,373","3,399","261,804","2,997","9,142","3,712","53,210",701,185,"2,800",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98023                ,"20,305","44,262","14,549","1,049,512","18,169","842,269","10,972","19,558","16,548","146,777","2,601",22,"8,418",
"Under $10,000        ","3,294","2,875",706,"4,774","2,698","14,624","1,070","1,230","1,082",234,311,--        ,162,
"$10,000 under $25,000","3,856","6,821","1,939","67,419","3,302","54,663","1,249","1,486","2,766","3,307",407,**        ,508,
"$25,000 under $50,000","5,306","11,429","3,800","193,501","4,860","167,112","2,472","2,685","4,880","16,189",614,**        ,"1,851",
"$50,000 or more      ","7,849","23,137","8,104","783,818","7,309","605,870","6,181","14,157","7,820","127,047","1,269",*       22,"5,897",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98024                ,"2,228","4,750","1,333","153,116","1,883","117,304","1,456","4,298","1,866","28,935",371,27,"1,058",
"Under $10,000        ",389,323,52,"-4,597",288,"1,497",174,308,143,53,41,*       10,30,
"$10,000 under $25,000",366,614,104,"6,152",270,"4,243",171,412,284,309,49,**        ,70,
"$25,000 under $50,000",492,940,216,"18,177",432,"14,461",281,342,468,"1,625",72,**        ,185,
"$50,000 or more      ",981,"2,873",961,"133,384",893,"97,103",830,"3,236",971,"26,948",209,17,773,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98025                ,342,723,189,"18,659",291,"14,137",226,521,288,"2,689",65,**        ,155,
"Under $10,000        ",53,47,6,61,42,193,26,20,18,4,**        ,--        ,*       11,
"$10,000 under $25,000",65,122,19,"1,159",47,851,30,37,51,59,*       19,**        ,**        ,
"$25,000 under $50,000",76,158,45,"2,806",66,"2,264",44,72,72,238,12,--        ,31,
"$50,000 or more      ",148,396,119,"14,633",136,"10,829",126,392,147,"2,388",34,**        ,113,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98026                ,"16,996","35,345","9,491","924,250","14,336","675,433","10,654","27,504","14,314","135,914","2,474",26,"7,231",
"Under $10,000        ","2,663","2,155",311,"4,991","2,001","11,953","1,101","1,258",877,208,250,--        ,168,
"$10,000 under $25,000","3,166","5,278",891,"54,978","2,429","39,608","1,444","2,552","2,522","2,973",338,**        ,530,
"$25,000 under $50,000","4,474","8,600","2,057","163,160","3,885","130,789","2,529","4,153","4,247","15,013",564,**        ,"1,561",
"$50,000 or more      ","6,693","19,312","6,232","701,121","6,021","493,083","5,580","19,541","6,668","117,720","1,322",*       26,"4,972",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98027                ,"11,832","24,220","6,614","1,045,224","10,033","793,022","8,048","24,817","10,232","214,487","1,822",41,"5,875",
"Under $10,000        ","1,856","1,191",172,"-5,340","1,267","7,109",860,"1,038",725,184,166,*       12,137,
"$10,000 under $25,000","1,558","2,314",326,"26,851","1,211","19,286",722,"1,301","1,259","1,527",187,**        ,274,
"$25,000 under $50,000","2,460","4,327",895,"90,492","2,125","72,383","1,367","2,400","2,332","8,652",321,**        ,833,
"$50,000 or more      ","5,958","16,388","5,221","933,221","5,430","694,244","5,099","20,078","5,916","204,124","1,148",29,"4,631",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98028                ,"8,722","18,102","4,865","532,704","7,397","396,399","5,527","14,357","7,341","85,917","1,319",19,"3,895",
"Under $10,000        ","1,479","1,106",170,"4,708","1,101","5,601",624,586,523,130,138,--        ,100,
"$10,000 under $25,000","1,437","2,330",369,"24,999","1,124","18,469",630,"1,220","1,129","1,353",172,**        ,205,
"$25,000 under $50,000","2,051","3,818",833,"75,331","1,786","61,139","1,129","2,039","1,953","7,087",223,**        ,702,
"$50,000 or more      ","3,755","10,848","3,493","427,666","3,386","311,190","3,144","10,512","3,736","77,347",786,*       19,"2,888",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98029                ,"7,234","16,806","5,055","607,642","5,904","483,205","5,214","15,109","6,276","110,775",904,10,"4,054",
"Under $10,000        ","1,034",664,86,-45,734,"3,679",484,709,358,76,57,*       10,80,
"$10,000 under $25,000",814,"1,446",179,"13,858",480,"7,910",481,"1,411",633,705,50,**        ,198,
"$25,000 under $50,000","1,193","2,362",496,"44,817",920,"31,446",748,"1,937","1,112","4,105",131,--        ,516,
"$50,000 or more      ","4,193","12,334","4,294","549,012","3,770","440,170","3,501","11,052","4,173","105,889",666,**        ,"3,260",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98030                ,218,506,162,"10,892",178,"7,644",108,201,170,"1,360",62,--        ,89,
"Under $10,000        ",34,60,18,94,22,162,**        ,**        ,**        ,**          ,13,--        ,*       12,
"$10,000 under $25,000",55,119,40,977,44,673,*       28,*       48,*       44,*         48,10,--        ,**        ,
"$25,000 under $50,000",51,116,38,"1,880",43,"1,405",24,31,49,158,15,--        ,21,
"$50,000 or more      ",78,211,66,"7,941",69,"5,404",56,122,77,"1,154",24,--        ,56,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98031                ,"27,562","59,659","20,061","1,215,197","24,884","1,033,804","14,040","20,016","22,073","144,757","3,091",33,"10,140",
"Under $10,000        ","4,463","4,725","1,347","20,067","3,728","18,985","1,267","1,047","1,354",296,409,**        ,131,
"$10,000 under $25,000","6,134","11,432","3,503","107,465","5,272","87,251","1,852","2,315","4,327","5,114",600,**        ,649,
"$25,000 under $50,000","7,597","15,875","5,147","274,859","7,005","239,295","3,457","3,932","7,059","23,663",750,**        ,"2,297",
"$50,000 or more      ","9,368","27,627","10,064","812,806","8,879","688,273","7,464","12,722","9,333","115,684","1,332",*       33,"7,063",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98032                ,"13,717","26,374","7,540","558,492","12,357","460,721","6,160","9,584","11,144","70,864","1,299",18,"4,042",
"Under $10,000        ","1,954","2,402",607,"7,010","1,597","8,888",499,376,513,121,174,**        ,65,
"$10,000 under $25,000","3,472","6,075","1,735","61,760","3,040","51,828",953,"1,274","2,586","3,203",279,**        ,324,
"$25,000 under $50,000","4,494","8,425","2,465","162,301","4,198","143,933","1,913","1,965","4,258","15,161",353,*       18,"1,238",
"$50,000 or more      ","3,797","9,472","2,733","327,421","3,522","256,072","2,795","5,969","3,787","52,379",493,**        ,"2,415",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98033                ,"16,486","30,945","6,768","1,555,746","13,763","1,160,514","10,983","49,575","14,314","343,475","2,682",33,"7,728",
"Under $10,000        ","2,240","1,821",193,"-28,703","1,543","10,112","1,046","2,985",721,157,299,10,248,
"$10,000 under $25,000","2,335","3,539",417,"40,618","1,721","27,727","1,137","2,384","1,871","2,328",333,--        ,450,
"$25,000 under $50,000","3,697","6,139","1,057","137,250","3,167","109,481","2,009","3,910","3,550","13,824",490,**        ,"1,210",
"$50,000 or more      ","8,214","19,446","5,101","1,406,581","7,332","1,013,194","6,791","40,296","8,172","327,166","1,560",23,"5,820",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98034                ,"19,479","37,361","9,862","1,230,792","17,348","1,001,933","11,433","26,668","16,792","213,011","2,645",28,"8,177",
"Under $10,000        ","2,644","2,110",347,"6,447","2,077","11,714",974,751,879,212,285,**        ,186,
"$10,000 under $25,000","3,333","5,119",987,"58,520","2,778","46,861","1,301","2,065","2,674","3,332",377,*       11,513,
"$25,000 under $50,000","5,449","9,345","2,218","200,529","4,972","172,467","2,736","3,259","5,225","19,925",572,**        ,"1,771",
"$50,000 or more      ","8,053","20,787","6,310","965,296","7,521","770,891","6,422","20,593","8,014","189,542","1,411",17,"5,707",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98035                ,491,900,194,"26,234",416,"17,635",257,"1,594",413,"4,014",70,**        ,132,
"Under $10,000        ",47,59,11,-193,34,317,16,14,11,3,14,--        ,**        ,
"$10,000 under $25,000",124,220,58,"2,140",101,"1,783",36,64,91,104,19,--        ,*       13,
"$25,000 under $50,000",169,286,61,"6,087",150,"5,010",85,92,160,604,15,**        ,35,
"$50,000 or more      ",151,335,64,"18,200",131,"10,525",120,"1,424",151,"3,303",22,**        ,84,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98036                ,"15,083","31,600","9,445","682,948","13,315","561,321","8,306","14,116","12,407","85,144","1,948",13,"5,793",
"Under $10,000        ","2,440","2,340",460,"6,004","1,930","10,189",812,904,760,158,247,--        ,123,
"$10,000 under $25,000","3,229","5,620","1,293","56,604","2,676","44,680","1,161","1,761","2,482","3,014",332,**        ,392,
"$25,000 under $50,000","4,192","8,405","2,363","152,060","3,803","129,702","2,169","2,771","3,967","13,411",485,**        ,"1,405",
"$50,000 or more      ","5,222","15,235","5,329","468,280","4,906","376,750","4,164","8,680","5,198","68,561",884,*       13,"3,873",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98037                ,"20,764","41,902","12,081","890,956","18,628","750,279","10,327","15,785","17,177","108,630","2,488",19,"6,758",
"Under $10,000        ","3,171","3,164",667,"12,514","2,595","13,858",939,712,973,206,336,**        ,141,
"$10,000 under $25,000","4,729","8,073","1,939","83,597","4,016","67,546","1,556","2,195","3,651","4,415",473,**        ,502,
"$25,000 under $50,000","6,233","12,068","3,265","225,479","5,740","195,790","2,846","3,915","5,949","20,579",653,*       19,"1,603",
"$50,000 or more      ","6,631","18,597","6,210","569,366","6,277","473,085","4,986","8,963","6,604","83,430","1,026",**        ,"4,512",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98038                ,"10,133","23,652","7,772","652,194","8,949","530,283","6,653","12,349","8,789","95,079","1,444",79,"5,655",
"Under $10,000        ","1,437",974,146,"4,776","1,136","5,782",580,590,519,111,104,*       13,68,
"$10,000 under $25,000","1,358","2,199",405,"23,635","1,040","17,146",592,"1,149","1,073","1,280",147,**        ,250,
"$25,000 under $50,000","1,970","4,125","1,138","73,531","1,697","58,809","1,077","1,737","1,852","6,248",283,18,856,
"$50,000 or more      ","5,368","16,354","6,083","550,252","5,076","448,546","4,404","8,873","5,345","87,440",910,48,"4,481",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98039                ,"1,514","3,456",902,"626,587",976,"303,843","1,231","39,031","1,250","191,203",290,12,864,
"Under $10,000        ",328,188,17,"-5,484",169,"2,132",191,"2,131",128,64,20,--        ,39,
"$10,000 under $25,000",149,199,22,"2,561",81,"1,189",92,261,121,174,21,--        ,37,
"$25,000 under $50,000",167,303,37,"6,106",105,"3,153",128,545,151,543,22,--        ,65,
"$50,000 or more      ",870,"2,766",826,"623,404",621,"297,369",820,"36,094",850,"190,422",227,12,723,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98040                ,"11,375","25,287","6,577","1,842,651","7,729","999,071","9,143","79,722","9,447","465,964","2,121",24,"5,791",
"Under $10,000        ","2,470","1,411",189,"-21,512","1,361","9,016","1,504","5,824","1,005",347,188,**        ,211,
"$10,000 under $25,000","1,203","1,887",177,"20,614",737,"11,505",805,"2,159",937,"1,202",168,--        ,265,
"$25,000 under $50,000","1,600","3,067",477,"59,021","1,076","35,339","1,163","4,208","1,469","5,564",260,**        ,613,
"$50,000 or more      ","6,102","18,922","5,734","1,784,528","4,555","943,211","5,671","67,531","6,036","458,851","1,505",*       24,"4,702",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98041                ,582,"1,101",203,"22,466",443,"20,031",372,"1,237",490,"5,404",109,--        ,212,
"Under $10,000        ",82,108,11,"-9,933",49,322,46,302,17,3,19,--        ,13,
"$10,000 under $25,000",121,200,26,"2,187",75,"1,247",57,122,103,139,23,--        ,20,
"$25,000 under $50,000",165,295,54,"6,021",134,"4,476",99,153,157,598,23,--        ,44,
"$50,000 or more      ",214,498,112,"24,191",185,"13,986",170,660,213,"4,664",44,--        ,135,
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98042                ,"16,818","37,936","12,405","969,981","14,956","783,215","10,378","21,047","14,139","142,129","2,118",72,"8,542",
"Under $10,000        ","2,702","1,898",369,"-1,323","2,200","11,956","1,005","1,733",933,207,192,*       13,144,
"$10,000 under $25,000","2,618","4,383","1,007","44,979","2,134","34,436","1,054","1,475","1,970","2,362",241,**        ,428,
"$25,000 under $50,000","3,726","8,066","2,475","138,147","3,334","115,760","1,966","2,428","3,501","11,580",446,13,"1,625",
"$50,000 or more      ","7,772","23,589","8,554","788,178","7,288","621,063","6,353","15,411","7,735","127,980","1,239",46,"6,345",
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,            ,          ,          ,          ,
98043                ,"9,531","18,795","5,262","370,863","8,464","314,506","4,739","6,244","7,922","41,214","1,132",**        ,"3,295",
