WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
00000,"$100,000 under $200,000",405620,337896,195351,1101231,357787,54193060,367596,42489042,292319,482896,182827,807861,168618,556970,71132,1532903,4934,147751,713056,59772,1680518,102558,3532384,30892,257586,66834,1368978,6886,102414,311508,7955875,22114,135649,268995,688202,300336,1323917,310634,2204277,281118,3818709,272521,1034532,405160,41167936,192075,254758,20685,6991,87674,118566,33443,18229,484,274,0,0,0,0,8225,17333,403628,7112706,404082,7387530,133800,591798,253470,1051611
00000,"$200,000 or more",112703,98359,75178,328460,117463,51137957,99614,27726113,99808,921118,80390,2221351,76766,1687256,25567,1841769,1847,77619,5597912,18286,1182685,22714,1075598,3713,30155,16244,364560,7831,225482,102044,5414038,10307,249908,88200,396340,98988,819840,101916,1538083,85013,1705944,94495,1282886,112582,44271380,54576,239928,5369,2800,48,0.85,10513,5493,0,0,0,0,0,0,52065,276683,112436,11131952,112505,11392833,53896,1199029,41545,472716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,,"14,414","6,258","6,549","30,098","10,328","856,374","12,442","666,104","5,931","4,913","2,606","6,608","2,333","4,398","1,900","26,110",26,"1,844","5,639","1,124","19,061","2,362","50,881","1,701","15,616","1,509","19,360",47,667,"5,786","123,054",146,626,"5,066","9,985","5,442","20,697","5,736","32,311","5,182","59,366","4,524","14,431","11,725","571,579","4,757","5,885",367,89,"2,731","3,592",495,273,"1,573","2,221","2,047","4,254","1,683","3,484",134,401,"10,612","92,493","11,335","97,036","2,357","7,923","11,621","32,188"
98001,"$1 under $25,000",**,632,1992,**,2007,57172,6621,142681,1018,522,365,985,319,690,600,5237,**,269,-28,197,1211,463,4079,492,4018,152,243,**,**,399,6659,**,**,319,275,338,1084,386,1418,290,2634,223,418,2176,13710,589,223,**,**,155,55,31,10,810,1014,1351,3022,1174,2595,0,0,1769,1211,2252,1948,381,275,**,**
98001,"$25,000 under $50,000",8099,1061,1575,13531,2634,126183,**,**,1067,741,364,848,332,554,433,5861,26,274,106,237,2436,487,8422,481,5140,422,2808,**,**,999,16638,39,39,841,1004,888,2902,980,4071,830,7882,675,1305,3249,65042,1322,1200,72,18,804,788,108,58,629,993,696,1232,509,889,**,**,2684,6935,2884,7919,444,688,**,**
98001,"$50,000 under $75,000",2325,1237,1121,5514,1952,143618,2085,116595,1106,584,439,858,376,625,292,3125,**,266,68,212,2899,483,10552,308,2740,373,5548,**,**,1326,24446,30,55,1156,1802,1242,4200,1313,6250,1199,12343,995,2318,2314,89473,1019,1486,86,23,721,1115,82,47,134,214,0,0,0,0,**,**,2193,11228,2224,11832,425,807,8841,20548
98001,"$75,000 under $100,000",1620,1210,740,4262,1432,140305,1497,116282,979,609,439,672,385,429,242,2889,**,282,696,172,2954,355,9040,203,1704,260,4615,**,**,1117,23178,22,69,992,1880,1078,3891,1115,6063,1040,12206,907,2449,1616,96312,776,1304,90,21,544,948,106,62,**,**,0,0,0,0,**,**,1601,13057,1609,13670,318,788,1276,4414
98001,"$100,000 under $200,000",2070,1845,941,5941,2026,270837,1966,228289,1498,1198,833,1898,767,1255,281,5186,**,597,1461,261,6702,505,14988,217,2014,265,5269,47,667,1674,40472,55,463,1516,3902,1629,6833,1671,11316,1589,20214,1483,5391,2070,203892,957,1322,119,27,507,686,168,96,**,**,0,0,0,0,37,55,2066,34470,2067,35481,642,2326,1379,5766
98001,"$200,000 or more",300,273,180,850,277,118259,273,62257,263,1259,166,1347,154,845,52,3812,**,156,3336,45,2859,69,3800,**,**,37,877,**,**,271,11661,**,**,242,1122,267,1787,271,3193,234,4087,241,2550,300,103150,94,350,**,**,0,0,**,**,0,0,0,0,0,0,97,346,299,25592,299,26186,147,3039,125,1460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,,"14,445","4,467","6,664","30,077","11,571","570,729","12,301","452,044","3,840","3,774","1,579","5,336","1,372","4,022","1,296","11,840",0,"1,042","3,050",972,"11,405","2,317","41,664","1,887","16,063","1,480","15,106",0,0,"3,106","56,243",57,104,"2,624","4,356","2,740","8,436","3,040","13,454","2,597","25,683","2,250","5,708","10,896","336,299","4,216","4,319",198,49,"2,686","2,989",379,195,"2,914","4,165","3,070","6,792","2,741","6,169",40,105,"9,222","46,472","9,806","48,762","1,705","3,753","12,338","33,507"
98002,"$1 under $25,000",6049,819,2682,10782,4304,81410,4819,61292,931,626,318,703,269,372,566,4269,**,258,-147,264,1352,737,6949,773,5658,257,458,**,**,307,4569,**,**,239,276,222,595,289,925,188,1410,183,298,2721,17305,794,280,**,**,330,110,59,18,1761,2240,2105,5099,1949,4735,0,0,2137,1561,2571,2193,401,283,5359,11586
98002,"$25,000 under $50,000",4579,1266,2151,10020,4191,164457,4031,134764,1029,597,403,2341,351,2075,327,3108,**,233,191,280,2438,656,10591,649,6349,551,3354,**,**,777,11711,34,47,636,750,642,1744,759,2627,601,4929,508,1027,4369,85737,1851,1690,56,16,1295,1206,132,71,1042,1748,965,1693,792,1434,**,**,3389,8870,3518,9453,466,562,4071,11078
98002,"$50,000 under $75,000",2015,1000,963,4679,1664,122500,1799,98624,841,703,344,964,295,651,189,1831,**,220,201,200,2580,414,9191,265,2309,361,5157,**,**,845,14603,**,**,720,1071,762,2213,832,3429,732,6998,623,1288,2007,79743,828,1218,66,12,603,955,66,32,111,177,0,0,0,0,**,**,1900,10250,1920,10642,351,709,1629,6433
98002,"$75,000 under $100,000",960,677,442,2414,777,82953,877,68089,487,505,215,476,191,263,101,1057,**,141,66,114,1845,260,6425,113,1007,159,3022,**,**,557,10901,23,57,469,870,515,1611,543,2644,500,5319,412,1042,957,59022,420,660,42,14,294,494,58,37,**,**,0,0,0,0,**,**,955,8356,956,8600,188,447,756,2453
98002,"$100,000 under $200,000",777,656,384,2024,591,98448,723,80901,500,466,263,490,232,343,113,1575,**,154,534,114,3190,229,6719,87,740,131,2610,**,**,564,12379,**,**,508,1193,547,1913,561,3249,532,6259,475,1671,777,76269,298,398,34,7,164,224,64,37,**,**,0,0,0,0,40,105,776,13119,776,13444,265,1113,500,1800
98002,"$200,000 or more",65,49,42,158,44,20961,52,8374,52,877,36,362,34,318,**,**,**,36,2205,**,**,21,1789,**,**,21,505,**,**,56,2080,**,**,52,196,52,360,56,580,44,768,49,382,65,18223,25,73,**,**,0,0,**,**,0,0,0,0,0,0,**,**,65,4316,65,4430,34,639,23,157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,,"19,821","6,426","9,144","41,167","15,702","909,550","16,949","702,755","6,215","8,517","2,751","10,231","2,411","6,440","2,178","25,565",0,"2,092","10,445","1,471","22,146","3,177","63,169","2,215","18,461","2,044","23,771",47,915,"5,325","109,192",123,598,"4,567","8,541","4,730","16,379","5,239","26,580","4,422","47,248","4,099","14,291","15,095","565,508","6,108","6,456",361,95,"3,550","4,019",525,280,"3,671","5,419","3,785","8,475","3,366","7,586",170,717,"12,913","87,570","13,824","91,948","2,789","7,252","16,348","43,596"
98003,"$1 under $25,000",7980,1060,3574,13592,5312,105237,6403,81589,1386,898,539,1294,453,763,897,6195,**,419,-30,358,2005,846,7740,861,6253,287,500,**,**,507,7643,**,**,415,533,370,1053,487,1650,314,2655,302,536,3571,22759,1096,414,**,**,410,146,53,18,2183,2806,2679,6537,2463,5960,**,**,2753,1994,3432,2965,615,425,6940,14874
98003,"$25,000 under $50,000",5814,1574,2628,12855,5486,209881,5172,175457,1501,958,515,1193,438,730,490,4653,**,410,312,352,3349,806,13086,676,6272,659,4303,**,**,1217,18878,29,37,984,1330,1006,2754,1183,4317,945,8011,856,1807,5522,108044,2429,2173,88,22,1589,1460,197,104,1334,2375,1106,1938,903,1626,34,41,4322,11363,4524,12200,703,894,5051,13366
98003,"$50,000 under $75,000",2658,1243,1294,6041,2139,161767,2322,128230,1163,1038,499,1646,443,1044,310,3550,**,365,387,290,3915,581,13052,360,3089,481,6841,**,**,1202,22272,21,51,1035,1512,1066,3134,1184,4882,1011,9908,900,2196,2638,104676,1122,1655,91,26,766,1237,97,55,154,238,0,0,0,0,**,**,2495,13473,2520,14092,496,1109,2100,6150
98003,"$75,000 under $100,000",1503,994,716,3718,1223,129702,1344,102180,800,605,383,1241,340,876,187,2715,**,285,369,195,3727,395,10757,176,1564,288,5505,**,**,927,19053,21,73,818,1568,868,2857,918,4677,828,9101,736,2009,1500,91002,653,996,73,22,454,733,70,40,**,**,0,0,0,0,**,**,1482,12928,1486,13432,334,877,1141,3810
98003,"$100,000 under $200,000",1623,1350,769,4315,1342,211154,1491,168984,1152,1176,648,1862,581,1277,242,4130,**,456,2350,228,6436,484,14440,142,1283,288,5862,47,915,1264,30676,52,437,1129,2870,1221,4956,1260,8346,1149,14806,1110,4335,1621,160639,702,916,109,25,331,443,108,63,0,0,0,0,0,0,32,66,1619,27638,1620,28510,530,2169,1032,3884
98003,"$200,000 or more",243,205,163,646,200,91809,217,46315,213,3842,167,2995,156,1750,52,4322,**,157,7057,48,2714,65,4094,**,**,41,760,**,**,208,10670,**,**,186,728,199,1625,207,2708,175,2767,195,3408,243,78388,106,302,**,**,0,0,**,**,0,0,0,0,0,0,104,610,242,20174,242,20749,111,1778,84,1512
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,,"16,374","6,447","7,971","30,232","8,248","2,895,111","13,028","1,787,394","9,685","63,942","7,528","149,765","7,085","106,008","2,492","96,002",26,"6,713","342,477","2,207","78,789","2,593","66,542",884,"8,413","2,432","41,566",326,"8,575","7,181","361,745",643,"12,914","5,966","20,621","6,136","52,210","7,061","96,232","4,861","96,308","6,008","89,247","14,244","2,377,072","5,424","21,628",268,131,"1,196","1,394",504,268,632,936,633,960,506,784,"1,605","12,729","13,451","582,223","13,860","602,266","4,308","41,601","10,201","48,215"
98004,"$1 under $25,000",3568,369,1585,4159,1016,40531,2416,29603,1324,1667,953,3167,882,1801,448,3086,**,834,-137,271,1837,349,2856,201,1713,161,336,**,**,532,10104,23,72,404,387,336,1655,494,2269,217,2662,313,563,1707,10918,480,167,**,**,72,24,**,**,334,455,516,795,429,662,**,**,1350,971,1629,1501,447,388,2493,3568
98004,"$25,000 under $50,000",2883,501,1201,4455,1093,106573,2309,82627,1137,1885,730,4344,661,2797,335,2772,**,623,680,321,3755,401,6410,233,2506,483,3884,**,**,720,16218,32,55,598,766,529,2722,691,3583,373,4646,517,1255,2709,62538,845,684,**,**,301,270,34,17,229,396,117,165,77,122,0,0,2418,7262,2485,8067,504,870,2211,5642
98004,"$50,000 under $75,000",2022,564,860,3193,614,124527,1622,92938,1081,1954,672,5327,618,3495,296,6015,**,588,714,271,4538,394,8231,132,1252,404,6099,48,478,746,17675,36,139,631,1012,597,3098,729,4366,456,6050,567,1872,1976,86706,594,677,46,15,237,331,29,20,42,57,0,0,0,0,23,40,1902,12757,1933,13728,539,1294,1361,3813
98004,"$75,000 under $100,000",1677,703,756,2966,592,146956,1356,109156,1031,2625,765,5187,702,3072,241,4703,26,625,2795,311,6743,349,9859,71,665,359,7153,**,**,788,19572,65,334,653,1257,638,3594,778,5306,489,7113,635,2399,1652,109698,571,751,28,6,237,353,39,19,27,28,0,0,0,0,**,**,1621,17962,1633,18848,462,1445,1087,3840
98004,"$100,000 under $200,000",3503,2024,1654,7438,1912,479517,2998,363616,2624,7172,2205,16289,2090,11600,549,17141,**,1875,10130,568,20821,681,21736,180,1613,618,14013,71,1145,1997,63812,196,1379,1664,5287,1770,11572,1982,18660,1488,25534,1740,7936,3486,376605,1412,1716,97,40,349,416,157,82,**,**,0,0,0,0,165,472,3450,71094,3469,73873,1139,5797,2097,10128
98004,"$200,000 or more",2721,2286,1915,8021,3021,1997007,2327,1109454,2488,48639,2203,115451,2132,83243,623,62285,**,2168,328295,465,41095,419,17450,67,664,407,10081,207,6952,2398,234364,291,10935,2016,11912,2266,29569,2387,62048,1838,50303,2236,75222,2714,1730607,1522,17633,97,70,0,0,245,130,0,0,0,0,0,0,1417,12217,2710,472177,2711,486249,1217,31807,952,21224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,,"9,354","4,061","4,208","18,423","5,463","1,049,950","7,685","700,423","5,133","20,848","3,597","39,164","3,347","28,495","1,357","37,072",0,"3,156","46,520","1,119","31,628","1,496","34,999",601,"5,791","1,289","21,034",147,"3,687","3,886","119,273",222,"2,155","3,358","8,955","3,398","18,944","3,832","30,733","2,869","44,646","3,274","18,548","7,987","831,380","3,315","5,129",205,58,"1,119","1,301",380,194,507,821,571,822,446,674,585,"2,740","7,471","174,956","7,741","171,317","2,254","15,375","6,349","19,901"
98005,"$1 under $25,000",2378,289,941,3033,807,28498,1727,21440,774,791,488,1593,439,1026,292,1874,**,417,-45,163,1220,232,1945,170,1450,111,191,**,**,305,5736,**,**,241,211,225,933,287,1201,160,1507,203,322,1123,7412,323,138,**,**,55,19,**,**,260,383,418,580,333,482,**,**,900,652,1097,969,305,212,1765,2749
98005,"$25,000 under $50,000",1834,428,759,3178,930,67443,1547,54047,699,764,362,1345,313,821,213,2349,**,304,256,169,1909,251,3577,165,1804,260,1897,**,**,424,7660,30,45,357,421,326,1184,413,1705,268,2583,313,635,1744,38569,622,514,**,**,268,248,39,17,214,387,153,242,113,192,0,0,1524,4358,1566,4829,301,477,1471,3302
98005,"$50,000 under $75,000",1373,562,620,2518,584,85286,1138,66351,707,1168,406,1983,378,1341,165,2459,**,348,508,185,2739,260,5730,97,892,265,4101,32,259,544,10730,29,85,463,809,426,1613,537,2582,348,3742,414,977,1362,58434,486,589,42,9,278,374,34,17,33,51,0,0,0,0,**,**,1322,8174,1336,8589,334,694,997,2567
98005,"$75,000 under $100,000",912,527,423,1900,460,79088,757,60329,605,1058,395,2035,365,1277,127,2326,**,322,824,153,3050,205,5302,55,469,188,3888,**,**,462,9970,24,74,402,755,394,1630,456,2523,329,4035,392,1176,909,57681,409,570,24,5,222,316,27,16,**,**,0,0,0,0,**,**,890,8576,898,8956,210,592,652,2116
98005,"$100,000 under $200,000",1823,1344,795,4615,1448,254076,1599,198099,1418,2841,1131,7173,1062,5098,319,9036,**,967,4082,285,9404,371,10982,84,890,318,7224,48,889,1223,33885,62,423,1082,3064,1130,5674,1211,9363,1018,15547,1078,4496,1820,197087,870,1085,81,26,296,344,152,77,**,**,0,0,0,0,64,130,1808,35640,1814,37028,639,2980,1062,4711
98005,"$200,000 or more",1034,911,670,3179,1234,535559,917,300157,930,14226,815,25035,790,18932,241,19028,**,798,40895,164,13306,177,7463,30,286,147,3733,67,2539,928,51292,77,1528,813,3695,897,7910,928,13359,746,17232,874,10942,1029,472197,605,2233,58,18,0,0,128,67,0,0,0,0,0,0,521,2610,1027,117556,1030,110946,465,10420,402,4456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,,"17,541","9,098","7,508","37,273","12,238","2,401,004","14,162","1,569,618","11,021","32,989","8,363","90,023","7,774","66,746","2,944","86,456",25,"7,221","201,236","2,460","71,320","3,174","86,445","1,135","11,311","2,554","43,197",429,"9,762","8,976","283,820",445,"5,812","7,856","21,992","8,476","50,399","8,896","80,188","7,278","115,372","7,796","44,227","14,786","1,935,535","6,835","16,279",535,152,"2,039","2,556",928,458,709,882,"1,023","1,762",828,"1,447","1,591","7,132","13,856","429,915","14,436","443,547","4,585","37,873","11,206","41,899"
98006,"$1 under $25,000",4614,540,1691,4535,954,46897,3332,34369,1605,1449,1156,2368,1053,1480,543,3740,**,888,208,298,1894,445,3750,261,2048,149,259,21,154,504,10177,**,**,392,319,389,1637,469,2093,284,3405,295,456,2085,12431,544,223,**,**,66,24,**,**,340,398,756,1335,622,1127,22,24,1656,1141,2055,1785,561,436,3352,4153
98006,"$25,000 under $50,000",2518,703,996,4304,1110,92692,1938,67509,1166,1857,708,3134,644,2055,374,5048,**,607,721,343,3843,443,7110,236,2670,474,3414,**,**,775,16180,41,102,647,798,673,2942,760,3945,534,6085,561,1292,2340,49615,866,673,40,12,320,296,65,33,265,357,267,427,206,320,**,**,2020,5469,2131,6302,432,700,1946,4501
98006,"$50,000 under $75,000",1966,881,876,3972,1130,122105,1505,82742,1204,2101,786,3994,721,2636,321,5647,25,666,1024,350,6248,491,11357,156,1628,491,7409,22,222,981,21520,41,177,859,1384,901,3958,972,5704,751,8692,788,2062,1930,78284,808,1041,52,12,408,583,60,33,84,104,0,0,0,0,**,**,1814,10329,1862,11317,495,1103,1338,4045
98006,"$75,000 under $100,000",1672,1088,721,4005,1245,146037,1351,103704,1235,1861,859,4019,770,2692,317,6018,**,701,902,315,7314,427,12594,120,1265,424,8551,21,285,1082,25586,43,179,949,1787,1027,4830,1074,6969,889,11434,928,2884,1668,99683,843,1239,69,19,493,783,89,41,20,23,0,0,0,0,**,**,1628,13896,1639,14837,412,1180,1163,4459
98006,"$100,000 under $200,000",4005,3306,1647,11409,4097,566618,3513,433183,3283,6028,2606,15064,2424,10798,771,19003,**,2203,6729,727,22831,921,33817,269,2835,732,16765,118,2014,3102,86161,128,835,2767,7615,3004,16027,3090,25073,2693,41043,2811,11517,4000,428384,2195,2553,215,44,752,870,345,172,**,**,0,0,0,0,134,255,3980,75426,3988,78378,1356,5679,2401,11091
98006,"$200,000 or more",2766,2580,1577,9048,3702,1426655,2523,848111,2528,19693,2248,61444,2162,47085,618,47000,**,2156,191652,427,29190,447,17817,93,865,284,6799,247,7087,2532,124196,192,4519,2242,10089,2482,21005,2531,36404,2127,44713,2413,26016,2763,1267138,1579,10550,159,65,0,0,369,179,0,0,0,0,0,0,1435,6853,2758,323654,2761,330928,1329,28775,1006,13650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,,"12,561","5,056","5,292","24,977","7,786","870,621","10,935","715,456","5,227","7,108","3,375","14,626","3,123","9,862","1,404","24,692",0,"2,716","17,966",987,"17,532","1,461","26,676",858,"7,116","1,044","14,031",76,"1,426","3,347","74,968",168,"1,186","2,772","6,019","2,587","9,576","3,251","17,817","2,281","29,897","2,503","10,346","10,447","642,590","4,150","4,677",188,45,"2,099","2,412",390,207,"1,165","1,745","1,191","2,191",976,"1,852",256,836,"9,644","117,341","10,062","121,036","2,431","8,525","9,524","24,326"
98007,"$1 under $25,000",3780,521,1509,5641,1763,48434,2963,38333,870,619,426,1089,386,642,465,3506,**,338,-20,217,1318,352,3123,308,2375,126,200,**,**,347,5063,**,**,253,300,207,600,318,1123,161,1609,171,225,1815,12004,485,184,**,**,111,38,**,**,670,892,896,1698,751,1472,0,0,1494,1094,1821,1605,402,274,3056,5124
98007,"$25,000 under $50,000",2788,784,1190,5600,2029,101841,2482,86947,822,715,386,1245,342,760,285,3841,**,308,63,195,2181,273,4052,242,2161,270,1869,24,215,507,7867,**,**,398,477,358,1058,486,1783,301,2986,338,677,2662,55959,1035,850,25,4,599,538,67,32,445,789,295,493,225,380,0,0,2250,6246,2321,6824,359,531,2375,5720
98007,"$50,000 under $75,000",1973,898,896,3867,998,122001,1770,104308,822,968,399,2053,362,1296,164,2704,**,335,593,180,2356,270,5667,129,1035,253,3650,**,**,633,11968,52,124,522,797,428,1371,613,2380,376,4154,454,1094,1954,84297,734,878,28,8,472,626,37,16,50,64,0,0,0,0,**,**,1904,11734,1918,12201,395,693,1519,3929
98007,"$75,000 under $100,000",1382,839,597,3056,834,119920,1258,103387,745,958,451,1232,408,823,147,2479,**,369,657,130,2748,189,4420,72,624,170,3316,**,**,504,10126,31,156,418,790,387,1203,489,2220,352,4192,399,1263,1380,89913,644,913,37,9,442,638,54,29,**,**,0,0,0,0,**,**,1370,13435,1373,13905,325,701,1014,3149
98007,"$100,000 under $200,000",2095,1533,825,5161,1534,276491,1962,242290,1481,1596,1264,4108,1185,2775,243,5773,**,967,3065,195,5540,291,6829,107,921,173,3692,23,280,934,23181,50,322,814,2071,800,3035,924,5737,739,10513,762,3033,2093,222581,963,1157,71,16,475,572,168,98,**,**,0,0,0,0,39,71,2084,40431,2087,41296,655,2446,1372,4879
98007,"$200,000 or more",543,481,275,1652,628,201934,500,140191,487,2252,449,4899,440,3566,100,6389,**,399,13608,70,3389,86,2585,**,**,52,1304,29,931,422,16763,35,584,367,1584,407,2309,421,4574,352,6443,379,4054,543,177836,289,695,27,8,0,0,64,32,0,0,0,0,0,0,217,765,542,44401,542,45205,295,3880,188,1525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,,"12,049","5,501","5,225","24,630","7,763","1,141,193","9,791","843,224","6,737","13,750","4,891","31,012","4,550","21,767","1,826","35,753",0,"4,122","51,382","1,672","35,691","2,260","52,278",950,"8,816","1,817","28,797",141,"2,425","5,262","140,269",196,"1,624","4,635","11,739","4,838","22,558","5,210","37,585","4,207","60,498","4,418","18,943","10,077","870,503","4,300","6,702",333,104,"1,585","1,914",547,262,778,"1,129",911,"1,449",729,"1,196",577,"2,608","9,356","176,709","9,769","182,213","2,864","15,769","8,277","24,177"
98008,"$1 under $25,000",3330,405,1290,4158,1101,38708,2416,28580,1036,1004,641,1547,576,947,434,3108,**,504,-218,275,1667,398,3301,248,1921,137,260,**,**,380,6757,26,28,308,275,288,1058,360,1410,204,2236,241,338,1534,9578,405,166,**,**,82,29,**,**,397,513,662,1035,538,876,0,0,1234,842,1524,1314,378,268,2524,3419
98008,"$25,000 under $50,000",2256,622,989,4327,1457,81963,1806,61004,921,1035,522,2007,476,1241,323,4023,**,411,223,275,2841,399,6672,250,2705,414,2969,**,**,636,12344,**,**,555,684,536,1910,621,2710,436,4602,455,993,2108,42778,793,626,34,8,378,339,55,24,326,541,249,414,191,320,0,0,1778,4668,1867,5310,379,572,1796,4197
