"Table 1-- Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code, and Size of Adjusted Gross Income, Tax Year 1998",,,,,,,,,,,,,,,,,,
(Money amounts in thousands of dollars),,,,,,,,,,,,,,,,,,
WASHINGTON           ,,,,,,,,,,,,,,,,,,
,,      Number of Exemptions      ,,,Salaries and Wages   ,,Taxable Interest,,Earned Income Credit  ,,Total Tax,,Schedule C,,Schedule F  ,, Schedule A Deductions ,
"Under $10,000        ","2,002","1,455",374,"6,371","1,676","7,739",656,353,370,413,818,288,147,158,**        ,**        ,66,784
"$10,000 under $25,000","2,101","3,321",944,"36,408","1,752","28,288",835,899,438,850,"1,827","2,516",224,262,*       16,*       16,271,"2,898"
"$25,000 under $50,000","2,870","6,194","2,120","106,181","2,595","89,660","1,726","1,878",85,38,"2,806","10,319",427,491,**        ,**        ,"1,213","14,008"
"$50,000 or more      ","4,223","12,369","4,559","364,469","4,012","295,664","3,558","5,368",--        ,--        ,"4,217","57,950",711,795,14,14,"3,255","49,562"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98002                ,"13,505","25,865","8,170","483,688","11,709","373,711","6,367","12,538","2,070","3,082","11,170","62,459","1,306","1,486",36,37,"3,117","39,228"
"Under $10,000        ","2,432","2,788",829,"11,030","2,043","10,160",620,472,867,"1,028",806,292,195,222,**        ,**        ,53,613
"$10,000 under $25,000","3,896","6,520","1,959","68,298","3,191","52,933","1,357","2,404","1,028","1,981","3,246","4,365",283,328,*       17,*       18,289,"3,094"
"$25,000 under $50,000","4,169","8,440","2,698","149,185","3,769","126,803","2,065","2,625",175,73,"4,111","14,980",370,411,**        ,**        ,"1,004","10,340"
"$50,000 or more      ","3,008","8,117","2,684","255,175","2,706","183,815","2,325","7,037",--        ,--        ,"3,007","42,822",458,525,19,19,"1,771","25,181"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98003                ,"18,035","34,427","10,936","693,179","15,944","552,154","9,147","15,305","2,474","3,695","15,139","93,032","2,075","2,425",31,31,"5,092","72,218"
"Under $10,000        ","3,222","3,480","1,073","12,783","2,643","13,675",930,704,"1,015","1,238","1,208",446,307,356,*       12,*       12,83,991
"$10,000 under $25,000","4,881","8,021","2,347","85,111","4,201","69,713","1,729","2,029","1,260","2,363","4,103","5,602",446,514,**        ,**        ,387,"4,033"
"$25,000 under $50,000","5,315","10,437","3,295","190,943","4,874","165,432","2,753","3,219",199,94,"5,217","19,311",556,653,**        ,**        ,"1,491","16,830"
"$50,000 or more      ","4,617","12,489","4,221","404,342","4,226","303,334","3,735","9,353",--        ,--        ,"4,611","67,673",766,902,19,19,"3,131","50,364"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98004                ,"11,914","20,098","4,563","1,593,524","8,558","836,824","8,748","73,117",386,406,"10,669","405,953","2,117","2,427",48,50,"4,890","165,045"
"Under $10,000        ","1,923","1,305",192,"-45,582","1,174","6,857",993,"6,405",199,143,912,574,210,234,**        ,**        ,138,"7,292"
"$10,000 under $25,000","1,953","2,435",325,"34,017","1,329","21,602","1,120","2,681",150,248,"1,774","2,814",256,299,*       15,*       16,297,"3,838"
"$25,000 under $50,000","2,630","3,877",678,"96,369","2,026","66,782","1,758","5,124",37,15,"2,589","11,103",370,417,**        ,**        ,753,"10,397"
"$50,000 or more      ","5,408","12,481","3,368","1,508,720","4,029","741,583","4,877","58,907",--        ,--        ,"5,394","391,462","1,281","1,477",33,34,"3,702","143,518"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98005                ,"8,769","14,743","3,399","922,932","7,162","619,733","6,123","25,585",342,401,"7,834","270,288","1,384","1,613",28,31,"3,287","68,214"
"Under $10,000        ","1,430",972,150,-691,"1,009","6,680",719,"2,041",180,148,661,491,137,160,**        ,**        ,89,"3,145"
"$10,000 under $25,000","1,531","1,963",296,"26,836","1,202","19,875",794,"1,310",136,240,"1,398","2,111",185,212,**        ,**        ,200,"2,419"
"$25,000 under $50,000","2,224","3,277",538,"81,288","1,933","64,872","1,391","2,587",26,13,"2,193","9,612",274,326,**        ,**        ,611,"7,361"
"$50,000 or more      ","3,584","8,531","2,415","815,499","3,018","528,306","3,219","19,647",--        ,--        ,"3,582","258,074",788,915,*       28,*       31,"2,387","55,289"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98006                ,"16,811","32,909","10,002","1,805,611","13,625","1,206,504","12,691","46,797",553,674,"15,017","432,119","2,805","3,251",42,45,"7,919","171,693"
"Under $10,000        ","3,082","1,576",309,"-9,503","2,065","10,616","1,653","4,682",262,229,"1,634",585,234,272,**        ,**        ,136,"5,223"
"$10,000 under $25,000","2,353","3,060",535,"40,889","1,797","28,931","1,322","2,380",238,422,"2,090","3,153",268,307,**        ,**        ,332,"4,620"
"$25,000 under $50,000","3,130","5,412","1,345","114,911","2,611","87,132","2,142","4,104",53,23,"3,058","12,427",472,553,**        ,**        ,"1,088","14,515"
"$50,000 or more      ","8,246","22,861","7,813","1,659,314","7,152","1,079,825","7,574","35,631",--        ,--        ,"8,235","415,954","1,831","2,119",*       42,*       45,"6,363","147,335"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98007                ,"11,489","19,398","4,812","638,435","9,973","481,681","6,686","14,232",964,"1,339","10,040","128,033","1,407","1,595",19,19,"2,802","40,079"
"Under $10,000        ","1,810","1,747",408,"6,322","1,449","7,962",640,411,425,445,741,302,201,224,**        ,**        ,76,777
"$10,000 under $25,000","2,769","4,053",938,"48,616","2,381","39,903","1,157","1,496",464,859,"2,421","3,622",303,344,**        ,**        ,297,"2,777"
"$25,000 under $50,000","3,562","6,021","1,429","128,030","3,230","109,027","2,093","2,646",75,35,"3,530","14,275",380,424,**        ,**        ,790,"8,637"
"$50,000 or more      ","3,348","7,577","2,037","455,467","2,913","324,789","2,796","9,679",--        ,--        ,"3,348","109,834",523,603,*       19,*       19,"1,639","27,888"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98008                ,"11,929","22,128","5,841","1,006,410","9,762","727,427","8,368","22,323",690,873,"10,579","230,347","1,894","2,202",24,24,"4,816","83,767"
"Under $10,000        ","1,823","1,248",217,"5,612","1,379","6,823",818,604,304,259,821,298,191,211,**        ,**        ,99,"1,509"
"$10,000 under $25,000","2,310","3,324",674,"40,244","1,757","28,330","1,208","1,924",332,590,"2,016","2,903",302,359,**        ,**        ,360,"4,753"
"$25,000 under $50,000","2,749","4,893","1,231","100,486","2,255","74,956","1,856","3,528",54,24,"2,698","10,685",371,437,**        ,**        ,876,"11,471"
"$50,000 or more      ","5,047","12,663","3,719","860,068","4,371","617,318","4,486","16,267",--        ,--        ,"5,044","216,461","1,030","1,195",*       24,*       24,"3,481","66,034"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98009                ,799,"1,226",210,"211,335",540,"45,144",589,"28,117",40,45,715,"108,132",189,235,**        ,**        ,318,"96,518"
"Under $10,000        ",122,114,11,"-1,202",64,449,70,182,22,13,64,68,24,31,--        ,--        ,16,894
"$10,000 under $25,000",138,183,32,"2,366",94,"1,548",77,140,*       18,*       32,122,203,30,40,--        ,--        ,19,262
"$25,000 under $50,000",191,265,39,"6,969",153,"5,387",116,299,**        ,**        ,185,876,42,45,**        ,**        ,52,662
"$50,000 or more      ",348,664,128,"203,202",229,"37,760",326,"27,496",--        ,--        ,344,"106,985",93,119,**        ,**        ,231,"94,700"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98010                ,"2,064","4,443","1,496","108,754","1,797","85,475","1,283","2,906",142,214,"1,808","15,826",287,332,14,14,933,"14,792"
"Under $10,000        ",310,238,56,"1,188",238,"1,154",93,92,62,68,123,40,23,29,--        ,--        ,**        ,**          
"$10,000 under $25,000",371,575,159,"6,313",287,"4,493",167,363,68,141,309,438,38,46,**        ,**        ,*       61,*        696
"$25,000 under $50,000",508,"1,076",365,"18,970",455,"15,969",283,358,12,5,502,"1,892",66,80,**        ,**        ,176,"2,057"
"$50,000 or more      ",875,"2,554",916,"82,283",817,"63,859",740,"2,093",--        ,--        ,874,"13,456",160,177,*       14,*       14,696,"12,039"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98011                ,"13,590","26,100","7,969","722,982","11,971","579,263","8,761","13,529",764,928,"12,066","116,440","2,088","2,414",20,20,"5,778","89,295"
"Under $10,000        ","2,169","1,283",213,"7,423","1,707","8,248",921,647,330,254,979,386,172,192,**        ,**        ,79,"1,072"
"$10,000 under $25,000","2,506","3,472",703,"43,767","2,025","33,116","1,150","1,642",370,648,"2,221","3,263",271,314,**        ,**        ,314,"3,598"
"$25,000 under $50,000","3,584","6,294","1,621","131,389","3,247","111,272","2,180","2,439",64,26,"3,544","14,339",540,627,**        ,**        ,"1,318","15,097"
"$50,000 or more      ","5,331","15,051","5,432","540,403","4,992","426,627","4,510","8,801",--        ,--        ,"5,322","98,452","1,105","1,281",*       20,*       20,"4,067","69,528"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98012                ,"16,538","33,796","11,006","936,900","14,505","718,593","10,909","22,005",822,"1,118","14,745","147,106","2,368","2,741",44,52,"7,760","130,423"
"Under $10,000        ","2,612","1,455",279,"6,197","2,035","10,098","1,081","1,203",311,320,"1,248",428,180,204,**        ,**        ,101,"1,435"
"$10,000 under $25,000","2,745","3,802",830,"47,898","2,261","37,810","1,220","1,932",424,762,"2,402","3,489",275,321,*       21,*       26,347,"4,399"
"$25,000 under $50,000","3,963","7,594","2,238","145,991","3,560","122,022","2,445","3,327",87,36,"3,879","14,980",575,679,**        ,**        ,"1,534","19,368"
"$50,000 or more      ","7,218","20,945","7,659","736,814","6,649","548,663","6,163","15,543",--        ,--        ,"7,216","128,209","1,338","1,537",23,26,"5,778","105,221"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98013                ,223,355,77,"11,912",153,"7,340",139,351,22,22,188,"2,604",60,81,**        ,**        ,57,910
"Under $10,000        ",58,45,3,51,33,117,29,34,12,6,25,9,12,18,**        ,**        ,**        ,**          
"$10,000 under $25,000",46,75,16,799,37,528,18,8,*       10,*       16,44,64,18,23,--        ,--        ,**        ,**          
"$25,000 under $50,000",59,90,18,"2,128",44,"1,536",37,63,**        ,**        ,59,254,11,15,--        ,--        ,*       23,*        256
"$50,000 or more      ",60,145,40,"8,934",39,"5,159",55,246,--        ,--        ,60,"2,277",19,25,**        ,**        ,34,654
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98014                ,"2,948","6,370","2,224","228,924","2,620","195,871","1,880","3,290",183,270,"2,601","50,267",480,566,54,55,"1,454","24,623"
"Under $10,000        ",492,332,80,"1,478",397,"2,056",176,117,74,89,231,102,46,52,**        ,**        ,25,365
"$10,000 under $25,000",495,751,191,"8,541",402,"6,595",216,310,95,175,429,616,66,81,*       16,*       16,77,880
"$25,000 under $50,000",677,"1,475",532,"25,164",609,"20,855",404,641,14,6,659,"2,467",122,150,10,11,299,"3,768"
"$50,000 or more      ","1,284","3,812","1,421","193,741","1,212","166,365","1,084","2,222",--        ,--        ,"1,282","47,082",246,283,28,28,"1,053","19,610"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98015                ,391,622,129,"26,200",335,"18,660",269,"1,015",21,18,362,"5,334",86,97,**        ,**        ,146,"2,879"
"Under $10,000        ",41,42,6,-186,25,265,24,20,*       21,*       18,20,22,**        ,**        ,--        ,--        ,**        ,**          
"$10,000 under $25,000",74,96,18,"1,365",60,"1,031",35,44,**        ,**        ,68,128,*       25,*       27,--        ,--        ,*       15,*        242
"$25,000 under $50,000",127,177,28,"4,711",117,"4,070",84,62,--        ,--        ,125,573,19,21,--        ,--        ,37,392
"$50,000 or more      ",149,307,77,"20,310",133,"13,294",126,889,--        ,--        ,149,"4,611",42,49,**        ,**        ,94,"2,245"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98019                ,"3,804","8,308","2,829","249,407","3,418","210,875","2,503","3,261",207,292,"3,413","44,623",697,838,61,64,"1,998","32,669"
"Under $10,000        ",591,357,50,"1,991",447,"2,053",218,162,91,94,277,114,84,98,**        ,**        ,31,404
"$10,000 under $25,000",558,843,213,"9,682",453,"7,433",241,388,97,191,494,728,90,120,*       15,*       16,92,"1,075"
"$25,000 under $50,000",852,"1,774",588,"31,476",785,"27,293",518,500,19,7,840,"3,166",141,172,12,13,373,"4,657"
"$50,000 or more      ","1,803","5,334","1,978","206,258","1,733","174,096","1,526","2,211",--        ,--        ,"1,802","40,615",382,448,34,35,"1,502","26,533"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98020                ,"9,775","17,201","3,894","670,430","6,924","339,881","7,284","32,408",378,416,"8,588","131,551","1,664","1,967",34,35,"4,063","75,645"
"Under $10,000        ","1,679","1,151",119,"2,362","1,109","5,817",890,"1,086",220,153,759,296,187,228,**        ,**        ,129,"2,217"
"$10,000 under $25,000","1,865","2,432",264,"32,031","1,127","17,463","1,159","2,885",144,256,"1,641","2,314",229,268,**        ,**        ,338,"4,354"
"$25,000 under $50,000","2,319","3,887",768,"84,943","1,735","55,396","1,663","4,251",14,7,"2,281","9,285",353,421,**        ,**        ,791,"10,436"
"$50,000 or more      ","3,912","9,731","2,743","551,094","2,953","261,205","3,572","24,186",--        ,--        ,"3,907","119,656",895,"1,050",*       34,*       35,"2,805","58,638"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98021                ,"9,389","19,103","6,218","519,022","8,141","419,121","6,343","11,874",416,521,"8,358","85,840","1,442","1,658",28,31,"4,304","79,201"
"Under $10,000        ","1,628",939,163,"3,260","1,246","6,174",714,895,210,207,786,289,144,169,**        ,**        ,83,"2,211"
"$10,000 under $25,000","1,621","2,136",334,"27,933","1,237","19,660",819,"1,419",172,300,"1,465","2,077",171,202,*       14,*       15,230,"2,661"
"$25,000 under $50,000","2,163","4,044","1,098","80,192","1,902","65,077","1,422","2,091",34,14,"2,133","8,568",345,403,**        ,**        ,850,"10,254"
"$50,000 or more      ","3,977","11,984","4,623","407,637","3,756","328,210","3,388","7,469",--        ,--        ,"3,974","74,906",782,884,14,16,"3,141","64,075"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98022                ,"9,291","19,547","6,691","452,971","7,783","314,716","5,812","13,175",694,980,"7,992","64,118","1,390","1,600",302,307,"3,708","61,041"
"Under $10,000        ","1,695","1,238",262,"4,919","1,323","6,339",636,614,289,331,696,254,154,171,34,36,75,"1,028"
"$10,000 under $25,000","1,884","2,938",729,"32,523","1,384","22,276",896,"2,030",336,617,"1,622","2,183",194,213,46,47,251,"2,892"
"$25,000 under $50,000","2,410","5,286","1,769","89,267","2,071","70,402","1,470","2,899",69,32,"2,373","8,773",380,441,52,52,920,"10,982"
"$50,000 or more      ","3,302","10,085","3,931","326,262","3,005","215,699","2,810","7,632",--        ,--        ,"3,301","52,908",662,775,170,172,"2,462","46,139"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98023                ,"20,168","41,771","14,532","957,558","18,068","773,664","11,591","17,482","1,973","2,929","17,314","143,303","2,737","3,153",26,31,"8,182","122,069"
"Under $10,000        ","3,598","2,968",897,"3,378","2,962","14,783","1,147","1,259",797,965,"1,516",561,312,346,**        ,**        ,133,"2,235"
"$10,000 under $25,000","4,036","6,551","1,973","70,347","3,448","57,371","1,519","1,812",963,"1,868","3,377","4,794",401,460,**        ,**        ,476,"5,556"
"$25,000 under $50,000","5,339","11,237","3,878","195,728","4,909","169,165","2,908","2,451",213,96,"5,233","19,287",687,805,**        ,**        ,"1,966","23,103"
"$50,000 or more      ","7,195","21,015","7,784","688,105","6,749","532,345","6,017","11,960",--        ,--        ,"7,188","118,661","1,337","1,542",*       26,*       31,"5,607","91,175"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98024                ,"2,221","4,460","1,382","150,874","1,884","103,910","1,466","3,920",133,175,"1,971","29,227",407,482,31,32,996,"18,423"
"Under $10,000        ",385,249,39,"-2,437",277,"1,325",157,260,55,53,186,71,36,46,**        ,**        ,23,520
"$10,000 under $25,000",429,651,159,"7,446",341,"5,508",198,318,64,116,386,557,56,64,*       15,*       15,57,746
"$25,000 under $50,000",537,"1,075",308,"20,102",473,"16,184",347,517,14,6,530,"2,080",104,128,**        ,**        ,218,"2,797"
"$50,000 or more      ",870,"2,485",876,"125,763",793,"80,893",764,"2,825",--        ,--        ,869,"26,519",211,244,16,17,698,"14,360"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98025                ,320,663,215,"16,335",276,"12,117",216,786,27,36,281,"2,634",62,74,**        ,**        ,124,"1,972"
"Under $10,000        ",53,40,9,88,42,228,21,22,10,9,30,12,*       15,*       17,--        ,--        ,**        ,**          
"$10,000 under $25,000",64,105,27,"1,142",51,774,30,36,*       17,*       27,54,76,**        ,**        ,**        ,**        ,**        ,**          
"$25,000 under $50,000",80,171,55,"2,912",70,"2,380",52,72,**        ,**        ,75,274,18,22,**        ,**        ,*       32,*        510
"$50,000 or more      ",123,347,124,"12,193",113,"8,735",113,656,--        ,--        ,122,"2,272",29,35,**        ,**        ,92,"1,462"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98026                ,"16,983","32,257","9,562","843,306","14,318","607,931","11,119","24,268","1,042","1,397","14,933","131,575","2,649","3,092",26,28,"6,860","107,414"
"Under $10,000        ","2,871","1,947",352,"7,865","2,175","11,013","1,262","1,080",436,410,"1,327",502,264,303,**        ,**        ,162,"2,417"
"$10,000 under $25,000","3,508","5,077","1,114","60,749","2,731","44,650","1,683","2,851",536,953,"3,084","4,392",426,497,**        ,**        ,503,"6,310"
"$25,000 under $50,000","4,666","8,554","2,311","169,045","4,093","136,104","2,935","3,970",70,34,"4,590","17,778",659,774,**        ,**        ,"1,691","20,213"
"$50,000 or more      ","5,938","16,679","5,785","605,647","5,319","416,164","5,239","16,367",--        ,--        ,"5,932","108,903","1,300","1,518",*       26,*       28,"4,504","78,474"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98027                ,"12,475","24,232","7,226","1,053,300","10,513","753,843","8,955","22,766",518,603,"11,251","225,079","2,124","2,504",54,55,"5,941","114,137"
"Under $10,000        ","2,003","1,060",150,"4,448","1,417","7,186",975,754,244,187,"1,026",395,177,205,**        ,**        ,90,"1,401"
"$10,000 under $25,000","1,928","2,518",434,"33,533","1,484","23,787","1,008","1,684",228,396,"1,742","2,616",247,295,*       16,*       17,273,"3,479"
"$25,000 under $50,000","2,676","4,498","1,081","98,296","2,296","77,792","1,736","2,697",46,20,"2,620","10,872",402,476,**        ,**        ,975,"12,625"
"$50,000 or more      ","5,868","16,156","5,561","917,023","5,316","645,078","5,236","17,631",--        ,--        ,"5,863","211,196","1,298","1,528",38,38,"4,603","96,632"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98028                ,"6,671","12,180","3,444","374,288","5,652","268,281","4,299","9,900",382,461,"5,856","64,738","1,070","1,245",18,24,"2,682","43,527"
"Under $10,000        ","1,239",732,134,"4,809",940,"4,269",536,374,177,158,568,221,94,106,**        ,**        ,43,671
"$10,000 under $25,000","1,253","1,708",329,"22,023","1,015","16,477",576,"1,004",167,288,"1,130","1,665",142,165,**        ,**        ,150,"1,780"
"$25,000 under $50,000","1,638","2,802",657,"59,488","1,422","47,681",980,"1,400",38,15,"1,618","6,423",241,280,**        ,**        ,548,"7,018"
"$50,000 or more      ","2,541","6,938","2,324","287,968","2,275","199,854","2,207","7,122",--        ,--        ,"2,540","56,429",593,694,*       18,*       24,"1,941","34,058"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98029                ,"10,405","22,809","8,197","1,280,310","8,415","879,054","7,934","24,680",224,303,"9,293","296,416","1,650","1,924",24,25,"5,945","134,468"
"Under $10,000        ","1,895",703,129,"3,581","1,206","5,198",967,753,95,104,994,352,108,131,--        ,--        ,68,"1,473"
"$10,000 under $25,000","1,093","1,423",278,"18,677",722,"11,550",618,"1,531",103,190,957,"1,354",106,124,**        ,**        ,201,"2,847"
"$25,000 under $50,000","1,437","2,542",669,"53,255","1,134","37,745",974,"2,324",26,9,"1,377","5,437",198,239,**        ,**        ,635,"9,263"
"$50,000 or more      ","5,980","18,141","7,121","1,204,797","5,353","824,561","5,375","20,072",--        ,--        ,"5,965","289,273","1,238","1,430",*       24,*       25,"5,041","120,885"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98031                ,"26,676","54,622","19,089","1,126,078","24,087","934,396","14,717","18,717","3,195","4,887","22,693","148,917","3,054","3,544",56,60,"9,306","130,173"
"Under $10,000        ","4,665","4,667","1,571","19,367","3,885","19,225","1,400",763,"1,286","1,689","1,831",645,396,465,*       10,*       10,114,"1,349"
"$10,000 under $25,000","6,110","10,091","3,176","106,631","5,311","88,774","2,158","2,403","1,617","3,071","5,076","7,064",530,614,**        ,**        ,545,"6,052"
"$25,000 under $50,000","7,355","14,792","4,906","266,265","6,802","232,557","3,994","4,210",292,127,"7,244","26,528",811,938,14,17,"2,273","25,915"
"$50,000 or more      ","8,546","25,072","9,436","733,815","8,089","593,840","7,165","11,341",--        ,--        ,"8,542","114,680","1,317","1,527",32,33,"6,374","96,857"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98032                ,"13,511","24,264","7,160","496,294","12,251","409,991","6,407","8,461","1,804","2,719","11,485","66,121","1,343","1,541",36,38,"3,406","44,499"
"Under $10,000        ","2,221","2,518",788,"8,057","1,898","10,072",519,340,790,960,793,267,190,211,*       11,*       11,45,599
"$10,000 under $25,000","3,748","5,933","1,726","66,041","3,301","56,192","1,156","1,271",892,"1,695","3,200","4,553",301,338,**        ,**        ,281,"3,116"
"$25,000 under $50,000","4,339","7,841","2,206","156,220","4,080","139,260","2,167","1,887",122,64,"4,289","16,657",393,456,10,10,"1,127","11,930"
"$50,000 or more      ","3,203","7,972","2,440","265,976","2,972","204,467","2,565","4,963",--        ,--        ,"3,203","44,644",459,536,15,17,"1,953","28,854"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98033                ,"16,467","27,929","6,671","1,573,843","13,818","1,031,740","11,322","40,329",615,640,"14,969","359,234","2,837","3,284",44,45,"6,952","153,223"
"Under $10,000        ","2,373","1,511",205,"-6,860","1,743","10,082","1,092","1,809",317,198,"1,175",582,269,319,**        ,**        ,164,"5,419"
"$10,000 under $25,000","2,720","3,430",486,"47,751","2,085","34,096","1,409","2,485",244,416,"2,470","3,838",402,474,*       14,*       14,384,"4,824"
"$25,000 under $50,000","4,093","6,188","1,233","149,763","3,572","121,573","2,505","3,913",54,26,"4,046","17,549",577,659,**        ,**        ,"1,225","15,513"
"$50,000 or more      ","7,281","16,800","4,747","1,383,189","6,418","865,989","6,316","32,122",--        ,--        ,"7,278","337,265","1,589","1,832",30,31,"5,179","127,467"
                     ,          ,          ,          ,            ,          ,            ,          ,          ,          ,          ,          ,            ,          ,          ,          ,          ,          ,            
98034                ,"19,888","35,432","9,999","1,135,097","17,752","901,961","12,078","25,288","1,256","1,641","17,821","211,289","2,840","3,279",25,29,"7,483","113,846"
"Under $10,000        ","2,982","2,046",425,"10,562","2,377","11,866","1,131",928,517,469,"1,419",540,311,358,*       11,*       12,135,"2,055"
"$10,000 under $25,000","4,135","5,621","1,211","73,381","3,571","60,664","1,684","2,171",623,"1,126","3,704","5,676",441,506,**        ,**        ,515,"5,392"
