WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
"$200,000 or more",00000," 97,529 "," 84,787 "," 68,511 "," 281,407 "," 50,492 "," 48,609,482 "," 22,509,572 "," 1,730,146 "," 2,729,953 "," 1,735,784 "," 7,913,881 "," 562,690 "," 785,620 "," 8,848 "," 283,160 "," 204,974 "," 5,161,146 "," 294,791 "," 361,100 "," 707,367 "," 1,436,570 "," 1,784,064 "," 1,192,190 "," 42,506,026 "," 180,632 ", 15 , -   ," 3,643 ", -   , -   ," 208,951 "," 10,526,291 "," 10,800,617 "," 1,144,525 "," (749,783)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98001," 14,513 "," 6,369 "," 6,810 "," 30,347 "," 5,459 "," 842,139 "," 672,883 "," 12,934 "," 8,338 "," 25,206 "," 8,640 "," 14,265 "," 44,221 "," 4,533 "," 15,011 ", 752 ," 146,691 "," 1,500 "," 10,076 "," 21,491 "," 34,085 "," 81,328 "," 14,450 "," 550,727 "," 5,514 ", -   ," 3,995 ", 300 ," 3,247 "," 2,548 ", 297 ," 90,656 "," 95,706 "," 7,204 "," (32,153)",
"Under $10,000",98001," 2,180 ", 203 , 828 ," 1,961 ", 270 ," 8,333 "," 9,969 ", 719 , 154 , 494 , (227), 166 , 559 , 183 , -   , -   ," 3,318 ", 12 , 54 , 461 , 548 ," 1,882 ", 47 , 672 , 1 , -   , -   , -   , 588 , 493 , -   , 70 , 298 , 81 ," (1,465)",
"$10,000 under $25,000",98001," 2,544 ", 460 ," 1,218 "," 4,247 ", 766 ," 44,681 "," 35,024 ", 853 , 395 ," 4,154 ", (1), 712 ," 3,539 ", 744 , 207 , -   ," 6,462 ", 35 , 206 , 955 ," 1,227 "," 3,494 ", 358 ," 13,894 ", 217 , -   , 71 , 12 ," 1,936 "," 1,538 ", -   ," 1,309 "," 2,008 ", 227 ," (4,422)",
"$25,000 under $50,000",98001," 3,449 "," 1,024 "," 1,689 "," 7,048 "," 1,314 "," 126,660 "," 105,243 "," 1,617 ", 759 ," 5,244 ", 46 ," 1,937 "," 8,143 "," 1,267 "," 2,458 ", -   ," 21,543 ", 147 ," 1,084 "," 3,163 "," 4,526 "," 12,334 "," 1,330 "," 65,134 "," 1,180 ", -   , 833 , 67 , 723 , 517 , 7 ," 7,150 "," 8,051 ", 590 ," (7,368)",
"$50,000 under $75,000",98001," 2,373 "," 1,297 "," 1,197 "," 5,863 "," 1,067 "," 146,197 "," 123,054 "," 1,773 ", 760 ," 3,649 ", (65)," 2,575 "," 9,263 ", 960 ," 4,535 ", 131 ," 30,744 ", 277 ," 1,896 "," 4,445 "," 6,867 "," 17,864 "," 2,327 "," 87,277 "," 1,529 ", -   ," 1,230 ", 49 , -   , -   , -   ," 11,030 "," 11,795 ", 764 ," (6,422)",
"$75,000 under $100,000",98001," 1,742 "," 1,380 ", 814 ," 4,808 ", 868 ," 151,031 "," 131,616 "," 1,441 ", 849 ," 2,784 ", 83 ," 2,300 "," 7,338 ", 654 ," 3,184 ", -   ," 30,408 ", 340 ," 2,162 "," 4,466 "," 7,193 "," 17,758 "," 2,738 "," 99,512 "," 1,474 ", -   ," 1,130 ", 74 , -   , -   , -   ," 13,248 "," 13,892 ", 590 ," (5,472)",
"$100,000 under $200,000",98001," 1,969 "," 1,771 ", 895 ," 5,691 "," 1,043 "," 255,875 "," 217,722 "," 3,420 "," 2,240 "," 5,634 "," 1,772 "," 4,406 "," 12,688 ", 725 ," 4,019 ", 313 ," 43,686 ", 485 ," 3,666 "," 6,584 "," 11,058 "," 23,925 "," 5,284 "," 188,606 ", 949 , -   , 730 , 91 , -   , -   , 39 ," 32,483 "," 33,635 "," 1,905 "," (5,575)",
"$200,000 or more",98001, 256 , 234 , 169 , 729 , 131 ," 109,362 "," 50,256 "," 3,111 "," 3,181 "," 3,247 "," 7,032 "," 2,169 "," 2,690 ", -   , 608 , 309 ," 10,530 ", 204 ," 1,009 "," 1,416 "," 2,666 "," 4,072 "," 2,367 "," 95,632 ", 164 , -   , -   , 7 , -   , -   , 252 ," 25,366 "," 26,027 "," 3,047 "," (1,428)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98002," 14,120 "," 4,403 "," 6,947 "," 28,312 "," 5,272 "," 563,574 "," 461,717 "," 8,049 "," 4,186 "," 10,809 "," 3,643 "," 10,341 "," 39,399 "," 5,086 "," 13,012 ", 104 ," 66,130 ", 573 ," 4,432 "," 8,481 "," 14,195 "," 35,893 "," 5,652 "," 338,848 "," 4,116 ", -   ," 3,309 ", 207 ," 4,827 "," 4,301 ", 93 ," 48,043 "," 50,471 "," 3,500 "," (28,402)",
"Under $10,000",98002," 2,095 ", 220 , 825 ," 2,663 ", 435 ," 9,680 "," 8,736 ", 369 , 255 , 293 , (49), 207 , 945 , 244 , -   , -   ," 1,245 ", -   , 28 , 165 , 224 , 500 , 51 , 323 , -   , -   , -   , -   , 845 , 776 , -   , 31 , 181 , 48 ," (1,671)",
"$10,000 under $25,000",98002," 3,543 ", 544 ," 1,844 "," 6,601 "," 1,373 "," 61,975 "," 48,745 "," 1,122 ", 634 ," 2,676 ", (136)," 1,409 "," 6,219 "," 1,192 ", 269 , -   ," 3,750 ", 31 , 145 , 459 , 641 ," 1,642 ", 343 ," 17,494 ", 248 , -   , 138 , 19 ," 3,099 "," 2,804 ", -   ," 1,659 "," 2,122 ", 206 ," (7,039)",
"$25,000 under $50,000",98002," 4,569 "," 1,164 "," 2,262 "," 9,558 "," 1,821 "," 164,436 "," 142,782 "," 1,450 ", 632 ," 2,552 ", 3 ," 2,154 "," 9,950 "," 1,795 "," 2,928 ", -   ," 14,287 ", 68 , 780 ," 1,774 "," 2,726 "," 7,734 ", 949 ," 89,921 "," 1,644 ", -   ," 1,313 ", 91 , 883 , 721 , -   ," 9,894 "," 10,446 ", 572 ," (9,529)",
"$50,000 under $75,000",98002," 2,119 "," 1,064 "," 1,051 "," 4,899 ", 868 ," 129,070 "," 108,150 "," 1,406 ", 750 ," 2,254 ", (1)," 2,435 "," 8,500 "," 1,063 "," 4,197 ", 104 ," 18,079 ", 148 ," 1,190 "," 2,339 "," 3,818 "," 10,625 "," 1,222 "," 83,691 "," 1,214 ", -   ," 1,073 ", 43 , -   , -   , -   ," 11,368 "," 11,867 ", 704 ," (5,315)",
"$75,000 under $100,000",98002," 1,059 ", 778 , 565 ," 2,683 ", 472 ," 90,899 "," 75,004 "," 1,531 ", 650 ," 1,081 ", 202 ," 1,839 "," 6,264 ", 575 ," 3,081 ", -   ," 13,592 ", 117 , 995 ," 1,700 "," 2,890 "," 7,718 "," 1,144 "," 63,546 ", 737 , -   , 581 , 39 , -   , -   , 17 ," 8,982 "," 9,270 ", 466 ," (2,982)",
"$100,000 under $200,000",98002, 674 , 584 , 355 ," 1,759 ", 286 ," 85,407 "," 68,971 "," 1,240 ", 569 ," 1,953 "," 1,205 "," 1,804 "," 6,174 ", 216 ," 2,024 ", -   ," 13,426 ", 209 ," 1,076 "," 1,779 "," 3,107 "," 7,080 "," 1,626 "," 64,158 ", 252 , -   , 204 , 15 , -   , -   , -   ," 11,158 "," 11,512 ", 868 ," (1,750)",
"$200,000 or more",98002, 61 , 49 , 45 , 149 , 17 ," 22,107 "," 9,327 ", 930 , 698 , -   ," 2,419 ", 493 ," 1,346 ", -   , 514 , -   ," 1,750 ", -   , 219 , 265 , 790 , 594 , 317 ," 19,715 ", 21 , -   , -   , -   , -   , -   , 77 ," 4,951 "," 5,073 ", 636 , (117),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98003," 19,428 "," 6,381 "," 9,463 "," 39,694 "," 7,322 "," 906,895 "," 720,799 "," 17,790 "," 11,196 "," 22,065 "," 19,535 "," 15,441 "," 53,297 "," 5,746 "," 19,038 ", 770 ," 125,720 "," 1,364 "," 8,168 "," 17,006 "," 28,238 "," 63,938 "," 14,365 "," 574,144 "," 6,236 ", -   ," 4,569 ", 320 ," 6,218 "," 5,511 ", 506 ," 91,002 "," 95,298 "," 7,930 "," (40,761)",
"Under $10,000",98003," 2,986 ", 302 ," 1,263 "," 3,552 ", 574 ," 11,936 "," 13,399 ", 756 , 404 , (180), (55), 377 ," 1,105 ", 250 , -   , -   ," 3,093 ", 20 , 74 , 428 , 586 ," 1,651 ", 67 , 528 , 1 , -   , -   , -   ," 1,096 "," 1,019 ", -   , 51 , 277 , 104 ," (2,438)",
"$10,000 under $25,000",98003," 4,446 ", 687 ," 2,357 "," 8,379 "," 1,743 "," 78,009 "," 62,869 "," 1,614 ", 829 ," 3,985 ", (41)," 1,400 "," 6,538 "," 1,320 ", 393 , -   ," 7,078 ", 42 , 308 , 833 ," 1,237 "," 3,167 ", 509 ," 21,305 ", 380 , -   , 183 , 22 ," 3,996 "," 3,569 ", -   ," 1,941 "," 2,650 ", 312 ," (9,055)",
"$25,000 under $50,000",98003," 5,906 "," 1,490 "," 2,793 "," 12,428 "," 2,363 "," 214,551 "," 185,368 "," 2,439 "," 1,484 "," 4,624 ", (112)," 2,344 "," 12,544 "," 2,078 "," 3,915 ", -   ," 24,423 ", 137 ," 1,134 "," 2,932 "," 5,114 "," 12,454 "," 1,805 "," 115,661 "," 2,190 ", -   ," 1,607 ", 123 ," 1,126 ", 923 , 19 ," 12,664 "," 13,533 ", 806 ," (12,305)",
"$50,000 under $75,000",98003," 2,880 "," 1,361 "," 1,460 "," 6,811 "," 1,174 "," 175,063 "," 148,003 "," 2,372 "," 1,504 "," 2,562 ", 336 ," 3,045 "," 10,877 "," 1,148 "," 5,448 ", 85 ," 27,605 ", 251 ," 1,801 "," 3,619 "," 5,874 "," 14,864 "," 2,410 "," 110,980 "," 1,754 ", -   ," 1,496 ", 48 , -   , -   , 12 ," 14,471 "," 14,983 ", 859 ," (7,400)",
"$75,000 under $100,000",98003," 1,500 "," 1,089 ", 711 ," 3,816 ", 641 ," 129,668 "," 107,644 "," 1,847 "," 1,051 "," 2,876 ", 337 ," 2,331 "," 8,154 ", 526 ," 4,284 ", -   ," 21,798 ", 220 ," 1,500 "," 3,033 "," 4,902 "," 12,112 "," 2,128 "," 89,295 "," 1,049 ", -   , 817 , 50 , -   , -   , -   ," 12,542 "," 13,082 ", 737 ," (4,179)",
"$100,000 under $200,000",98003," 1,456 "," 1,236 ", 693 ," 4,015 ", 708 ," 189,535 "," 154,673 "," 2,675 "," 2,439 "," 4,068 "," 2,241 "," 3,991 "," 11,594 ", 424 ," 4,052 ", 290 ," 30,116 ", 400 ," 2,435 "," 4,468 "," 7,548 "," 16,184 "," 3,730 "," 142,199 ", 679 , -   , 466 , 77 , -   , -   , 74 ," 24,932 "," 25,789 "," 1,855 "," (4,234)",
"$200,000 or more",98003, 254 , 216 , 186 , 693 , 119 ," 108,133 "," 48,843 "," 6,086 "," 3,485 "," 4,130 "," 16,828 "," 1,953 "," 2,484 ", -   , 946 , 394 ," 11,607 ", 294 , 918 ," 1,694 "," 2,978 "," 3,506 "," 3,717 "," 94,175 ", 183 , -   , -   , -   , -   , -   , 402 ," 24,402 "," 24,986 "," 3,258 "," (1,151)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98004," 14,196 "," 5,535 "," 7,059 "," 25,526 "," 3,668 "," 2,374,540 "," 1,275,553 "," 110,755 "," 157,963 "," 77,030 "," 434,741 "," 43,770 "," 60,846 "," 2,540 "," 35,889 "," 8,486 "," 372,937 "," 11,814 "," 18,498 "," 48,519 "," 86,228 "," 112,710 "," 56,073 "," 2,016,628 "," 17,827 ", -   ," 1,152 ", 234 , 681 , 524 ," 9,461 "," 476,023 "," 493,299 "," 43,932 "," (66,806)",
"Under $10,000",98004," 2,148 ", 243 ," 1,019 "," 1,787 ", 193 ," 1,551 "," 15,630 "," 9,232 "," 5,614 "," (2,434)"," 21,211 ", 846 , 924 , 79 , -   , -   ," 24,498 ", 599 , 525 ," 2,836 "," 4,023 "," 5,494 ", 84 , 923 , 7 , -   , -   , -   , 201 , 158 , -   , 91 , 481 , 128 ," (5,913)",
"$10,000 under $25,000",98004," 1,721 ", 238 , 764 ," 2,504 ", 347 ," 30,100 "," 21,903 "," 1,919 "," 2,132 "," 1,635 ", 232 ," 1,147 "," 2,372 ", 307 , 285 , 106 ," 7,631 ", 64 , 231 ," 1,192 "," 1,577 "," 2,415 ", 467 ," 10,180 ", 158 , -   , 18 , -   , 381 , 300 , -   ," 1,003 "," 1,388 ", 314 ," (2,241)",
"$25,000 under $50,000",98004," 2,513 ", 446 , 996 ," 3,835 ", 439 ," 93,509 "," 73,395 "," 3,603 "," 3,468 "," 3,872 "," 1,155 "," 2,382 "," 5,512 ", 779 ," 3,142 ", -   ," 14,014 ", 188 , 563 ," 2,122 "," 2,930 "," 5,500 "," 1,057 "," 56,220 ", 500 , -   , 233 , 25 , 99 , 67 , -   ," 6,840 "," 7,540 ", 600 ," (4,551)",
"$50,000 under $75,000",98004," 1,796 ", 530 , 768 ," 2,971 ", 354 ," 110,994 "," 78,446 "," 4,798 "," 5,135 "," 3,645 "," 1,168 "," 4,190 "," 7,948 ", 561 ," 6,063 ", 127 ," 20,253 ", 271 ," 1,026 "," 3,206 "," 4,637 "," 8,878 "," 1,763 "," 74,692 ", 502 , -   , 323 , 16 , -   , -   , -   ," 11,131 "," 11,852 ", 950 ," (4,405)",
"$75,000 under $100,000",98004," 1,470 ", 624 , 647 ," 2,615 ", 327 ," 127,782 "," 91,539 "," 5,457 "," 6,870 "," 3,264 "," 1,989 "," 4,804 "," 7,882 ", 221 ," 6,407 ", 141 ," 23,307 ", 359 ," 1,279 "," 3,538 "," 5,339 "," 9,910 "," 2,350 "," 91,374 ", 511 , -   , 252 , 19 , -   , -   , 26 ," 14,968 "," 15,671 ", 887 ," (4,916)",
"$100,000 under $200,000",98004," 2,490 "," 1,695 "," 1,342 "," 5,767 ", 884 ," 346,660 "," 243,637 "," 12,200 "," 17,863 "," 15,962 "," 5,581 "," 14,040 "," 18,314 ", 402 ," 11,224 "," 1,704 "," 63,839 "," 1,315 "," 4,114 "," 10,457 "," 16,299 "," 30,122 "," 7,443 "," 256,629 "," 1,133 ", -   , 326 , 77 , -   , -   , 366 ," 47,618 "," 50,139 "," 3,495 "," (10,958)",
"$200,000 or more",98004," 2,058 "," 1,759 "," 1,523 "," 6,047 "," 1,124 "," 1,663,943 "," 751,004 "," 73,546 "," 116,879 "," 51,086 "," 403,406 "," 16,359 "," 17,894 ", 191 ," 8,768 "," 6,409 "," 219,395 "," 9,018 "," 10,761 "," 25,167 "," 51,423 "," 50,391 "," 42,908 "," 1,526,610 "," 15,015 ", -   , -   , 96 , -   , -   ," 9,070 "," 394,372 "," 406,228 "," 37,557 "," (33,822)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98005," 9,304 "," 3,787 "," 4,111 "," 17,110 "," 2,585 "," 1,020,617 "," 680,850 "," 40,081 "," 42,042 "," 38,562 "," 74,705 "," 19,720 "," 30,537 "," 1,769 "," 18,195 "," 4,504 "," 136,066 "," 3,304 "," 8,977 "," 18,199 "," 32,616 "," 57,922 "," 19,309 "," 806,396 "," 5,267 ", -   ," 1,165 ", 158 , 618 , 485 ," 1,980 "," 183,254 "," 189,333 "," 13,824 "," (29,632)",
"Under $10,000",98005," 1,343 ", 155 , 549 ," 1,177 ", 121 ," 2,539 "," 10,245 "," 2,058 "," 1,097 ", (817), 437 , 360 , 308 , 62 , -   , -   ," 4,994 ", 22 , 60 , 657 , 765 ," 2,467 ", 58 , 506 , 4 , -   , -   , -   , 201 , 157 , -   , 49 , 223 , 87 ," (1,828)",
"$10,000 under $25,000",98005," 1,194 ", 163 , 483 ," 1,665 ", 220 ," 21,053 "," 16,082 ", 848 , 982 , 975 , 165 , 820 ," 1,535 ", 211 , 142 , -   ," 3,580 ", 34 , 148 , 502 , 712 ," 1,383 ", 203 ," 7,461 ", 112 , -   , 19 , -   , 323 , 263 , -   , 689 , 882 , 135 ," (1,569)",
"$25,000 under $50,000",98005," 1,884 ", 403 , 746 ," 3,050 ", 413 ," 70,029 "," 58,257 "," 1,559 "," 1,650 "," 2,092 ", 211 ," 1,567 "," 3,547 ", 587 ," 1,700 ", -   ," 9,346 ", 95 , 437 ," 1,225 "," 1,792 "," 4,057 ", 711 ," 41,621 ", 439 , -   , 240 , 20 , 94 , 65 , -   ," 4,991 "," 5,431 ", 376 ," (3,332)",
"$50,000 under $75,000",98005," 1,367 ", 500 , 582 ," 2,361 ", 312 ," 83,882 "," 65,976 "," 2,638 "," 2,472 "," 3,158 ", 482 ," 2,171 "," 4,754 ", 355 ," 3,396 ", 98 ," 12,516 ", 211 , 838 ," 1,556 "," 2,671 "," 5,223 "," 1,055 "," 57,834 ", 497 , -   , 320 , 16 , -   , -   , 13 ," 8,400 "," 9,003 ", 558 ," (2,785)",
"$75,000 under $100,000",98005," 1,004 ", 558 , 419 ," 2,011 ", 287 ," 87,465 "," 66,003 "," 2,111 "," 2,459 "," 3,099 ", 60 ," 3,317 "," 6,160 ", 179 ," 4,225 ", 175 ," 12,950 ", 164 , 821 ," 1,922 "," 2,977 "," 6,483 "," 1,313 "," 63,361 ", 509 , -   , 285 , 18 , -   , -   , -   ," 9,902 "," 10,365 ", 566 ," (3,236)",
"$100,000 under $200,000",98005," 1,638 "," 1,242 ", 760 ," 4,158 ", 704 ," 227,039 "," 174,822 "," 5,677 "," 7,733 "," 8,182 "," 3,458 "," 7,392 "," 9,540 ", 331 ," 6,129 ", 632 ," 37,208 ", 685 ," 2,772 "," 5,290 "," 9,005 "," 19,252 "," 4,588 "," 170,756 ", 763 , -   , 302 , 56 , -   , -   , 113 ," 31,240 "," 32,507 "," 2,260 "," (6,468)",
"$200,000 or more",98005, 874 , 766 , 572 ," 2,688 ", 528 ," 528,610 "," 289,468 "," 25,190 "," 25,649 "," 21,875 "," 69,893 "," 4,093 "," 4,694 ", 43 ," 2,603 "," 3,599 "," 55,472 "," 2,093 "," 3,901 "," 7,048 "," 14,694 "," 19,057 "," 11,381 "," 464,856 "," 2,943 ", -   , -   , 48 , -   , -   ," 1,854 "," 127,983 "," 130,921 "," 9,842 "," (10,414)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98006," 17,683 "," 8,880 "," 7,597 "," 36,143 "," 6,326 "," 2,247,395 "," 1,468,417 "," 72,699 "," 85,499 "," 80,043 "," 110,696 "," 44,512 "," 79,676 "," 3,733 "," 37,425 "," 9,473 "," 305,549 "," 8,196 "," 22,259 "," 48,630 "," 81,152 "," 144,324 "," 39,544 "," 1,796,515 "," 10,648 ", -   ," 2,611 ", 401 ," 1,251 ", 969 ," 5,620 "," 403,243 "," 416,840 "," 30,043 "," (59,132)",
"Under $10,000",98006," 3,166 ", 300 ," 1,172 "," 2,041 ", 240 ," 6,176 "," 17,468 "," 4,495 "," 2,870 ", (626), 897 , 600 , 834 , 129 , -   , -   ," 10,938 ", 58 , 148 ," 1,524 "," 1,929 "," 5,341 ", 65 ," 1,479 ", 8 , -   , -   , -   , 305 , 239 , -   , 151 , 459 , 144 ," (3,134)",
"$10,000 under $25,000",98006," 1,991 ", 330 , 779 ," 2,651 ", 349 ," 34,056 "," 24,643 "," 2,180 "," 1,516 "," 2,416 ", 266 ," 1,246 "," 3,233 ", 343 , 229 , -   ," 7,906 ", 44 , 240 ," 1,105 "," 1,428 "," 3,497 ", 454 ," 11,613 ", 182 , -   , 27 , 6 , 713 , 571 , -   ," 1,080 "," 1,544 ", 260 ," (2,615)",
"$25,000 under $50,000",98006," 2,512 ", 663 ," 1,006 "," 4,186 ", 591 ," 92,254 "," 68,194 "," 3,657 "," 3,300 "," 4,186 ", 621 ," 3,301 "," 7,438 ", 707 ," 3,518 ", 116 ," 17,264 ", 143 , 776 ," 2,647 "," 3,658 "," 7,812 "," 1,244 "," 50,904 ", 602 , -   , 303 , 26 , 232 , 159 , -   ," 5,879 "," 6,775 ", 626 ," (4,499)",
"$50,000 under $75,000",98006," 1,997 ", 903 , 852 ," 4,052 ", 657 ," 124,200 "," 86,251 "," 4,835 "," 4,575 "," 5,464 "," 1,017 "," 5,158 "," 10,460 ", 654 ," 6,943 ", 301 ," 25,376 ", 258 ," 1,441 "," 3,873 "," 5,736 "," 12,309 "," 2,262 "," 77,764 ", 898 , -   , 562 , 33 , -   , -   , -   ," 10,616 "," 11,772 ", 994 ," (4,747)",
