adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$25,000 under $50,000",178,243,29,"6,725",134,"4,488",102,387,168,646,56,135,36,--,68
"$50,000 or more      ",300,599,127,"182,905",216,"24,756",271,"10,751",296,"35,926",200,"9,870",86,**,212
,,,,,,,,,,,,,,,
98010,"2,227","4,707","1,570","127,515","1,930","101,772","1,284","2,290","1,860","16,190",980,"2,100",298,16,"1,117"
"Under $10,000        ",320,249,61,966,254,"1,629",94,57,98,23,**,**,27,--,19
"$10,000 under $25,000",343,505,135,"5,983",262,"4,026",135,247,257,247,*       43,*       38,32,**,46
"$25,000 under $50,000",542,"1,055",320,"20,087",471,"16,095",266,336,490,"1,481",185,245,74,**,225
"$50,000 or more      ","1,022","2,898","1,054","100,479",943,"80,022",789,"1,650","1,015","14,439",752,"1,817",165,*       16,827
,,,,,,,,,,,,,,,
98011,"13,026","24,856","7,309","714,401","11,355","597,979","7,553","10,377","10,949","94,934","5,212","13,371","1,795",15,"5,944"
"Under $10,000        ","1,890","1,330",199,"5,647","1,397","7,428",744,598,560,98,69,65,205,**,131
"$10,000 under $25,000","2,208","2,937",558,"38,668","1,726","28,436",880,"1,351","1,710","1,790",293,479,222,--,374
"$25,000 under $50,000","3,370","5,818","1,534","123,045","2,976","101,662","1,682","1,881","3,155","10,022",982,"1,692",430,*       15,"1,172"
"$50,000 or more      ","5,558","14,771","5,018","547,041","5,256","460,453","4,247","6,547","5,524","83,024","3,868","11,135",938,**,"4,267"
,,,,,,,,,,,,,,,
98012,"19,171","38,980","12,402","1,160,947","16,770","939,181","11,186","18,860","16,067","162,951","8,036","22,182","2,715",27,"9,237"
"Under $10,000        ","2,760","1,993",414,"5,666","2,116","11,737","1,058","1,019",842,190,103,101,259,**,207
"$10,000 under $25,000","3,090","4,426","1,022","53,758","2,465","40,031","1,160","1,992","2,302","2,335",334,572,338,*       14,444
"$25,000 under $50,000","4,470","7,928","2,176","163,612","3,996","135,714","2,056","2,523","4,127","12,927","1,237","2,181",557,**,"1,540"
"$50,000 or more      ","8,851","24,633","8,790","937,911","8,193","751,699","6,912","13,326","8,796","147,499","6,362","19,328","1,561",13,"7,046"
,,,,,,,,,,,,,,,
98013,235,384,84,"11,886",155,"6,254",152,374,186,"1,717",69,256,72,**,84
"Under $10,000        ",44,42,3,-1,23,137,20,8,**,**,--,--,17,--,*       12
"$10,000 under $25,000",49,66,13,830,25,379,25,38,*       47,*         40,**,**,16,--,**
"$25,000 under $50,000",63,113,32,"2,357",55,"1,842",36,29,60,196,*       16,*       23,17,--,15
"$50,000 or more      ",79,163,36,"8,700",52,"3,896",71,299,79,"1,481",53,233,22,**,57
,,,,,,,,,,,,,,,
98014,"3,055","6,602","2,264","208,189","2,663","176,396","1,814","2,878","2,450","32,666","1,388","3,673",514,55,"1,613"
"Under $10,000        ",507,366,77,404,377,"1,818",188,166,121,24,**,**,52,16,43
"$10,000 under $25,000",485,736,193,"8,327",365,"5,981",189,281,344,359,*       65,*       95,83,*       13,89
"$25,000 under $50,000",599,"1,191",384,"22,549",541,"18,816",305,490,534,"1,667",205,300,101,**,255
"$50,000 or more      ","1,464","4,309","1,610","176,909","1,380","149,781","1,132","1,941","1,451","30,616","1,118","3,278",278,26,"1,226"
,,,,,,,,,,,,,,,
98015,381,649,156,"65,095",302,"21,204",250,"1,332",319,"10,161",140,"9,929",89,**,168
"Under $10,000        ",50,57,7,-577,23,283,28,77,**,**,--,--,18,**,**
"$10,000 under $25,000",59,77,12,"1,103",42,730,31,103,*       53,*         57,11,23,12,--,*       23
"$25,000 under $50,000",107,162,36,"3,967",93,"3,236",60,113,102,355,25,21,20,--,31
"$50,000 or more      ",165,353,101,"60,602",144,"16,955",131,"1,039",164,"9,749",104,"9,885",39,--,114
,,,,,,,,,,,,,,,
98019,"4,228","9,246","3,074","297,159","3,824","255,922","2,519","2,918","3,568","45,129","2,081","4,930",748,41,"2,423"
"Under $10,000        ",596,417,72,872,463,"2,702",204,201,189,43,17,14,76,**,51
"$10,000 under $25,000",597,859,211,"10,207",480,"7,687",236,280,441,419,91,130,88,*       18,121
"$25,000 under $50,000",769,"1,505",462,"28,348",689,"23,494",375,523,693,"2,049",251,413,148,**,317
"$50,000 or more      ","2,266","6,465","2,329","257,732","2,192","222,039","1,704","1,914","2,245","42,618","1,722","4,373",436,23,"1,934"
,,,,,,,,,,,,,,,
98020,"9,655","17,238","4,050","699,248","6,696","401,363","6,823","28,039","7,872","123,541","4,039","19,639","1,586",23,"4,506"
"Under $10,000        ","1,645","1,284",142,36,951,"6,046",874,"1,104",436,121,108,115,197,**,220
"$10,000 under $25,000","1,685","2,157",252,"28,723",929,"14,219","1,031","2,585","1,280","1,185",338,549,204,**,413
"$25,000 under $50,000","2,174","3,493",651,"79,878","1,572","50,694","1,359","3,563","2,030","6,728",709,"1,489",318,**,833
"$50,000 or more      ","4,151","10,304","3,005","590,611","3,244","330,404","3,559","20,787","4,126","115,507","2,884","17,486",867,*       23,"3,040"
,,,,,,,,,,,,,,,
98021,"10,158","20,556","6,624","565,578","8,842","470,248","6,073","8,782","8,512","74,273","4,177","11,013","1,443",25,"4,689"
"Under $10,000        ","1,607","1,000",153,"4,525","1,215","6,654",669,476,565,117,53,58,139,*       10,108
"$10,000 under $25,000","1,653","2,210",414,"28,303","1,245","19,846",697,"1,297","1,273","1,308",197,313,178,**,255
"$25,000 under $50,000","2,339","4,255","1,141","85,787","2,047","69,231","1,170","1,662","2,140","6,709",713,"1,345",312,**,841
"$50,000 or more      ","4,559","13,091","4,916","446,963","4,335","374,517","3,537","5,347","4,534","66,139","3,214","9,297",814,15,"3,485"
,,,,,,,,,,,,,,,
98022,"9,382","19,421","6,359","463,720","7,866","358,015","5,237","12,174","7,594","55,208","3,454","8,649","1,361",284,"4,067"
"Under $10,000        ","1,546","1,248",243,312,"1,167","5,938",546,833,458,108,41,47,162,37,98
"$10,000 under $25,000","1,852","2,784",639,"31,689","1,348","21,413",775,"1,526","1,380","1,244",229,407,207,36,309
"$25,000 under $50,000","2,270","4,569","1,446","82,932","1,952","64,746","1,074","2,025","2,068","6,010",658,"1,131",291,38,828
"$50,000 or more      ","3,714","10,820","4,031","348,787","3,399","265,918","2,842","7,790","3,688","47,846","2,526","7,064",701,173,"2,832"
,,,,,,,,,,,,,,,
98023,"19,933","41,840","14,702","1,013,618","17,723","830,878","9,897","14,271","15,726","128,049","7,249","20,257","2,523",17,"8,325"
"Under $10,000        ","3,263","2,871",739,"11,362","2,625","14,138",947,716,953,178,85,101,326,--,199
"$10,000 under $25,000","3,856","6,538","2,161","67,229","3,220","52,242","1,120","1,203","2,606","2,615",371,659,415,**,508
"$25,000 under $50,000","5,174","10,766","3,885","189,670","4,738","162,009","2,144","2,262","4,576","13,485","1,508","2,810",599,**,"1,847"
"$50,000 or more      ","7,640","21,665","7,917","745,357","7,140","602,489","5,686","10,090","7,591","111,771","5,285","16,687","1,183",*       17,"5,771"
,,,,,,,,,,,,,,,
98024,"2,213","4,437","1,356","143,938","1,847","114,289","1,397","3,617","1,785","24,954",933,"2,729",376,27,"1,069"
"Under $10,000        ",390,302,68,"-6,928",258,"1,202",179,456,111,36,19,26,44,*       12,44
"$10,000 under $25,000",368,539,114,"6,468",280,"4,521",156,277,265,266,57,100,56,**,73
"$25,000 under $50,000",490,847,206,"17,795",425,"14,176",270,347,452,"1,394",160,239,70,**,188
"$50,000 or more      ",965,"2,749",968,"126,603",884,"94,390",792,"2,537",957,"23,258",697,"2,364",206,15,764
,,,,,,,,,,,,,,,
98025,325,644,185,"17,695",272,"13,676",202,394,268,"2,298",131,440,64,**,154
"Under $10,000        ",49,35,2,123,34,161,17,26,16,3,*       10,*       16,**,**,**
"$10,000 under $25,000",57,79,13,973,42,609,29,45,41,44,**,**,*       16,**,*       15
"$25,000 under $50,000",85,165,49,"3,098",72,"2,428",46,60,78,202,28,37,14,--,38
"$50,000 or more      ",134,365,121,"13,501",124,"10,478",110,263,133,"2,049",93,387,34,**,101
,,,,,,,,,,,,,,,
98026,"16,724","32,256","9,541","898,144","13,998","668,326","10,035","21,275","13,653","124,112","6,356","16,377","2,502",30,"7,350"
"Under $10,000        ","2,658","2,092",368,"1,025","1,966","12,339","1,050","1,132",761,156,96,88,262,*       12,218
"$10,000 under $25,000","3,073","4,540","1,022","53,251","2,283","36,929","1,339","2,123","2,240","2,224",390,671,387,**,545
"$25,000 under $50,000","4,383","7,707","2,022","160,544","3,767","127,638","2,344","3,124","4,093","12,748","1,369","2,384",578,**,"1,656"
"$50,000 or more      ","6,610","17,917","6,129","683,324","5,982","491,420","5,302","14,896","6,559","108,984","4,501","13,234","1,275",18,"4,931"
,,,,,,,,,,,,,,,
98027,"11,661","22,629","6,654","947,654","9,891","720,176","7,617","18,210","9,764","176,446","5,203","18,224","1,860",40,"5,887"
"Under $10,000        ","1,823","1,191",185,"-7,221","1,302","8,014",796,960,546,103,71,76,175,*       15,173
"$10,000 under $25,000","1,588","2,089",374,"27,436","1,192","19,026",714,"1,123","1,201","1,235",227,313,218,**,305
"$25,000 under $50,000","2,460","4,010",920,"91,203","2,090","70,693","1,306","2,127","2,269","7,674",710,"1,243",325,**,880
"$50,000 or more      ","5,790","15,339","5,175","836,236","5,307","622,443","4,801","14,000","5,748","167,434","4,195","16,592","1,142",25,"4,529"
,,,,,,,,,,,,,,,
98028,"8,783","16,808","4,970","532,163","7,389","396,910","5,292","10,766","7,142","81,418","3,545","9,621","1,334",19,"4,051"
"Under $10,000        ","1,503","1,097",189,"3,745","1,088","5,872",609,589,453,107,50,57,150,--,114
"$10,000 under $25,000","1,518","2,170",488,"25,939","1,150","18,205",638,977,"1,100","1,060",185,312,199,**,266
"$25,000 under $50,000","2,035","3,469",842,"74,720","1,758","59,253","1,033","1,571","1,892","6,023",611,"1,015",250,**,740
"$50,000 or more      ","3,727","10,072","3,451","427,759","3,393","313,580","3,012","7,629","3,697","74,228","2,699","8,237",735,*       19,"2,931"
,,,,,,,,,,,,,,,
98029,"7,367","15,372","4,998","579,747","5,969","475,453","5,047","11,359","6,226","98,676","3,567","11,111",928,11,"4,031"
"Under $10,000        ","1,094",700,114,80,744,"4,108",500,714,326,73,59,75,66,*       11,95
"$10,000 under $25,000",888,"1,193",204,"15,045",531,"8,431",506,"1,336",640,579,207,340,81,**,244
"$25,000 under $50,000","1,268","2,066",486,"47,136",981,"33,736",732,"1,744","1,168","3,791",441,996,140,**,520
"$50,000 or more      ","4,117","11,413","4,194","517,486","3,713","429,178","3,309","7,565","4,092","94,233","2,860","9,700",641,**,"3,172"
,,,,,,,,,,,,,,,
98030,"10,446","21,064","7,747","401,553","9,633","354,430","4,003","4,063","7,849","39,765","2,690","5,608","1,052",13,"3,145"
"Under $10,000        ","1,745","1,924",639,"7,900","1,502","7,547",364,198,442,77,24,27,182,**,46
"$10,000 under $25,000","2,793","4,941","1,792","48,740","2,483","40,685",587,734,"1,807","1,800",159,241,244,**,240
"$25,000 under $50,000","3,068","6,180","2,259","110,021","2,914","99,416","1,073",824,"2,776","8,100",634,936,265,*       13,791
"$50,000 or more      ","2,840","8,019","3,057","234,892","2,734","206,782","1,979","2,307","2,824","29,788","1,873","4,404",361,**,"2,068"
,,,,,,,,,,,,,,,
98031,"17,236","36,542","12,941","806,157","15,209","672,500","9,027","11,299","13,629","91,233","6,234","15,333","2,275",21,"7,105"
"Under $10,000        ","2,631","2,419",641,"10,690","2,078","10,903",811,455,728,144,51,62,296,--,99
"$10,000 under $25,000","3,614","6,347","2,140","63,189","2,923","47,570","1,175","1,212","2,424","2,321",337,633,445,**,477
"$25,000 under $50,000","4,663","9,612","3,349","169,683","4,211","141,620","2,128","2,334","4,188","12,290","1,325","2,227",579,**,"1,656"
"$50,000 or more      ","6,328","18,164","6,811","562,595","5,997","472,407","4,913","7,298","6,289","76,478","4,521","12,411",955,*       21,"4,873"
,,,,,,,,,,,,,,,
98032,"13,625","24,899","7,702","545,314","12,201","454,117","5,590","7,554","10,829","60,838","3,434","8,721","1,352",18,"4,142"
"Under $10,000        ","1,933","2,135",583,"6,135","1,561","8,735",474,444,489,93,44,39,199,**,100
"$10,000 under $25,000","3,420","5,634","1,808","60,898","2,947","49,424",857,848,"2,419","2,478",254,454,286,**,350
"$25,000 under $50,000","4,558","8,312","2,624","164,416","4,243","144,641","1,703","1,474","4,219","13,286",986,"1,453",386,*       18,"1,267"
"$50,000 or more      ","3,714","8,818","2,687","313,865","3,450","251,317","2,556","4,788","3,702","44,981","2,150","6,775",481,**,"2,425"
,,,,,,,,,,,,,,,
98033,"16,074","28,293","6,981","1,433,430","13,300","1,064,020","10,444","39,099","13,621","292,176","6,789","30,747","2,683",30,"7,757"
"Under $10,000        ","2,253","1,740",263,"-38,997","1,474","9,843","1,035","1,953",621,140,119,122,342,**,283
"$10,000 under $25,000","2,262","2,978",481,"39,441","1,645","26,638","1,014","1,847","1,707","1,755",369,562,316,**,476
"$25,000 under $50,000","3,547","5,371","1,049","130,346","3,000","102,092","1,882","3,604","3,339","11,311","1,007","1,962",512,**,"1,182"
"$50,000 or more      ","8,012","18,204","5,188","1,302,640","7,181","925,447","6,513","31,695","7,954","278,970","5,294","28,101","1,513",*       30,"5,816"
,,,,,,,,,,,,,,,
98034,"19,183","34,876","9,843","1,146,081","16,923","942,761","10,514","21,169","16,075","176,214","7,125","18,958","2,694",27,"8,188"
"Under $10,000        ","2,705","2,075",360,"7,863","2,057","11,606",969,914,807,170,106,106,291,10,227
"$10,000 under $25,000","3,382","4,653","1,039","58,658","2,768","44,802","1,172","1,583","2,559","2,636",403,627,415,--,533
"$25,000 under $50,000","5,286","8,699","2,212","193,797","4,793","164,691","2,477","2,599","4,945","16,589","1,503","2,572",610,**,"1,800"
"$50,000 or more      ","7,810","19,449","6,232","885,763","7,305","721,662","5,896","16,073","7,764","156,819","5,113","15,653","1,378",17,"5,628"
,,,,,,,,,,,,,,,
98035,461,777,196,"23,497",392,"15,905",224,"1,054",379,"3,394",108,471,51,**,129
"Under $10,000        ",69,93,24,-82,55,391,17,6,16,3,--,--,10,--,**
"$10,000 under $25,000",101,152,40,"1,794",81,"1,250",34,32,80,83,**,**,*       18,--,*       13
"$25,000 under $50,000",144,236,66,"5,122",128,"4,304",63,156,137,454,*       33,*       57,**,**,30
"$50,000 or more      ",147,296,66,"16,663",128,"9,960",110,860,146,"2,854",75,414,23,**,86
,,,,,,,,,,,,,,,
98036,"14,812","29,501","9,522","668,802","12,985","558,558","7,687","10,160","11,901","77,981","4,964","11,710","2,005",10,"5,852"
"Under $10,000        ","2,387","2,194",507,"4,009","1,836","10,008",772,727,671,154,76,80,283,--,170
"$10,000 under $25,000","3,226","4,950","1,292","56,306","2,633","42,815","1,119","1,456","2,390","2,322",327,558,357,*       10,453
"$25,000 under $50,000","4,074","7,894","2,472","148,000","3,668","123,792","1,921","2,091","3,744","11,092","1,131","1,859",503,--,"1,397"
"$50,000 or more      ","5,125","14,463","5,251","460,487","4,848","381,943","3,875","5,886","5,096","64,413","3,430","9,213",862,**,"3,832"
,,,,,,,,,,,,,,,
98037,"20,844","39,987","12,430","881,497","18,564","744,209","9,648","12,320","16,625","97,537","6,015","13,976","2,612",18,"7,156"
"Under $10,000        ","3,293","3,165",748,"9,817","2,632","14,669",882,761,869,182,90,86,361,**,182
"$10,000 under $25,000","4,710","7,362","2,011","82,039","3,923","64,057","1,377","1,782","3,427","3,407",403,684,487,**,570
"$25,000 under $50,000","6,265","11,719","3,491","225,590","5,750","193,679","2,656","2,924","5,793","17,487","1,384","2,297",727,*       18,"1,760"
"$50,000 or more      ","6,576","17,741","6,180","564,051","6,259","471,804","4,733","6,853","6,536","76,461","4,138","10,909","1,037",**,"4,644"
,,,,,,,,,,,,,,,
98038,"10,244","23,006","8,006","651,689","9,014","538,362","6,459","9,735","8,734","86,382","5,187","13,630","1,462",75,"5,874"
"Under $10,000        ","1,379",908,170,"1,219","1,088","6,146",528,883,431,78,46,49,119,**,102
"$10,000 under $25,000","1,347","1,946",466,"22,958",986,"15,726",573,"1,051","1,002",959,198,319,140,*       15,255
"$25,000 under $50,000","2,041","3,925","1,168","75,970","1,763","60,252","1,071","1,488","1,859","5,557",736,"1,174",300,18,911
"$50,000 or more      ","5,477","16,227","6,202","551,542","5,177","456,238","4,287","6,313","5,442","79,788","4,207","12,088",903,42,"4,606"
,,,,,,,,,,,,,,,
98039,"1,477","2,973",932,"538,931",945,"254,870","1,189","36,529","1,178","143,820",806,"31,591",298,11,882
"Under $10,000        ",310,168,34,"-5,539",150,"1,157",175,"1,531",98,40,11,20,18,**,51
"$10,000 under $25,000",139,138,9,"2,252",79,"1,158",88,171,102,102,25,42,16,--,29
"$25,000 under $50,000",166,265,48,"6,102",98,"2,943",120,465,144,462,66,162,32,--,78
"$50,000 or more      ",862,"2,402",841,"536,116",618,"249,612",806,"34,362",834,"143,216",704,"31,367",232,*       11,724
,,,,,,,,,,,,,,,
98040,"11,207","21,667","6,629","1,638,252","7,644","913,392","8,798","60,833","8,939","400,601","5,429","44,921","2,154",29,"5,912"
"Under $10,000        ","2,402","1,307",189,"-21,996","1,309","8,818","1,409","4,099",761,293,101,125,213,**,268
"$10,000 under $25,000","1,287","1,652",239,"21,948",763,"11,318",846,"2,225",908,968,269,579,198,--,349
"$25,000 under $50,000","1,617","2,536",482,"59,586","1,086","36,268","1,140","4,162","1,451","4,869",550,"1,417",271,**,626
"$50,000 or more      ","5,901","16,172","5,719","1,578,714","4,486","856,988","5,403","50,347","5,819","394,471","4,509","42,800","1,472",*       29,"4,669"
,,,,,,,,,,,,,,,
98041,570,932,194,"19,831",431,"20,623",344,"1,124",471,"4,449",167,442,114,--,220
"Under $10,000        ",74,78,7,"-10,114",40,370,38,216,14,3,**,**,16,--,12
"$10,000 under $25,000",119,161,23,"2,186",68,"1,153",61,138,92,106,*       22,*       29,25,--,27
"$25,000 under $50,000",175,278,63,"6,433",147,"4,939",93,122,163,543,37,62,34,--,53
"$50,000 or more      ",202,415,101,"21,326",176,"14,161",152,648,202,"3,797",108,351,39,--,128
,,,,,,,,,,,,,,,
98042,"16,877","36,339","12,634","978,528","14,945","790,036","9,847","16,606","13,942","130,388","7,616","19,545","2,129",74,"8,699"
"Under $10,000        ","2,644","1,814",429,"1,886","2,124","11,765",942,"1,737",853,202,63,68,202,**,154
"$10,000 under $25,000","2,689","4,023","1,067","46,531","2,147","34,357","1,005","1,291","1,961","1,929",342,577,270,*       23,470
"$25,000 under $50,000","3,697","7,494","2,496","136,652","3,283","112,221","1,747","2,044","3,324","9,740","1,336","2,097",449,**,"1,667"
"$50,000 or more      ","7,847","23,008","8,642","793,459","7,391","631,693","6,153","11,534","7,804","118,517","5,875","16,803","1,208",51,"6,408"
,,,,,,,,,,,,,,,
98043,"9,220","17,079","5,118","360,659","8,140","305,118","4,275","4,388","7,509","36,354","2,713","5,137","1,126",**,"3,270"
"Under $10,000        ","1,333","1,210",241,"5,841","1,026","5,760",374,319,376,100,40,34,175,**,77
"$10,000 under $25,000","2,120","3,239",824,"37,127","1,691","27,802",718,898,"1,568","1,531",215,306,243,**,301
"$25,000 under $50,000","3,114","5,719","1,716","113,729","2,895","98,589","1,394","1,264","2,932","9,032",881,"1,257",341,**,"1,100"
"$50,000 or more      ","2,653","6,911","2,337","203,962","2,528","172,967","1,789","1,907","2,633","25,691","1,577","3,540",367,**,"1,792"
,,,,,,,,,,,,,,,
98045,"6,315","13,053","4,203","407,167","5,592","342,470","3,658","6,178","5,283","60,611","2,687","6,953",979,20,"3,209"
"Under $10,000        ",971,753,163,"2,439",741,"4,822",334,376,304,53,31,30,104,**,80
"$10,000 under $25,000",980,"1,340",303,"16,745",782,"12,358",355,510,748,746,94,152,112,**,144
"$25,000 under $50,000","1,338","2,481",713,"49,568","1,196","40,864",664,841,"1,238","3,802",404,643,194,**,518
"$50,000 or more      ","3,026","8,479","3,024","338,415","2,873","284,426","2,305","4,451","2,993","56,010","2,158","6,128",569,*       20,"2,467"
,,,,,,,,,,,,,,,
