zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98003,,"19,330","6,452","9,198","41,131","12,994","885,706","16,722","696,653","6,772","13,032","2,974","8,139","2,556","4,487","2,069","22,904",0,"1,945","11,732","1,025","12,386","3,135","55,360","1,902","17,288","1,856","20,046",57,"1,145","5,441","117,060",113,439,"4,392","7,886","4,927","17,820","5,379","27,701","4,667","56,089","4,232","14,065","14,656","541,248","6,181","6,772",669,627,"3,730","4,181",554,296,"3,694","5,517","3,590","7,639","3,154","6,793",152,566,"12,538","83,820","13,382","88,128","2,679","6,197","15,890","44,298"
98003,"$1 under $25,000",7581,1077,3564,13408,4063,98861,6096,76315,1511,1743,630,1251,507,588,807,5251,0,460,-390,300,1589,959,8558,763,6021,291,462,**,**,531,8609,41,78,398,323,411,1195,516,1661,339,3129,342,665,3282,20257,1035,363,**,**,435,140,70,21,2139,2696,2518,5882,2294,5337,**,**,2552,1823,3153,2757,573,329,6497,14257
98003,"$25,000 under $50,000",5871,1575,2760,13001,4244,210600,5254,178086,1717,1857,581,1246,506,693,502,5102,0,399,-281,247,1941,828,13280,581,5989,649,3980,26,137,1313,22637,**,**,1036,1176,1100,3426,1287,4859,1051,10657,907,1851,5525,106626,2435,2229,149,99,1651,1523,194,113,1344,2487,1072,1757,860,1456,25,27,4344,11210,4544,12173,734,916,5063,13726
98003,"$50,000 under $75,000",2766,1364,1361,6521,2111,168639,2488,139207,1364,1863,565,1035,486,679,299,2641,0,354,232,215,2275,577,12451,297,2668,437,6235,**,**,1324,25244,25,49,1072,1619,1218,3835,1309,5782,1177,12964,1023,2103,2743,106176,1213,1855,164,148,860,1361,100,57,211,334,0,0,0,0,**,**,2550,13383,2589,14007,540,953,2177,6802
98003,"$75,000 under $100,000",1500,1055,700,3787,1174,129099,1386,107215,951,1339,446,768,383,505,213,1701,0,253,165,123,2217,341,8788,135,1359,250,4797,**,**,971,20742,22,45,790,1539,942,3206,967,5060,901,11008,784,2140,1496,88907,731,1192,145,148,479,754,88,47,**,**,0,0,0,0,**,**,1483,12280,1485,12699,316,677,1150,4340
98003,"$100,000 under $200,000",1384,1179,655,3788,1206,180927,1304,150639,1019,1761,602,1256,537,931,192,3811,0,347,1416,140,4364,382,10493,126,1251,192,3796,31,1008,1099,28436,25,267,929,2527,1059,4426,1098,7547,1024,14816,986,3496,1382,135374,674,959,185,176,305,403,102,58,**,**,0,0,0,0,32,53,1381,23094,1383,23848,421,1483,922,3962
98003,"$200,000 or more",228,202,158,626,196,97580,194,45191,210,4469,150,2583,137,1091,56,4398,0,132,10590,**,**,48,1790,**,**,37,776,**,**,203,11392,**,**,167,702,197,1732,202,2792,175,3515,190,3810,228,83908,93,174,26,56,0,0,**,**,0,0,0,0,0,0,95,486,228,22030,228,22644,95,1839,81,1211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,,"15,147","5,927","7,560","28,210","7,278","2,482,324","11,928","1,329,972","9,393","103,995","7,155","364,594","6,562","330,351","2,347","76,123",32,"5,990","236,088","1,323","39,094","2,447","58,832",894,"9,535","2,258","37,517",320,"7,871","6,662","383,947",493,"14,954","5,119","23,047","5,804","51,439","6,571","94,634","4,669","107,302","5,614","117,539","12,728","1,966,610","5,037","14,482",506,569,"1,228","1,476",444,239,819,"1,176",644,875,496,701,"1,271","9,818","11,900","443,960","12,408","456,105","3,466","28,765","9,914","51,229"
98004,"$1 under $25,000",3873,466,1780,4805,958,45400,2679,33610,1597,3830,1165,3418,1051,2096,457,3029,**,884,-689,213,1246,427,3395,171,1648,193,495,**,**,619,13824,22,44,434,529,427,2272,583,3059,279,4339,411,725,1843,11649,540,196,**,**,99,35,**,**,429,559,511,676,398,562,22,57,1457,1057,1764,1648,524,348,2702,6026
98004,"$25,000 under $50,000",2865,585,1239,4710,980,104809,2299,79969,1262,3185,803,3735,710,2187,339,4853,0,615,109,232,2375,437,6744,257,3034,491,3712,38,396,754,16983,26,302,591,729,569,3060,738,4334,406,5737,551,1387,2634,59158,877,684,32,27,336,308,40,20,285,460,133,199,98,139,**,**,2333,6950,2428,7837,523,863,2182,4762
98004,"$50,000 under $75,000",1938,603,869,3222,628,119469,1539,87215,1191,3890,738,4671,663,3143,290,4313,**,630,241,208,3612,403,8941,152,1522,410,6434,**,**,810,21214,38,122,640,999,687,3534,795,4904,552,8957,636,1830,1872,79545,586,637,44,47,233,320,39,20,61,90,0,0,0,0,**,**,1800,11611,1835,12540,451,1060,1358,4225
98004,"$75,000 under $100,000",1642,721,717,3000,631,143577,1350,106843,1136,4195,867,5655,784,3880,239,4953,**,668,1580,182,4170,340,8674,93,1030,329,6620,22,349,794,23585,55,337,627,1252,666,4096,785,5933,537,9328,652,2400,1597,103515,588,709,61,60,237,360,40,22,44,67,0,0,0,0,**,**,1560,16842,1592,17826,404,1170,1113,4129
98004,"$100,000 under $200,000",2815,1816,1469,6425,1788,387895,2372,286212,2292,10863,1897,14890,1743,10936,526,15892,32,1580,7565,320,12137,525,16790,153,1596,514,11572,89,1654,1838,68572,156,1355,1399,4753,1672,12193,1825,19385,1443,30927,1609,8072,2782,288741,1268,1606,184,190,323,453,144,76,**,**,0,0,0,0,167,502,2748,53230,2782,55881,827,3909,1732,10701
98004,"$200,000 or more",2014,1736,1486,6048,2293,1681174,1689,736123,1915,78032,1685,332225,1611,308109,496,43083,**,1613,227282,168,15554,315,14288,68,705,321,8684,171,5472,1847,239769,196,12794,1428,14785,1783,26284,1845,57019,1452,48014,1755,103125,2000,1424002,1178,10650,185,245,**,**,181,101,0,0,0,0,0,0,1082,9259,2002,354270,2007,360373,737,21415,827,21386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,,"9,195","3,893","4,076","18,084","4,795","916,729","7,584","642,998","5,341","27,572","3,766","33,261","3,400","25,376","1,394","34,041",0,"2,969","49,000",718,"13,691","1,484","30,752",622,"6,032","1,184","17,761",145,"3,295","3,835","126,007",168,"1,805","3,068","8,478","3,449","19,106","3,777","31,209","2,937","52,910","3,206","18,825","7,749","699,035","3,284","5,304",404,407,"1,145","1,303",313,155,597,907,540,792,428,642,488,"2,017","7,182","148,626","7,499","154,712","2,036","18,702","6,343","26,525"
98005,"$1 under $25,000",2415,282,986,3218,612,28961,1707,22214,892,1385,598,1381,515,839,321,2128,0,437,828,146,1092,271,2167,129,1005,123,203,**,**,344,6494,**,**,245,221,254,998,317,1331,167,1902,218,371,1118,7022,337,110,**,**,68,23,**,**,306,442,408,594,328,485,**,**,885,626,1100,1034,308,216,1739,2608
98005,"$25,000 under $50,000",1956,464,824,3434,771,71397,1670,57454,827,1357,453,1810,383,1124,223,2840,0,318,-88,132,1238,280,4254,184,1877,267,1849,**,**,502,9987,**,**,408,468,410,1502,490,2085,331,3758,364,876,1849,39627,654,526,48,34,295,261,40,20,240,403,132,198,100,157,0,0,1595,4521,1659,5041,326,440,1561,3644
98005,"$50,000 under $75,000",1390,607,593,2569,546,85682,1172,67438,821,2128,469,2165,426,1476,193,2579,0,370,-63,121,1943,285,5542,119,1052,258,3921,44,376,569,12731,44,73,452,758,481,1899,562,2845,399,5256,457,1146,1362,56708,554,655,47,38,275,374,37,15,51,62,0,0,0,0,**,**,1316,7764,1343,8302,306,606,1031,3056
98005,"$75,000 under $100,000",989,544,391,2013,469,86132,847,67243,706,1853,497,1974,441,1410,154,3147,0,376,-141,113,2232,223,6097,64,776,196,3893,**,**,525,12882,23,95,423,853,482,2137,522,3245,427,6176,441,1241,979,61707,419,584,60,56,214,298,36,17,**,**,0,0,0,0,**,**,961,9493,962,10033,255,657,679,2727
98005,"$100,000 under $200,000",1576,1224,694,4073,1265,216631,1408,172072,1293,3951,1026,6226,947,4865,289,8336,0,817,2427,163,5066,287,8327,89,917,245,5641,41,619,1096,33047,49,245,887,2507,1040,5252,1087,8405,940,17063,977,4135,1575,163660,821,1204,150,159,293,347,105,53,**,**,0,0,0,0,66,133,1562,29003,1569,30377,475,1945,990,5356
98005,"$200,000 or more",869,772,588,2777,1132,427926,780,256577,802,16898,723,19705,688,15662,214,15011,0,651,46037,43,2120,138,4365,37,405,95,2254,60,2300,799,50866,52,1392,653,3671,782,7318,799,13298,673,18755,749,11056,866,370311,499,2225,99,120,0,0,95,50,0,0,0,0,0,0,422,1884,863,97219,866,99925,366,14838,343,9134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,,"17,002","8,862","7,331","36,308","11,775","1,995,768","13,727","1,403,316","11,730","44,233","8,640","65,393","7,848","46,122","2,942","76,559",27,"6,619","74,644","1,417","29,757","3,175","79,045","1,214","13,167","2,358","36,867",414,"8,934","8,933","291,930",348,"4,744","7,367","22,282","8,488","49,497","8,868","80,489","7,398","133,786","7,820","40,713","14,165","1,538,034","6,869","11,515","1,309","1,311","2,120","2,763",798,381,716,930,921,"1,578",747,"1,247","1,375","4,718","13,299","339,821","13,967","353,390","3,941","25,639","11,285","49,033"
98006,"$1 under $25,000",4534,582,1685,4508,842,45670,3162,33428,2094,2738,1354,2384,1196,1452,531,3528,**,884,-754,241,1496,540,4532,233,2077,179,315,**,**,582,12968,**,**,440,386,482,2128,557,2621,355,5176,362,536,2008,11351,487,171,**,**,54,19,**,**,290,346,670,1170,562,954,0,0,1663,1063,2081,1740,635,330,3104,4299
98006,"$25,000 under $50,000",2548,762,1024,4394,1051,93989,1946,66340,1363,3209,839,3166,743,2060,432,5111,**,617,25,252,2750,531,9077,234,2723,527,3807,45,595,869,18674,33,73,701,923,763,3139,853,4359,596,7673,654,1429,2332,49125,843,682,97,64,302,296,57,29,277,378,251,408,185,293,0,0,2015,5480,2180,6515,452,624,1944,4724
98006,"$50,000 under $75,000",2025,923,909,4193,1200,126015,1603,88960,1386,3612,873,3662,770,2376,321,4966,0,636,468,225,3744,500,11832,191,2156,475,7317,**,**,1135,26861,36,86,928,1489,1065,4592,1126,6497,899,12487,932,2386,1964,76973,908,1126,164,143,432,600,54,29,114,161,0,0,0,0,**,**,1833,10134,1889,11157,441,1008,1466,5117
98006,"$75,000 under $100,000",1740,1186,764,4292,1355,151237,1418,107096,1380,4082,990,4674,874,2864,313,5297,27,741,1177,246,5619,445,13947,136,1675,406,8195,29,273,1133,29872,43,228,946,2005,1085,5023,1132,7591,943,14217,990,3166,1724,100005,1005,1595,188,193,533,831,77,35,35,45,0,0,0,0,**,**,1676,13426,1696,14538,327,916,1305,5836
98006,"$100,000 under $200,000",3867,3272,1606,11407,4247,544603,3494,432991,3361,10400,2666,12806,2441,9117,822,20863,**,2038,4169,339,11218,793,28179,303,3378,573,12581,125,2205,3130,95563,90,706,2647,7956,3053,16843,3120,26895,2827,48865,2892,11483,3857,399369,2292,2904,554,541,799,1017,339,162,**,**,0,0,0,0,183,354,3834,69459,3840,72941,1152,4846,2481,13540
98006,"$200,000 or more",2288,2137,1343,7514,3080,1034254,2104,674501,2146,20192,1918,38701,1824,28253,523,36794,**,1703,69559,114,4930,366,11478,117,1158,198,4652,215,5861,2084,107992,146,3651,1705,9523,2040,17772,2080,32526,1778,45368,1990,21713,2280,901211,1334,5037,306,370,0,0,271,126,0,0,0,0,0,0,1192,4364,2278,240259,2281,246499,934,17915,985,15517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,,"12,060","4,667","4,841","23,674","6,330","755,613","10,497","623,512","5,757","11,292","3,525","11,863","3,179","8,039","1,294","22,344",0,"2,598","7,402",693,"9,989","1,491","25,211",812,"8,045",990,"12,401",75,"1,270","3,323","75,747",144,743,"2,502","5,262","2,658","9,398","3,238","16,904","2,370","34,729","2,475","9,100","9,823","539,713","4,030","4,727",419,400,"1,949","2,262",379,187,"1,196","1,722","1,134","2,003",964,"1,733",205,569,"8,959","96,765","9,355","100,369","2,106","6,272","9,332","25,688"
98007,"$1 under $25,000",3860,595,1456,5828,1397,48232,3045,38407,1116,1372,554,1149,472,641,431,3110,0,401,-137,186,1006,379,2996,245,2268,138,259,**,**,394,6225,23,32,251,226,260,744,361,1197,199,2221,213,324,1781,11341,500,188,**,**,135,41,22,7,659,851,851,1543,741,1359,**,**,1449,1037,1753,1556,405,257,3090,5096
98007,"$25,000 under $50,000",2867,788,1221,5734,1553,103762,2537,87299,1085,1412,470,1428,410,818,280,3983,0,337,-78,158,1767,339,4857,268,2626,306,2128,30,279,646,11827,**,**,483,590,493,1398,619,2206,424,5004,437,823,2720,55138,1126,944,85,66,597,529,57,30,469,779,283,460,223,374,0,0,2275,6029,2348,6662,381,518,2423,5745
98007,"$50,000 under $75,000",1854,887,786,3784,945,114606,1660,97371,933,1611,441,1476,386,1024,171,2312,0,334,-100,135,1918,272,5820,135,1437,226,3417,**,**,585,10790,22,49,432,648,431,1212,572,2115,384,4641,419,987,1849,78574,756,947,73,70,463,662,49,26,68,92,0,0,0,0,**,**,1774,10824,1789,11296,358,634,1448,4039
98007,"$75,000 under $100,000",1418,794,521,3011,786,123746,1316,109991,935,1587,644,1395,583,946,134,1990,0,424,-109,88,1568,192,4217,73,732,137,2517,**,**,539,10952,32,111,406,751,413,1313,530,2443,377,4910,407,1438,1414,93551,629,904,72,70,411,608,57,28,**,**,0,0,0,0,**,**,1408,14564,1408,14988,258,489,1115,3590
98007,"$100,000 under $200,000",1678,1270,654,4186,1234,221708,1585,193380,1334,2773,1097,3024,1021,2115,208,4118,0,809,1819,126,3730,263,5942,91,982,158,3396,21,192,854,23089,46,313,690,1881,767,2909,851,5495,721,12133,721,2740,1676,174828,821,952,147,140,343,422,145,72,**,**,0,0,0,0,48,85,1670,31663,1674,32423,539,2007,1082,4559
