adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"Under $10,000        ",2036,3024,806,9922,1657,8953,355,334,144,120,118,-114,199,-32,0,0,*,*,0,0,53,337,728,34,212,29,65,11,183,0,0,366,48,503,153,790,945,1003
"$10,000 under $25,000",3574,6430,2236,62537,2912,48647,816,1115,360,512,268,61,309,2348,0,0,24,69,*,*,342,6211,4636,243,4426,395,329,5998,812,0,0,2751,2299,2431,2422,986,2499,2047
"$25,000 under $50,000",4118,8243,2963,147126,3741,126514,1184,1339,454,728,319,367,325,2951,*,*,65,226,14,65,1041,39969,13858,803,31100,1257,1010,38746,3022,0,0,4043,11203,3524,10248,458,466,2178
"$50,000 under $75,000",1747,4128,1324,106503,1586,87954,854,1064,393,658,271,811,220,1781,*,*,33,107,*,*,916,56137,14429,765,46658,1598,902,55279,3395,*,*,1743,10571,1701,9871,0,0,966
"$75,000 under $100,000",753,1974,611,64096,689,52901,453,673,237,406,166,1102,85,562,0,0,20,69,*,*,504,43388,9204,436,37536,1097,502,43224,2289,*,*,753,7072,753,6740,0,0,402
"$100,000 or more     ",503,1291,352,82961,436,46151,403,2497,232,1463,221,11035,77,2729,0,0,21,95,12,267,396,66351,9721,373,62873,1852,395,66243,2569,44,101,503,13938,503,14109,0,0,297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,18091,36795,12415,775138,15703,611507,6675,12171,3357,8840,2762,28559,2069,25521,16,-21,302,976,93,1298,5652,429774,103613,4727,379919,14128,5583,417912,24895,142,472,14504,83828,13496,82654,2955,5238,9635
"Under $10,000        ",2983,4331,1078,6482,2341,13518,622,498,330,354,289,-207,383,724,0,0,13,30,*,*,121,743,1671,77,488,97,158,-6108,421,0,0,585,91,846,340,1015,1191,1520
"$10,000 under $25,000",4554,8120,2790,79353,3824,64192,1030,1430,459,798,352,291,401,3231,*,*,36,75,*,*,449,8308,6463,316,5871,587,423,7838,1170,0,0,3512,2941,3028,3105,1302,3392,2583
"$25,000 under $50,000",5347,11077,4117,192394,4834,165241,1650,1893,702,1299,575,612,512,4682,*,*,95,300,21,104,1533,58795,22233,1196,46111,2134,1487,56976,4721,10,5,5211,14273,4507,13098,638,655,2785
"$50,000 under $75,000",2556,5992,1986,156463,2290,129044,1363,1781,649,1421,523,1416,323,3269,*,*,68,204,*,*,1424,88239,24352,1196,74260,2706,1399,86744,5685,*,*,2547,15314,2475,14483,0,0,1348
"$75,000 under $100,000",1294,3481,1176,111240,1188,91888,894,1262,485,967,379,1819,200,2571,16,-21,51,177,13,103,978,84447,19148,872,75251,2478,971,83840,4702,12,17,1293,12059,1283,11550,0,0,643
"$100,000 or more     ",1357,3794,1268,229206,1226,147624,1116,5307,732,4001,644,24628,250,11044,*,*,39,190,59,1091,1147,189242,29746,1070,177938,6126,1145,188622,8196,120,450,1356,39150,1357,40078,0,0,756
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,12774,23307,5430,2353756,9356,940877,8454,114389,6790,133202,6174,809194,2261,68185,31,-474,426,1838,376,8600,6006,2034546,286079,5364,1975610,81155,6023,1974415,72521,965,8070,10939,495688,10935,500941,445,557,6835
"Under $10,000        ",1890,2304,233,-54264,1075,7923,831,3853,798,3268,713,9330,268,-10345,0,0,11,39,0,0,136,808,2636,91,535,111,215,-55361,1510,15,157,506,233,658,624,236,158,942
"$10,000 under $25,000",1771,2344,361,30720,1241,20471,791,1667,582,1851,496,818,241,2227,0,0,35,111,*,*,347,6336,5710,250,4560,465,336,6150,1155,0,0,1461,1608,1390,1852,154,350,838
"$25,000 under $50,000",2460,3483,548,90429,1927,66457,1252,3121,809,3361,692,1881,315,4147,*,*,96,327,26,142,715,26922,12823,571,21615,1251,694,26146,2860,0,0,2366,7706,2303,7985,55,49,1041
"$50,000 under $75,000",1587,2616,498,97641,1170,64257,1083,3714,767,4936,663,2741,254,4590,*,*,62,239,18,187,819,51053,16390,701,43759,1967,801,49952,4199,*,*,1558,10797,1543,11196,0,0,770
"$75,000 under $100,000",1223,2422,542,105918,942,71175,966,3149,767,4382,642,3558,233,5588,*,*,62,249,34,436,754,65798,18325,677,59082,2603,750,65458,4665,17,31,1214,12786,1212,13318,0,0,613
"$100,000 or more     ",3843,10138,3248,2083312,3001,710594,3531,98885,3067,115404,2968,790866,950,61978,31,-474,160,873,298,7835,3235,1883629,230195,3074,1846059,74758,3227,1882070,58132,933,7882,3834,462558,3829,465966,0,0,2631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,9028,16875,4267,1081683,7340,551608,5365,30216,3840,38875,3452,280169,1397,41697,10,-32,271,1084,209,4080,3932,839927,118275,3373,780396,26100,3858,823397,29056,364,1486,7763,218672,7677,219518,467,579,4450
"Under $10,000        ",1268,1519,133,-6067,861,6923,495,678,390,772,371,825,168,-293,0,0,*,*,*,*,58,322,905,33,177,45,118,-8715,528,0,0,337,60,440,214,216,141,579
"$10,000 under $25,000",1413,2050,442,24597,1093,18440,514,873,317,855,271,404,168,1245,0,0,24,85,0,0,229,4063,3444,149,2694,277,215,3822,616,0,0,1147,1091,1073,1209,180,366,668
"$25,000 under $50,000",2013,3068,630,74459,1731,60557,880,1519,530,1567,439,594,242,3113,10,-32,74,195,19,134,657,25435,9827,499,19236,920,607,23370,2014,0,0,1959,6410,1870,6546,71,72,917
"$50,000 under $75,000",1303,2401,556,80081,1102,62452,833,1424,530,1689,453,1443,192,3424,0,0,58,261,29,260,690,42473,11884,564,34840,1335,642,39639,2680,*,*,1293,8770,1274,8964,0,0,620
"$75,000 under $100,000",933,2023,510,80772,767,59394,734,1640,488,1910,437,2142,146,2082,0,0,34,158,16,186,564,48962,11736,502,43724,1376,553,48023,2939,*,*,931,9779,927,9718,0,0,426
"$100,000 or more     ",2098,5814,1996,827841,1786,343842,1909,24082,1585,32082,1481,274761,481,32126,*,*,81,385,145,3500,1734,718672,80479,1626,679725,22147,1723,717258,20279,364,1486,2096,192562,2093,192867,0,0,1240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,17030,37267,11508,2168876,13601,1292752,11921,54850,9102,72818,8104,367929,2999,75769,21,-113,605,2588,524,9697,8928,1757180,248954,8049,1674435,42402,8914,1732990,71375,933,3719,14403,415879,14326,419687,715,1019,7723
"Under $10,000        ",2937,3508,316,-13300,1914,11068,1312,1632,1126,1384,981,792,279,657,0,0,18,58,*,*,128,713,2592,73,424,73,207,-18132,1177,*,*,945,164,1117,439,315,260,1167
"$10,000 under $25,000",2077,3085,620,35550,1480,23971,1003,1870,629,1538,512,769,311,2901,0,0,48,134,*,*,408,7245,7035,278,4981,556,382,6809,1425,0,0,1614,1453,1560,1792,261,611,874
"$25,000 under $50,000",2668,4588,1140,98094,2133,72269,1454,3098,908,2720,782,1909,423,5391,0,0,98,348,30,159,1014,38778,17707,816,31581,1686,988,37876,3948,0,0,2533,7370,2405,7656,139,148,1138
"$50,000 under $75,000",1993,4346,1299,123808,1596,87144,1480,3145,976,3865,847,3320,358,6597,*,*,94,400,45,416,1221,76553,24157,1055,66179,2747,1198,75144,5742,*,*,1972,11824,1916,11920,0,0,923
"$75,000 under $100,000",1893,4898,1634,165179,1595,121884,1566,4092,1147,3795,989,3774,375,7494,*,*,107,451,58,480,1397,122481,31110,1277,112094,3818,1389,121793,7775,23,30,1884,18035,1874,17947,0,0,814
"$100,000 or more     ",5462,16842,6499,1759545,4883,976416,5106,41013,4316,59516,3993,357365,1253,52729,21,-113,240,1197,391,8642,4760,1511410,166353,4550,1459176,33522,4750,1509500,51308,910,3689,5455,377033,5454,379933,0,0,2807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,11235,20840,5609,635967,9734,470106,5372,11462,3286,13317,2822,31294,1317,19931,*,*,322,1249,86,1779,3306,332617,62415,2637,295619,9587,3279,325738,15168,139,580,9456,90984,9149,91170,1014,1561,4880
"Under $10,000        ",1689,2208,355,3663,1296,7527,474,526,295,366,271,165,207,364,0,0,*,*,0,0,100,557,1164,48,278,51,136,-2644,409,0,0,415,71,562,220,410,384,704
"$10,000 under $25,000",2348,3814,1066,41131,2006,34012,646,990,303,681,257,162,241,1963,0,0,49,140,0,0,325,5826,3811,192,3389,302,316,5658,790,0,0,1905,1781,1741,1909,419,1000,1088
"$25,000 under $50,000",2991,5552,1670,108773,2690,93795,1177,1375,549,1305,447,594,305,3070,0,0,94,349,10,77,729,27520,10227,526,19974,961,706,26676,2022,0,0,2935,8782,2664,8453,185,177,1329
"$50,000 under $75,000",1735,3406,866,106593,1531,88582,1015,1613,558,1445,463,1140,205,2979,0,0,61,232,17,189,704,43434,11286,569,35154,1191,688,42385,2407,10,4,1732,11980,1715,11753,0,0,734
"$75,000 under $100,000",1152,2414,569,98963,1042,82696,875,1674,624,1663,516,2099,145,2313,*,*,41,166,11,122,515,44470,9691,440,38122,1409,508,43866,2123,*,*,1150,12868,1149,12732,0,0,418
"$100,000 or more     ",1320,3446,1083,276844,1169,163494,1185,5284,957,7857,868,27134,214,9242,*,*,77,362,48,1391,933,210810,26236,862,198702,5673,925,209797,7417,129,576,1319,55502,1318,56103,0,0,607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,11308,22816,6189,912864,9109,621651,7163,19832,5089,24746,4433,71541,1834,31973,*,*,375,1495,172,2396,5247,656455,127899,4599,603202,18682,5258,649196,31086,328,1376,9582,140960,9458,142288,687,992,5156
"Under $10,000        ",1616,2047,260,2210,1135,6693,609,732,408,721,367,291,215,16,0,0,*,*,*,*,96,597,1722,54,350,60,158,-3189,588,0,0,382,63,525,270,303,277,674
"$10,000 under $25,000",1747,2676,603,30381,1303,21841,688,1235,408,1020,320,208,224,2008,*,*,43,120,*,*,314,5623,5048,233,4206,388,303,5442,910,0,0,1367,1220,1295,1404,264,600,798
"$25,000 under $50,000",2278,4171,1170,83412,1878,63836,1148,1763,675,1723,569,684,317,3528,*,*,88,309,18,81,742,28229,13131,590,22525,1018,727,27691,2584,0,0,2189,6245,2036,6277,120,115,1036
"$50,000 under $75,000",1614,3419,941,100559,1271,70871,1153,2582,741,2298,621,1651,262,3508,0,0,65,255,16,87,922,57962,17461,812,51181,1849,914,57481,3981,*,*,1601,10035,1571,9875,0,0,732
"$75,000 under $100,000",1399,3333,936,121340,1160,89003,1171,2168,849,2392,735,2311,285,4625,0,0,63,244,27,258,998,86818,21218,895,77843,2746,991,86215,4940,15,11,1393,13614,1385,13530,0,0,609
"$100,000 or more     ",2654,7170,2279,574962,2362,369407,2394,11352,2008,16592,1821,66396,531,18288,*,*,116,567,111,1970,2175,477226,69319,2015,447097,12621,2165,475556,18083,313,1365,2650,109783,2646,110932,0,0,1307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98009,840,1399,263,354184,599,58618,539,18606,403,18245,382,138911,196,4299,*,*,31,125,18,226,401,288396,34998,349,282977,17403,406,335729,6245,64,753,714,62179,721,62497,40,44,466
"Under $10,000        ",113,147,19,-1185,62,841,47,77,38,94,37,57,30,160,0,0,*,*,0,0,*,*,*,*,*,*,17,-775,88,0,0,21,3,38,17,21,15,60
"$10,000 under $25,000",120,154,20,2162,86,1459,47,59,34,114,29,33,27,308,0,0,17,50,0,0,37,565,804,24,390,31,27,506,82,0,0,103,94,96,172,19,29,55
"$25,000 under $50,000",184,266,49,6696,146,4899,95,176,58,264,50,296,39,588,0,0,*,*,0,0,58,2180,1041,52,1972,118,57,2135,252,0,0,175,559,174,649,*,*,82
"$50,000 under $75,000",108,181,36,6568,78,4430,71,375,50,371,49,226,19,73,0,0,*,*,0,0,52,3211,1149,43,2676,155,51,3154,325,0,0,104,701,103,707,0,0,57
"$75,000 under $100,000",83,162,36,7092,65,4852,62,220,46,279,43,135,18,516,0,0,0,0,*,*,54,4622,1229,47,4030,106,53,4547,291,*,*,82,872,82,933,0,0,42
"$100,000 or more     ",232,489,103,332851,162,42137,217,17699,177,17123,174,138164,63,2654,*,*,14,75,18,226,200,277818,30775,183,273909,16993,201,326162,5207,64,753,229,59950,228,60019,0,0,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,2353,5121,1616,183974,2018,122089,1287,2659,697,1562,565,16678,346,6826,12,-67,44,163,23,366,1205,142831,27609,1053,131852,4050,1201,141457,7569,61,174,2029,27346,1976,27836,165,279,1202
"Under $10,000        ",322,390,48,694,244,1961,98,64,64,42,59,-46,28,-115,0,0,*,*,0,0,13,66,232,*,*,*,23,-557,112,0,0,87,16,106,43,54,52,129
"$10,000 under $25,000",384,594,147,6580,294,4860,127,173,61,83,52,-2,49,308,*,*,*,*,0,0,66,1178,899,58,989,62,65,1154,238,0,0,304,277,286,304,78,197,203
"$25,000 under $50,000",508,940,267,18947,442,15365,218,276,97,85,59,56,68,653,0,0,16,50,0,0,201,7895,3117,159,6266,260,195,7652,734,0,0,499,1419,462,1404,33,30,263
"$50,000 under $75,000",370,885,290,22909,337,19022,226,265,102,117,82,190,65,653,12,-67,11,25,*,*,256,16046,4603,215,13545,342,252,15796,1201,0,0,370,2134,354,2025,0,0,196
"$75,000 under $100,000",296,844,297,25540,271,21298,210,233,115,90,81,411,47,864,*,*,*,*,*,*,238,20613,4633,219,18978,447,235,20379,1256,0,0,296,2650,296,2556,0,0,153
"$100,000 or more     ",473,1468,567,109304,430,59583,408,1648,258,1145,232,16069,89,4463,*,*,17,88,23,366,431,97033,14125,402,92074,2939,431,97033,4028,61,174,473,20850,472,21504,0,0,258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,13268,26247,7566,865093,11490,633973,7077,11035,4334,11621,3601,53957,1916,26732,*,*,406,1429,140,1872,6094,618557,123723,5274,564559,16954,6050,612103,32909,235,695,11361,120888,11095,120746,833,1134,5447
"Under $10,000        ",1967,2333,242,6084,1449,8375,646,502,376,483,343,13,248,177,0,0,14,37,0,0,106,635,1446,66,397,74,132,-2064,406,0,0,548,91,695,243,343,257,657
"$10,000 under $25,000",2152,3221,781,37354,1705,28821,730,1145,402,779,336,351,269,1780,0,0,46,131,*,*,349,6296,5198,258,4706,432,336,6082,994,0,0,1760,1576,1637,1735,331,734,915
"$25,000 under $50,000",3234,5533,1513,118335,2861,99539,1299,1540,638,1254,515,838,348,3240,*,*,99,319,27,128,1095,42370,16410,874,33880,1594,1072,41528,3971,0,0,3155,9426,2922,9091,159,143,1335
"$50,000 under $75,000",2130,4511,1292,131292,1933,109042,1317,1486,747,1379,593,1425,342,3467,*,*,77,244,*,*,1372,85391,24020,1165,72740,2637,1351,84110,5991,0,0,2119,13085,2072,12664,0,0,911
"$75,000 under $100,000",1568,4141,1400,135983,1460,115808,1191,1498,770,1440,608,1892,287,3585,0,0,68,230,28,248,1237,107639,25713,1106,96374,3107,1232,107230,6497,14,16,1563,14836,1553,14338,0,0,622
"$100,000 or more     ",2217,6508,2338,436045,2082,272388,1894,4864,1401,6286,1206,49438,422,14483,0,0,102,468,85,1496,1935,376226,50936,1805,356462,9110,1927,375217,15050,221,679,2216,81874,2216,82675,0,0,1007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98012,21824,46349,14284,1433734,19152,1126095,11706,19290,6653,20169,5724,70170,3247,55066,17,1,607,2195,220,3398,10660,1047819,227727,9068,940297,28530,10616,1034203,58784,402,1513,18856,186885,18476,187216,1367,2110,9783
"Under $10,000        ",2949,3639,439,2991,2286,12721,910,871,574,654,503,333,333,-236,0,0,*,*,*,*,149,809,2685,88,509,104,224,-5653,840,0,0,841,138,1047,361,485,461,1107
"$10,000 under $25,000",3399,5208,1239,59188,2768,47204,1094,1610,560,1002,466,470,418,3329,*,*,51,125,*,*,496,9058,8032,325,5997,613,481,8777,1565,0,0,2741,2526,2581,2883,581,1355,1529
"$25,000 under $50,000",4900,8766,2533,180933,4338,152642,1983,2875,915,1705,739,917,597,6800,*,*,131,437,21,136,1715,66765,27831,1290,50544,2373,1675,65320,6170,0,0,4717,14092,4400,13854,301,294,2133
"$50,000 under $75,000",3656,8602,2861,227326,3348,191957,2178,2425,1118,2136,929,2444,580,7409,17,1,135,442,27,223,2392,150429,44164,2001,126142,4528,2360,148363,10713,*,*,3642,21556,3547,20534,0,0,1690
"$75,000 under $100,000",2827,7830,2723,245385,2631,208448,2093,2901,1165,2190,948,3115,530,6664,0,0,142,513,34,301,2279,198501,47344,1977,172402,5134,2258,196715,12148,26,39,2824,25680,2811,24529,0,0,1213
"$100,000 or more     ",4093,12304,4489,717911,3781,513123,3448,8608,2321,12482,2139,62891,789,31100,*,*,148,678,138,2738,3629,622257,97671,3387,584703,15778,3618,620681,27348,376,1474,4091,122893,4090,125055,0,0,2111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98013,224,380,79,13098,148,6458,130,183,92,490,79,1496,81,1177,0,0,0,0,0,0,90,8258,1996,73,7067,178,90,8187,600,*,*,191,1538,205,1719,25,33,106
"Under $10,000        ",31,43,9,146,16,75,13,9,*,*,*,*,13,53,0,0,0,0,0,0,*,*,*,*,*,*,10,110,30,0,0,*,*,18,11,15,18,13
"$10,000 under $25,000",56,74,13,939,31,460,26,29,27,74,31,51,20,110,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,55,42,51,69,10,15,19
"$25,000 under $50,000",45,65,11,1692,35,1028,19,10,14,23,*,*,16,258,0,0,0,0,0,0,24,653,291,16,489,9,15,555,65,0,0,45,143,45,181,*,*,19
"$50,000 under $75,000",32,63,15,2040,26,1340,18,17,14,21,11,42,12,175,0,0,0,0,0,0,18,1145,419,14,869,19,18,1145,116,0,0,31,202,31,220,0,0,15
"$75,000 under $100,000",23,56,16,2043,12,737,21,38,14,70,14,84,10,175,0,0,0,0,0,0,19,1702,351,17,1517,48,18,1619,136,0,0,23,226,23,255,0,0,16
"$100,000 or more     ",37,79,15,6238,28,2818,33,80,23,302,23,1319,10,406,0,0,0,0,0,0,29,4758,935,26,4192,102,29,4758,253,*,*,37,925,37,983,0,0,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,3207,7054,2239,230781,2815,182276,1749,3937,1109,5101,992,10027,581,9315,52,-350,85,340,40,641,1696,187569,41683,1458,169704,4395,1688,183998,11517,105,310,2704,31597,2655,31866,208,334,1575
"Under $10,000        ",506,578,46,-309,405,2151,145,219,85,87,69,149,55,-118,10,-185,*,*,0,0,14,76,218,*,*,*,27,-2097,121,0,0,142,22,176,53,81,69,201
"$10,000 under $25,000",460,712,169,7848,360,6045,146,215,87,203,76,61,65,654,13,64,*,*,*,*,83,1554,1466,73,1280,100,81,1524,309,0,0,362,315,353,412,83,226,220
"$25,000 under $50,000",622,1205,380,22591,544,18314,249,388,132,276,121,132,97,1143,*,*,24,63,0,0,247,9537,4234,175,6790,230,239,9233,1028,*,*,588,1612,536,1647,44,39,320
"$50,000 under $75,000",498,1209,409,31127,459,25770,306,328,163,349,131,392,109,1379,14,-42,21,78,17,122,349,22144,6634,299,19088,541,344,21817,1833,0,0,495,2837,479,2796,0,0,247
"$75,000 under $100,000",403,1171,429,35217,381,30224,283,281,180,452,155,240,100,1011,*,*,13,47,*,*,336,29567,7465,295,25987,625,332,29205,1961,*,*,402,3528,398,3352,0,0,200
"$100,000 or more     ",718,2179,806,134307,666,99772,620,2506,462,3734,440,9053,155,5246,15,-187,27,152,23,519,667,124691,21666,616,116559,2899,665,124316,6265,105,310,715,23283,713,23606,0,0,387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98015,524,886,202,45443,429,27701,306,917,207,1443,191,12433,124,2364,0,0,23,71,*,*,243,34126,5944,209,31461,834,250,33627,1667,25,146,457,6584,460,6773,31,33,285
"Under $10,000        ",60,78,13,-145,33,248,29,155,26,27,20,733,19,48,0,0,0,0,0,0,*,*,*,15,190,32,16,-198,103,0,0,*,*,21,12,17,14,37
"$10,000 under $25,000",68,87,14,1173,51,793,23,21,13,43,14,12,17,167,0,0,0,0,0,0,21,287,357,*,*,*,14,244,42,0,0,66,53,54,64,14,19,36
"$25,000 under $50,000",130,185,37,4805,112,4044,51,64,29,64,18,0,26,460,0,0,13,32,*,*,40,1521,640,35,1331,49,40,1521,129,0,0,127,417,123,469,*,*,62
"$50,000 under $75,000",102,171,43,6256,89,4928,66,45,40,97,38,62,21,691,0,0,*,*,*,*,53,3288,1105,44,2739,73,53,3288,243,0,0,101,706,99,782,0,0,60
"$75,000 under $100,000",57,122,32,4927,52,4074,41,65,24,48,21,33,16,231,0,0,*,*,0,0,39,3353,855,33,2857,68,38,3273,262,0,0,56,595,56,606,0,0,27
"$100,000 or more     ",107,243,63,28427,92,13614,96,567,75,1164,80,11593,25,767,0,0,10,39,*,*,90,25677,2987,82,24344,612,89,25499,888,25,146,107,4813,107,4840,0,0,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,4609,10636,3523,351689,4142,292569,2640,3253,1652,3532,1372,17148,812,9860,33,-408,155,657,34,380,2712,291046,61742,2293,257236,6250,2692,288718,16899,103,308,3996,47225,3941,46792,264,362,2082
"Under $10,000        ",599,729,92,1339,452,2572,185,185,88,150,80,-40,63,137,10,-29,0,0,0,0,37,219,664,22,126,24,46,-51,209,0,0,152,28,199,72,108,97,216
