adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"Under $10,000        ",2082,2952,670,9972,1613,8566,380,343,176,160,142,-61,190,330,--,--,*,*,--,--,68,428,996,42,262,47,80,93,235,--,--,396,56,533,171,738,771,945
"$10,000 under $25,000",3565,6544,2279,62189,2907,47852,797,1077,382,518,267,-174,340,2332,--,--,36,95,10,30,356,6488,4325,270,4929,461,346,6302,906,--,--,2737,2329,2405,2445,1060,2632,2024
"$25,000 under $50,000",4001,7945,2770,142921,3605,121144,1207,1249,536,847,397,373,319,2433,12,-38,81,216,*,*,1060,40178,14738,824,31423,1156,1048,39725,3157,--,--,3946,11122,3499,10069,434,374,2084
"$50,000 under $75,000",1679,4090,1335,102373,1529,84638,807,984,439,726,329,561,193,1231,*,*,40,114,15,80,892,55000,13160,770,47560,1488,884,54509,3294,--,--,1679,10216,1641,9413,--,--,917
"$75,000 under $100,000",717,1963,638,61360,664,50534,451,762,245,363,197,830,91,980,--,--,16,52,*,*,496,42679,8638,439,37898,976,493,42448,2205,*,*,716,6831,715,6526,--,--,386
"$100,000 or more     ",446,1159,318,72994,396,42548,347,2133,245,1533,222,7226,74,3217,*,*,15,62,16,298,358,57947,8777,340,55609,1845,358,57947,2483,30,89,446,12568,446,12331,--,--,274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98003,17807,36547,12375,751715,15409,589037,6363,9572,3539,10157,2863,14091,2013,24047,12,-8,285,801,92,1230,5595,420217,96872,4718,374686,12777,5589,413973,24140,106,278,14182,80598,13265,79070,2894,5030,9273
"Under $10,000        ",3044,4410,1070,9710,2343,14226,603,504,308,389,289,-177,373,356,--,--,11,24,*,*,123,713,1561,78,450,73,159,-3257,493,--,--,620,100,890,315,1028,1265,1466
"$10,000 under $25,000",4543,8397,2966,78694,3764,62049,1048,1349,520,1085,413,69,430,3343,*,*,40,80,*,*,490,9061,7038,357,6587,631,477,8819,1320,--,--,3451,2918,3014,3122,1305,3273,2513
"$25,000 under $50,000",5254,10818,3956,189569,4771,163413,1545,1575,741,1506,569,238,492,4409,--,--,91,229,17,90,1538,59406,20827,1215,47288,2154,1523,58840,4750,*,*,5153,14469,4483,13182,561,492,2723
"$50,000 under $75,000",2469,5937,1999,151159,2248,125034,1315,1359,729,1351,578,759,316,2870,12,-8,60,184,12,71,1429,88344,23811,1214,75173,2722,1419,87708,5760,14,10,2462,14912,2388,13937,--,--,1254
"$75,000 under $100,000",1259,3465,1178,107710,1166,90379,853,1029,512,1071,405,928,184,2961,*,*,38,120,18,177,973,83629,18736,880,75704,2379,970,83378,4707,*,*,1258,11825,1253,11412,--,--,638
"$100,000 or more     ",1238,3520,1206,214873,1117,133936,999,3756,729,4755,609,12274,218,10108,*,*,45,164,45,892,1042,179064,24899,974,169484,4818,1041,178485,7110,92,268,1238,36374,1237,37102,--,--,679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98004,12613,22788,5193,2054818,9181,846893,8040,69820,6676,208553,5988,606648,2141,63067,31,-493,417,1434,365,7842,5790,1742032,220019,5187,1683369,58651,5850,1704505,60631,767,5012,10711,409549,10693,414108,502,522,6663
"Under $10,000        ",1984,2431,253,-30041,1119,9238,846,3428,802,3915,695,2139,280,-1562,*,*,17,48,*,*,146,798,2453,94,493,87,263,-33088,2229,*,*,554,95,692,449,273,156,985
"$10,000 under $25,000",1804,2428,364,31123,1249,20724,796,1704,596,2243,518,384,241,1835,--,--,40,94,*,*,363,6311,5953,274,4726,481,354,6169,1330,13,21,1475,1428,1407,1646,165,317,837
"$25,000 under $50,000",2613,3763,630,96112,2043,69863,1264,3294,924,4712,780,3377,316,3878,*,*,95,259,25,170,802,30359,15491,665,25264,1580,784,29753,3485,*,*,2510,8234,2432,8581,64,49,1109
"$50,000 under $75,000",1620,2781,546,99719,1213,65930,1065,3186,809,5395,697,3260,266,4667,*,*,52,175,31,276,820,50777,16058,708,43877,1988,804,49793,4263,*,*,1595,11036,1584,11432,--,--,764
"$75,000 under $100,000",1181,2365,506,101783,883,64649,955,2890,769,6180,676,3100,212,5053,*,*,61,241,31,358,760,65963,17572,690,59887,2547,756,65626,4951,17,36,1171,12157,1172,12546,--,--,584
"$100,000 or more     ",3411,9020,2894,1756122,2674,616489,3114,55318,2776,186108,2622,594388,826,49196,31,-493,152,617,278,7038,2899,1587824,162492,2756,1549122,51968,2889,1586252,44373,737,4955,3406,376599,3406,379454,--,--,2384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98005,8792,16417,4097,873577,7116,537592,5097,18734,3872,45799,3353,91422,1302,34761,12,-32,267,890,189,3487,3789,637289,99100,3312,604709,22036,3814,621507,27543,297,1421,7418,162976,7371,164187,468,535,4176
"Under $10,000        ",1373,1704,187,-10065,927,7045,526,923,444,1303,378,683,121,-661,--,--,*,*,10,30,85,477,1623,48,264,62,157,-13070,913,--,--,349,59,463,258,225,147,594
"$10,000 under $25,000",1408,2057,420,24319,1072,18110,523,719,361,1113,299,299,190,1553,--,--,40,114,*,*,247,4428,5364,182,3309,341,241,4314,1247,--,--,1131,1066,1069,1257,159,327,616
"$25,000 under $50,000",1991,3182,704,73113,1710,59147,882,1427,564,2024,439,336,239,2717,*,*,65,175,15,114,655,25186,10115,508,19588,1008,629,24264,2310,11,10,1931,6203,1851,6333,84,61,874
"$50,000 under $75,000",1209,2174,468,74776,994,55911,788,1416,536,2313,462,1123,158,2740,--,--,54,189,18,128,657,40904,11346,563,35034,1267,650,40511,2845,--,--,1197,8289,1183,8442,--,--,552
"$75,000 under $100,000",862,1910,499,74283,739,55467,654,1178,467,2233,404,1165,159,3027,12,-32,32,100,24,229,529,45704,10562,466,40355,1372,524,45314,2879,*,*,861,9040,857,9136,--,--,399
"$100,000 or more     ",1949,5390,1819,637151,1674,341912,1724,13071,1500,36813,1371,87816,435,25385,*,*,76,312,122,2986,1616,520590,60090,1545,506159,17986,1613,520174,17349,286,1411,1949,138319,1948,138761,--,--,1141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98006,16929,37015,11375,1917655,13543,1272364,11466,39055,9147,146616,7912,155030,2908,65790,22,-364,656,2300,480,8160,8835,1522290,246587,8021,1462185,54764,8869,1495791,69492,682,2805,14222,357083,14081,360513,735,1016,7611
"Under $10,000        ",3022,3633,338,-17421,1952,11509,1267,1986,1132,1912,920,372,258,526,11,-411,23,48,10,35,132,700,2235,77,400,76,214,-23108,1269,--,--,970,160,1110,411,328,278,1179
"$10,000 under $25,000",2084,3139,630,35388,1535,24500,950,1527,626,2152,533,365,297,1756,*,*,48,117,*,*,446,7809,7976,321,5637,544,436,7652,1704,--,--,1623,1436,1550,1722,272,628,871
"$25,000 under $50,000",2779,4955,1301,102275,2200,74386,1472,2733,1008,3565,825,1017,449,5818,*,*,122,398,29,233,1104,42287,19453,918,35432,1975,1088,41671,4641,*,*,2630,7664,2461,7924,135,110,1233
"$50,000 under $75,000",2096,4603,1365,130265,1684,91466,1558,2875,1114,4574,968,2640,393,5822,*,*,105,380,42,319,1295,81211,25154,1140,71666,3050,1287,80677,6529,*,*,2067,12544,2032,12488,--,--,979
"$75,000 under $100,000",1785,4746,1618,155219,1525,115381,1471,2569,1127,4228,949,1821,346,5842,--,--,97,334,48,410,1329,116163,28769,1216,106272,3727,1322,115557,7700,18,6,1774,16840,1771,16591,--,--,761
"$100,000 or more     ",5163,15939,6123,1511929,4647,955122,4748,27365,4140,130185,3717,148815,1165,46026,11,47,261,1023,351,7163,4529,1274120,163000,4349,1242778,45392,4522,1273342,47649,664,2799,5158,318439,5157,321377,--,--,2588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98007,10963,20375,5517,607687,9391,452901,5163,9239,3540,19921,2849,27790,1356,18719,*,*,316,954,106,1848,3183,309376,56974,2618,279381,8795,3166,305133,14624,103,359,9113,86822,8792,87161,1040,1595,4705
"Under $10,000        ",1742,2273,372,5937,1281,7155,468,623,304,476,274,-206,223,765,*,*,10,19,--,--,92,550,1042,55,342,48,120,-1036,331,--,--,397,67,554,228,418,416,743
"$10,000 under $25,000",2405,3992,1122,41934,2030,34185,685,811,378,939,279,-283,288,2005,*,*,52,122,--,--,338,6008,3773,223,4042,360,330,5874,850,--,--,1960,1756,1751,1883,454,1033,1104
"$25,000 under $50,000",2859,5234,1525,103841,2569,89341,1080,1208,617,1471,498,389,313,2432,--,--,110,308,13,106,742,28443,9777,570,21935,947,731,28006,2305,--,--,2813,8602,2568,8195,168,146,1245
"$50,000 under $75,000",1608,3204,834,99246,1416,80959,973,1660,624,2038,488,921,192,3231,--,--,48,150,25,236,663,41125,10599,540,33587,1322,648,40181,2551,--,--,1602,11280,1582,11149,--,--,644
"$75,000 under $100,000",1109,2460,662,95085,1001,78823,855,1317,673,2839,504,1105,148,2296,--,--,38,134,11,134,505,43537,9582,444,38329,1300,500,43126,2238,*,*,1106,12292,1102,12127,--,--,403
"$100,000 or more     ",1240,3212,1002,261644,1094,162438,1102,3620,944,12158,806,25864,192,7990,*,*,58,221,57,1372,843,189713,22201,786,181146,4818,837,188982,6349,103,359,1235,52825,1235,53579,--,--,566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98008,11308,22833,6219,866480,9047,609137,6980,16107,5240,35450,4413,49432,1795,29656,10,19,391,1279,174,2188,5306,608931,116460,4686,566590,19102,5336,603332,30431,259,1041,9520,135280,9390,135935,693,964,5182
"Under $10,000        ",1705,2164,279,2250,1152,6835,591,555,448,769,382,-186,200,640,10,19,14,26,--,--,117,657,2086,70,404,72,175,-3310,664,--,--,400,71,529,212,319,253,687
"$10,000 under $25,000",1814,2803,623,31256,1332,21837,752,1098,470,1223,366,175,258,1831,*,*,39,113,*,*,336,6012,5216,254,4611,403,330,5907,1040,--,--,1420,1257,1370,1469,272,613,832
"$25,000 under $50,000",2278,4183,1144,83845,1831,62054,1188,1908,730,2505,639,418,336,3777,--,--,96,274,20,79,823,31565,13614,673,25953,1364,815,31254,2986,--,--,2207,6342,2041,6387,102,98,1075
"$50,000 under $75,000",1700,3640,997,105756,1378,75192,1174,1843,844,3191,662,1143,287,3583,--,--,67,217,24,199,1036,64952,18463,920,57680,2212,1030,64594,4496,13,6,1688,10536,1653,10349,--,--,788
"$75,000 under $100,000",1350,3286,950,116555,1149,87826,1077,1847,848,3532,678,1588,235,2986,*,*,55,185,23,207,958,83006,19460,869,75388,2544,955,82738,4722,*,*,1345,13198,1339,12852,--,--,588
"$100,000 or more     ",2461,6757,2226,526818,2205,355393,2198,8856,1900,24230,1686,46294,479,16839,*,*,120,464,107,1703,2036,422739,57621,1900,402554,12507,2031,422149,16523,246,1035,2460,103876,2458,104666,--,--,1212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98009,814,1361,273,387400,571,42910,506,15288,381,15650,350,56753,193,-510,*,*,38,126,23,258,379,281440,25047,333,278249,10102,387,368771,5987,60,749,683,90322,683,90691,48,40,438
"Under $10,000        ",129,181,33,-1014,72,673,53,43,39,65,42,-19,33,-57,--,--,--,--,--,--,12,63,332,*,*,*,24,-1116,160,--,--,21,4,41,22,30,18,55
"$10,000 under $25,000",116,146,15,2085,85,1353,51,27,27,75,19,-14,34,257,--,--,*,*,--,--,16,289,292,17,217,27,14,250,37,--,--,103,104,95,142,18,22,47
"$25,000 under $50,000",180,253,47,6560,139,4776,90,220,63,291,49,-36,34,326,--,--,23,75,*,*,63,2337,958,53,1999,104,61,2257,218,--,--,177,571,166,622,*,*,87
"$50,000 under $75,000",107,199,48,6702,81,4562,62,226,53,219,44,297,29,769,--,--,*,*,*,*,62,3922,1236,52,3296,113,62,3922,325,--,--,105,697,105,778,--,--,58
"$75,000 under $100,000",75,139,30,6513,51,3799,60,143,44,380,39,56,13,297,--,--,*,*,--,--,47,4098,1044,40,3521,118,46,4021,300,--,--,74,839,74,865,--,--,41
"$100,000 or more     ",207,443,100,366554,143,27747,190,14629,155,14620,157,56469,50,-2102,*,*,15,51,23,258,179,270731,21185,171,269216,9740,180,359437,4947,60,749,203,88107,202,88262,--,--,150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98010,2330,5102,1632,146054,1981,112430,1222,1993,722,1515,568,6122,319,5143,*,*,48,151,18,309,1163,109010,23698,1020,100245,2660,1159,108089,6863,39,89,1980,18505,1917,18362,182,277,1152
"Under $10,000        ",374,467,64,1052,263,1701,109,52,63,68,58,-47,35,-64,--,--,*,*,--,--,21,127,298,12,92,8,27,-178,146,--,--,107,20,129,54,61,54,143
"$10,000 under $25,000",358,578,156,6263,275,4456,122,177,64,89,42,-14,39,403,*,*,*,*,--,--,69,1279,953,53,1016,63,69,1279,267,--,--,284,253,254,277,85,188,182
"$25,000 under $50,000",512,969,296,18991,447,15540,219,204,108,151,74,38,71,738,--,--,13,37,*,*,201,7923,2895,157,6220,215,197,7754,779,--,--,504,1467,462,1437,36,35,265
"$50,000 under $75,000",391,989,332,24272,357,20143,225,211,126,164,96,96,62,682,*,*,20,60,--,--,266,16614,4649,225,14089,431,262,16366,1201,--,--,390,2226,379,2097,--,--,197
"$75,000 under $100,000",276,805,293,23766,258,20147,201,295,112,201,87,241,48,474,*,*,*,*,*,*,225,19460,4388,205,17762,488,224,19364,1218,*,*,276,2471,274,2315,--,--,136
"$100,000 or more     ",419,1294,491,71710,381,50443,346,1054,249,842,211,5808,64,2910,*,*,15,54,18,309,381,63607,10515,368,61066,1455,380,63504,3252,39,89,419,12068,419,12182,--,--,229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98011,13092,26252,7660,775273,11364,606734,6679,8065,4407,13812,3509,23519,1868,24901,*,*,388,1176,155,1470,5960,540662,113876,5222,496140,14645,5947,536325,31206,137,356,11141,102031,10905,101917,917,1239,5279
"Under $10,000        ",1987,2412,275,6049,1450,8420,606,425,389,471,332,211,231,842,--,--,*,*,14,64,106,590,1591,65,388,79,137,-1478,434,--,--,542,92,704,264,373,306,635
"$10,000 under $25,000",2268,3440,811,39417,1793,29676,738,923,434,955,322,32,266,2315,--,--,42,80,*,*,379,6921,6097,283,5223,403,372,6806,1170,--,--,1844,1675,1706,1870,363,796,937
"$25,000 under $50,000",3213,5631,1568,117961,2859,98411,1300,1456,709,1783,555,592,382,3775,--,--,113,299,10,39,1155,44758,17021,941,36443,1678,1136,44049,4612,--,--,3142,9487,2912,9206,181,137,1305
"$50,000 under $75,000",2113,4623,1377,130612,1944,109521,1256,1231,791,1951,603,869,327,2898,*,*,79,262,20,110,1352,84455,22825,1172,73365,2528,1341,83801,5929,11,4,2102,13253,2075,12722,--,--,878
"$75,000 under $100,000",1501,4072,1391,129999,1412,110005,1095,1225,762,1759,590,981,277,3593,--,--,76,247,33,285,1201,104302,23307,1101,95687,3157,1197,103982,6307,*,*,1501,14231,1498,13733,--,--,631
"$100,000 or more     ",2010,6074,2238,351235,1906,250701,1684,2805,1322,6893,1107,20834,385,11478,--,--,78,288,78,972,1767,299636,43035,1660,285034,6800,1764,299165,12754,126,352,2010,63293,2010,64122,--,--,893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98012,20328,43192,13354,1281367,17733,1007500,10454,15412,6492,21689,5478,54498,2936,49294,22,7,545,1631,231,3278,9860,934770,208795,8573,844479,27494,9855,925278,60708,287,924,17446,166153,17050,165584,1315,2005,9040
"Under $10,000        ",2943,3630,462,6110,2224,12379,836,659,571,599,479,-191,286,513,12,26,17,30,10,48,143,862,2043,92,582,94,203,-2461,694,--,--,834,144,1025,342,483,470,1055
"$10,000 under $25,000",3228,4950,1178,56548,2611,43811,1007,1346,533,1309,436,41,370,3198,*,*,44,107,*,*,539,9767,8241,405,7378,694,526,9529,1812,--,--,2615,2496,2420,2790,557,1311,1430
"$25,000 under $50,000",4699,8568,2464,173077,4159,144465,1866,2220,978,2152,796,788,613,6509,*,*,137,359,22,147,1678,65194,26282,1350,52715,2522,1663,64668,6591,--,--,4556,13605,4251,13281,275,224,2038
"$50,000 under $75,000",3408,8332,2863,212343,3114,178000,2029,2307,1166,2482,955,1544,559,6888,*,*,111,304,28,205,2260,142428,39721,1904,120321,4281,2243,141359,10222,*,*,3394,20333,3314,19215,--,--,1532
"$75,000 under $100,000",2562,7275,2609,221941,2397,189162,1821,2229,1121,2150,949,3358,475,7253,*,*,89,277,36,280,2105,182798,41627,1901,165329,4596,2090,181497,11116,18,13,2561,23537,2553,22536,--,--,1150
"$100,000 or more     ",3488,10437,3778,611348,3228,439683,2895,6651,2123,12997,1863,48958,633,24933,10,-19,147,554,135,2598,3135,533721,90881,2921,498154,15307,3130,530686,30273,269,911,3486,106038,3487,107420,--,--,1835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98013,236,389,73,13222,152,6560,133,215,92,429,81,1162,73,1336,*,*,*,*,--,--,94,8823,2179,71,7235,178,94,8820,579,*,*,188,1671,201,1854,39,31,111
"Under $10,000        ",54,60,3,215,27,127,17,6,15,8,13,-20,21,87,--,--,--,--,--,--,14,180,164,*,*,*,14,177,40,--,--,14,1,28,19,29,13,27
"$10,000 under $25,000",47,59,9,789,29,416,21,7,14,23,17,28,17,111,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,42,31,41,51,10,18,10
"$25,000 under $50,000",49,76,14,1856,36,1195,27,14,11,26,*,*,18,379,--,--,*,*,--,--,19,716,464,22,681,33,19,716,99,--,--,46,149,46,219,*,*,20
"$50,000 under $75,000",27,55,14,1695,20,1010,17,18,15,45,11,6,*,*,--,--,--,--,--,--,18,1154,278,12,784,28,18,1154,95,--,--,27,173,27,176,--,--,15
"$75,000 under $100,000",28,66,17,2354,17,1110,23,51,16,45,16,90,17,759,--,--,--,--,--,--,20,1701,420,16,1360,25,20,1701,123,--,--,28,238,28,270,--,--,22
"$100,000 or more     ",31,73,16,6313,23,2702,28,119,21,282,24,1058,*,*,*,*,--,--,--,--,23,5072,853,21,4410,92,23,5072,222,*,*,31,1079,31,1119,--,--,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98014,3121,7003,2265,229863,2712,175083,1666,2788,1103,10192,956,15060,565,7910,54,-704,92,307,38,457,1666,186669,39615,1440,168030,5094,1673,185688,11353,73,287,2613,30771,2571,30818,226,339,1487
"Under $10,000        ",500,583,48,1362,372,2102,142,105,89,142,63,-28,60,50,*,*,--,--,--,--,21,104,339,10,34,7,37,-336,167,--,--,142,26,175,54,77,69,188
"$10,000 under $25,000",493,825,229,8416,388,6276,161,235,84,180,79,79,68,607,25,-186,*,*,--,--,88,1631,1524,71,1347,138,86,1600,355,--,--,370,324,360,408,99,242,236
"$25,000 under $50,000",569,1125,359,21090,502,17232,239,179,139,372,119,139,112,1280,*,*,31,88,*,*,242,9405,4079,194,7583,273,240,9326,1046,--,--,546,1512,497,1569,50,28,274
"$50,000 under $75,000",495,1254,426,30813,458,26090,284,242,168,431,131,60,113,778,14,-278,15,47,14,85,354,22255,6301,293,18526,518,352,22142,1728,--,--,493,2789,479,2596,--,--,252
"$75,000 under $100,000",378,1143,442,32612,358,28421,258,194,167,373,136,491,81,1091,*,*,15,52,*,*,327,28219,7155,283,24466,760,325,28036,2053,*,*,377,3209,376,3049,--,--,174
"$100,000 or more     ",686,2073,761,135570,634,94962,582,1833,456,8694,428,14319,131,4104,15,-240,31,120,24,372,634,125055,20217,589,116074,3398,633,124920,6004,73,287,685,22911,684,23142,--,--,363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98015,469,811,191,36055,376,25782,274,577,183,2114,155,1466,97,1816,--,--,10,25,*,*,222,24392,5699,189,20037,554,230,24060,1425,16,46,403,5762,409,5579,17,19,235
"Under $10,000        ",62,73,3,-208,33,239,25,39,18,14,*,*,13,-85,--,--,10,25,--,--,*,*,*,*,*,*,13,-234,57,--,--,11,2,20,22,*,*,27
"$10,000 under $25,000",58,78,14,1007,43,706,21,26,12,13,18,-16,17,180,--,--,*,*,--,--,16,250,205,14,207,16,12,228,34,--,--,51,47,51,71,17,19,30
"$25,000 under $50,000",124,187,42,4626,103,3728,57,114,32,205,28,-25,25,378,--,--,*,*,--,--,47,1865,992,35,1399,48,47,1865,164,--,--,116,383,115,420,*,*,62
"$50,000 under $75,000",81,134,31,5090,67,3947,57,126,36,132,28,70,25,560,--,--,--,--,*,*,47,3007,823,41,2654,88,47,3007,225,--,--,81,588,79,633,--,--,45
"$75,000 under $100,000",58,134,42,4971,53,4166,40,39,27,254,26,-12,*,*,--,--,*,*,--,--,37,3179,703,32,2751,83,36,3103,219,--,--,58,608,58,604,--,--,21
"$100,000 or more     ",86,205,59,20569,77,12996,74,233,58,1496,55,1449,17,783,--,--,*,*,--,--,75,16091,2976,67,13026,319,75,16091,726,16,46,86,4134,86,3829,--,--,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98019,4514,10335,3360,336716,4037,284627,2447,2584,1629,6096,1320,10163,838,9159,28,-174,144,447,42,395,2625,271563,56658,2252,243243,6204,2625,269870,15178,66,190,3911,46542,3864,46288,281,352,1940
"Under $10,000        ",584,719,88,2175,426,2509,175,133,81,98,70,-17,87,91,*,*,*,*,--,--,39,236,742,25,150,30,56,-128,206,--,--,148,30,202,104,106,93,203
